episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,dybap_fusion,0.4,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,47985.89512723434,2427.8149408920494,4758.352969977302,10113.874143699059,14608.270371122162,48.8583984375,678.1611844505651,3,0.25,0.75,0.25007348447251143,0.18755511335438357,336,-171.5301353785336,
1,dybap_fusion,0.4,12,,12,12,0,1.0,10,1.5,3,0.4,1.2,19058.71992445163,2833.3867535115837,5662.590228721208,6709.673302637546,9148.276290253445,24.5419921875,565.85586746053,7,0.5833333333333334,0.41666666666666663,0.6296330523543948,0.2623471051476645,280,-121.34335878384634,
2,dybap_fusion,0.4,12,,12,12,0,1.0,11,2.0,4,0.45454545454545453,1.0909090909090908,26844.773039569307,4497.6903376307155,7074.784261392922,10615.840574205782,14014.6006967182,92.0244140625,959.771084751058,7,0.5833333333333334,0.41666666666666663,0.44701439577499685,0.18625599823958203,307,-182.2457299015145,
3,dybap_fusion,0.4,12,,12,12,0,1.0,10,1.4,3,0.3,1.2,24940.654294207103,3560.895926229925,6478.717612875726,6094.821480618004,16187.986677610306,27.48046875,664.9242412710199,4,0.3333333333333333,0.6666666666666667,0.48114214881632866,0.32076143254421907,280,-144.3576115963353,
4,dybap_fusion,0.4,12,,12,12,0,1.0,11,1.1818181818181819,2,0.18181818181818182,1.0909090909090908,36566.11963801232,4302.325148939042,8561.230703018568,8052.495767973443,20747.601814308167,74.54296875,582.619621849961,5,0.4166666666666667,0.5833333333333333,0.32817263955799664,0.1914340397421647,308,-185.38662087607705,
5,dybap_fusion,0.4,12,,12,12,0,1.0,9,2.3333333333333335,4,0.6666666666666666,1.3333333333333333,24310.625484285923,5781.286819141281,11555.12260603975,6135.233972488167,14018.093171924924,33.4423828125,588.852880918264,9,0.75,0.25,0.49361132266039986,0.12340283066509997,252,-143.93067761024136,
6,dybap_fusion,0.4,12,,12,12,0,1.0,10,1.9,3,0.6,1.2,23248.497447794485,3722.1755925296948,5068.695013264079,8035.914862546601,10221.849640050908,44.37890625,524.0307917104892,8,0.6666666666666666,0.33333333333333337,0.5161623897177237,0.17205412990590788,280,-140.0844431357443,
7,dybap_fusion,0.4,12,,12,12,0,1.0,7,2.7142857142857144,6,0.5714285714285714,1.7142857142857142,31203.484151328066,9367.138352274984,13933.28534032076,9566.90471887175,21273.544089701216,116.3173828125,363.0353427550998,9,0.75,0.25,0.3845724388277731,0.09614310970694327,196,-200.76828057565893,
8,dybap_fusion,0.4,12,,12,12,0,1.0,11,1.1818181818181819,2,0.18181818181818182,1.0909090909090908,31895.470186955197,2563.7501412450615,5581.558945135066,9043.202380113273,11852.419536314717,25.3125,676.8036237570175,5,0.4166666666666667,0.5833333333333333,0.3762289732573948,0.21946690106681363,308,-160.33667561129474,
9,dybap_fusion,0.4,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32435.642702280024,2401.943156860824,4884.519419507976,9490.640686403021,10147.632845670196,85.86328125,629.9834915428968,8,0.6666666666666666,0.33333333333333337,0.36996337979627814,0.12332112659875938,308,-147.68300106757192,
