episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,fixed_4,0.6,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32580.313011686572,2688.4489950673,4993.003853101475,9732.329795598069,13897.649836200659,44.5517578125,584.3992743527347,4,0.3333333333333333,0.6666666666666667,0.368320586597667,0.24554705773177798,308,-165.35206955448763,
1,fixed_4,0.6,12,,12,12,0,1.0,6,2.0,4,0.5,2.0,14061.270294553447,3228.606799364917,5923.37555423754,5558.878667726556,8082.967933898135,31.904296875,419.42369292875725,10,0.8333333333333334,0.16666666666666663,0.8534079602074168,0.14223466003456947,168,-96.97768759295377,
2,fixed_4,0.6,12,,12,12,0,1.0,6,2.3333333333333335,6,0.5,2.0,20414.529046382842,4894.229918212303,6722.123200692839,7634.1912131866375,12238.07880779728,53.7626953125,542.2590253989194,9,0.75,0.25,0.5878166463079012,0.1469541615769753,168,-134.28793815951855,
3,fixed_4,0.6,12,,12,12,0,1.0,7,2.0,6,0.2857142857142857,1.7142857142857142,20802.292622359964,4824.672879224011,8298.128550149351,5133.35706127226,14756.497235023522,30.5478515625,436.68730156764786,6,0.5,0.5,0.5768594941838979,0.28842974709194896,196,-118.49594697883923,
4,fixed_4,0.6,12,,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,27779.571255681047,4264.676067087206,8474.989441914364,8848.013299270147,17346.168187788557,77.2001953125,462.0721387074204,7,0.5833333333333334,0.41666666666666663,0.4319721096323957,0.1799883790134982,252,-169.3711389910745,
5,fixed_4,0.6,12,,12,12,0,1.0,4,4.25,7,0.75,3.0,19179.217642122716,8387.905972269704,12542.926104503105,5756.090222403924,13189.757234922517,49.8896484375,233.37018479627488,11,0.9166666666666666,0.08333333333333337,0.6256772421021375,0.052139770175178124,112,-126.93425576481326,
6,fixed_4,0.6,12,,12,12,0,1.0,6,2.1666666666666665,5,0.5,2.0,18618.54626466082,4106.318841068278,6515.245951142747,6593.560334039252,9250.07986234314,52.25390625,321.905127111081,10,0.8333333333333334,0.16666666666666663,0.6445186337011047,0.10741977228351746,168,-117.98673695397174,
7,fixed_4,0.6,12,,12,12,0,1.0,5,3.6,9,0.6,2.4,30504.602973331523,12317.076796889154,16923.634672588098,9204.712785196141,21047.518878280738,136.0810546875,252.3713098546465,10,0.8333333333333334,0.16666666666666663,0.3933832546678589,0.06556387577797648,140,-167.74763753341614,
8,fixed_4,0.6,12,,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,22553.65813989567,2733.636147530418,5879.937129964395,8070.497601856751,11569.027963678638,27.908203125,594.6812482551924,5,0.4166666666666667,0.5833333333333333,0.5320644626945432,0.31037093657181686,252,-138.41151578289634,
9,fixed_4,0.6,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,21865.360998836695,2352.415894899209,4253.668031581735,8597.100230640144,8480.519842555677,72.046875,587.7955404788983,9,0.75,0.25,0.548813257674476,0.137203314418619,280,-134.2007987348097,
