episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,no_batch,0.4,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,47985.89512723434,2427.8149408920494,4758.352969977302,10113.874143699059,14608.270371122162,48.8583984375,678.1611844505651,3,0.25,0.75,0.25007348447251143,0.18755511335438357,336,-171.5301353785336,
1,no_batch,0.4,12,,12,12,0,1.0,12,1.4166666666666667,3,0.3333333333333333,1.0,20155.89379995248,3114.1434333113943,6917.593288844021,7356.551967953328,10544.042390195998,23.5078125,715.8901531209108,7,0.5833333333333334,0.41666666666666663,0.5953593583643655,0.2480663993184856,336,-139.76604390438914,
2,no_batch,0.4,12,,12,12,0,1.0,12,2.25,5,0.5,1.0,26844.773039569307,4535.507988640243,7049.557030718452,10429.651612977541,14100.788306080958,81.9814453125,1034.545205942069,7,0.5833333333333334,0.41666666666666663,0.44701439577499685,0.18625599823958203,336,-182.75060815863674,
3,no_batch,0.4,12,,12,12,0,1.0,12,1.75,3,0.5,1.0,27254.0710182023,4503.987729881014,7710.504737147344,6698.150360810821,17776.77469660837,26.3642578125,786.224066075339,5,0.4166666666666667,0.5833333333333333,0.44030119360830555,0.25684236293817825,336,-167.01212025404476,
4,no_batch,0.4,12,,12,12,0,1.0,12,1.1666666666666667,2,0.16666666666666666,1.0,36566.11963801232,4472.074148948802,8412.306865921966,9094.05345764589,20765.335933515704,74.384765625,650.655504031783,6,0.5,0.5,0.32817263955799664,0.16408631977899832,336,-198.58701826091217,
5,no_batch,0.4,12,,12,12,0,1.0,12,3.0,5,0.75,1.0,24310.625484285923,6791.497463183722,11614.054367778695,7037.887134583804,14814.887484983612,28.435546875,848.5903055674839,9,0.75,0.25,0.49361132266039986,0.12340283066509997,336,-162.28412335105975,
6,no_batch,0.4,12,,12,12,0,1.0,12,2.0,3,0.6666666666666666,1.0,26175.21663893929,4191.422966317211,6639.27676527398,8687.35356221175,12765.917059737827,45.0380859375,670.8271147400748,9,0.75,0.25,0.458448927683308,0.114612231920827,336,-165.1832806312325,
7,no_batch,0.4,12,,12,12,0,1.0,12,3.5833333333333335,6,0.75,1.0,38674.256320878434,11881.70239927042,17609.78630473268,11715.078339299238,26370.70455237427,99.36328125,588.47342920493,11,0.9166666666666666,0.08333333333333337,0.3102839237666674,0.025856993647222284,336,-258.23978033406,
8,no_batch,0.4,12,,12,12,0,1.0,12,1.1666666666666667,2,0.16666666666666666,1.0,31895.470186955197,2635.6259363387453,5581.558945135066,9525.847236061447,11860.011361211866,24.6884765625,805.0071644861118,5,0.4166666666666667,0.5833333333333333,0.3762289732573948,0.21946690106681363,336,-167.15014107761252,
9,no_batch,0.4,12,,12,12,0,1.0,12,1.1666666666666667,2,0.16666666666666666,1.0,33929.95019014851,2674.4083719033574,4981.499495706188,10547.271159498498,10562.40851073485,101.384765625,652.8848412512612,8,0.6666666666666666,0.33333333333333337,0.3536698383802572,0.1178899461267524,336,-156.90701852111457,
10,no_batch,0.4,12,,12,12,0,1.0,12,1.0833333333333333,2,0.08333333333333333,1.0,34307.39437448379,1518.6723058871169,3094.607336788685,6022.244812824381,6041.472241321583,21.1611328125,745.9456949785016,3,0.25,0.75,0.3497788222857586,0.26233411671431894,336,-99.11056358636873,
11,no_batch,0.4,12,,12,12,0,1.0,12,2.25,6,0.4166666666666667,1.0,53101.63473557038,12528.26283081503,34515.33617585832,15181.607520815229,31019.837135233174,112.1572265625,789.278951223035,8,0.6666666666666666,0.33333333333333337,0.22598174349539835,0.07532724783179945,336,-318.7985050946989,
12,no_batch,0.4,12,,12,12,0,1.0,12,1.5,2,0.5,1.0,30143.85530297265,3016.077611780375,4455.034688437937,11048.075515366527,8940.863661595591,51.1201171875,538.4602850155209,8,0.6666666666666666,0.33333333333333337,0.39809108288867795,0.13269702762955932,336,-164.81601922123926,
13,no_batch,0.4,12,,12,12,0,1.0,12,1.75,3,0.5,1.0,43702.594923038145,7048.765329150928,14434.185168440883,9297.513315729555,24776.991283886284,82.646484375,614.7373441119066,6,0.5,0.5,0.27458323747439795,0.13729161873719897,336,-223.00992135681292,
14,no_batch,0.4,12,,12,12,0,1.0,12,1.75,4,0.4166666666666667,1.0,43508.315063366994,4623.090904935404,10866.565639251981,11988.410477010704,15732.993601897757,85.306640625,793.0368055863081,9,0.75,0.25,0.2758093477654281,0.06895233694135702,336,-208.75852418178678,
15,no_batch,0.4,12,,12,12,0,1.0,12,1.75,4,0.3333333333333333,1.0,43573.45029148757,4253.040914141436,9596.875493503596,8970.98791044403,19978.351669002994,67.517578125,956.6487291529326,5,0.4166666666666667,0.5833333333333333,0.27539705760561034,0.16064828360327268,336,-196.84472919550882,
16,no_batch,0.4,12,,12,12,0,1.0,12,3.5833333333333335,8,0.6666666666666666,1.0,27118.301708256968,11277.347798949557,16560.33235819688,8495.81006500021,16983.916714602936,35.5458984375,934.6084362595309,8,0.6666666666666666,0.33333333333333337,0.4425055864153265,0.14750186213844216,336,-185.66180815210302,
17,no_batch,0.4,12,,12,12,0,1.0,12,1.4166666666666667,3,0.3333333333333333,1.0,29176.436891022015,3166.1481503881805,5132.836866769114,10919.143004363872,10598.878298845151,88.67578125,855.5870364634806,7,0.5833333333333334,0.41666666666666663,0.41129079759881726,0.17137116566617386,336,-169.66068025067517,
