episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,sequential_greedy,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,92936.90648239906,2244.965618880153,4281.320528940355,10113.874143699059,14608.270371122162,48.8583984375,678.1611844505651,3,0.25,0.75,0.1291198561926809,0.09683989214451066,336,-171.5301353785336,
1,sequential_greedy,0.2,12,,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,34572.13505124443,2224.6222864331085,4639.060844159638,6319.482792408986,9022.820880095442,25.4091796875,526.810197119433,5,0.4166666666666667,0.5833333333333333,0.3471003448937429,0.2024752011880167,252,-110.2351463514389,
2,sequential_greedy,0.2,12,,12,12,0,1.0,11,1.1818181818181819,2,0.18181818181818182,1.0909090909090908,49668.73033157916,2662.0280336611772,4849.352725511123,10312.79639212533,14061.275577443954,83.4345703125,942.2653982875863,5,0.4166666666666667,0.5833333333333333,0.24160069967342115,0.14093374147616236,308,-173.3497156996715,
3,sequential_greedy,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,45004.080559288974,2263.1538802163846,5470.210220321087,6698.150360810821,17776.77469660837,26.3642578125,786.224066075339,1,0.08333333333333333,0.9166666666666666,0.2666424877671046,0.2444222804531792,336,-159.01212025404476,
4,sequential_greedy,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,63030.71979022174,3226.922605586193,7431.158676620969,9094.05345764589,20765.335933515704,74.384765625,650.655504031783,3,0.25,0.75,0.1903833565591237,0.14278751741934279,336,-192.58701826091217,
5,sequential_greedy,0.2,12,,12,12,0,1.0,10,1.2,3,0.1,1.2,47698.19346902425,3344.709779537683,10612.973707571813,6239.240460686767,13996.163650930148,33.1201171875,684.8684510970963,4,0.3333333333333333,0.6666666666666667,0.25158185514495296,0.16772123676330197,280,-134.42507807858868,
6,sequential_greedy,0.2,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,40542.84594005443,2602.9460287163624,4411.343894755236,8369.466284018743,12571.719527875654,44.484375,597.4192279689513,6,0.5,0.5,0.2959831684668333,0.14799158423341666,308,-152.95250413765652,
7,sequential_greedy,0.2,12,,12,12,0,1.0,9,1.4444444444444444,4,0.2222222222222222,1.3333333333333333,45859.17812755127,5350.771588665762,11634.809128700206,9833.38646418717,24891.828822499294,114.0849609375,375.4188295469072,7,0.5833333333333334,0.41666666666666663,0.2616706293039875,0.10902942887666146,252,-219.5710309716533,
8,sequential_greedy,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,58400.40787135311,2135.572398255746,5252.480476364732,9525.847236061447,11860.011361211866,24.6884765625,805.0071644861118,3,0.25,0.75,0.20547801697608187,0.15410851273206141,336,-163.15014107761252,
9,sequential_greedy,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,62279.179364484466,2097.4440134477563,4928.814965976939,10547.271159498498,10562.40851073485,101.384765625,652.8848412512612,7,0.5833333333333334,0.41666666666666663,0.1926807662280014,0.08028365259500059,336,-154.90701852111457,
