episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,39163.76256776975,1719.296301263333,3201.7355753401184,10206.93454066974,5809.475214326603,25.2041015625,726.5120028667731,3,0.25,0.75,0.3064056978497651,0.22980427338732384,336,-135.0677446454278,
1,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,6,2.0,5,0.3333333333333333,2.0,15581.294647209445,3876.6860677866775,6705.727832785174,4276.183603799667,9756.185538254578,25.1162109375,377.4542542200652,7,0.5833333333333334,0.41666666666666663,0.7701542311921531,0.32089759633006376,168,-96.8481710092266,
2,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,20088.9076179668,2355.7760795940153,3834.7762572373863,9532.078339316071,5155.226753881639,39.1552734375,733.4603376301187,6,0.5,0.5,0.5973445758328656,0.2986722879164328,252,-123.77001360777871,
3,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,21283.11365903415,2122.3124582694168,3514.782602263154,7104.642434993718,11043.272563016155,29.7275390625,759.8782514568926,2,0.16666666666666666,0.8333333333333334,0.563827276038922,0.46985606336576835,308,-129.00259793625168,
4,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,23850.683079181486,2046.6290268818573,4046.850642278318,8229.03172765263,10443.944305805973,25.7314453125,637.5783886157421,5,0.4166666666666667,0.5833333333333333,0.5031302441175961,0.29349264240193107,308,-143.53614428085365,
5,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,7,1.8571428571428572,6,0.2857142857142857,1.7142857142857142,20308.332166888882,5116.251948572462,9855.28549673887,6552.3311363529665,13130.14928558404,43.21875,497.33918027451887,8,0.6666666666666666,0.33333333333333337,0.5908904730032457,0.19696349100108188,196,-137.04032166615667,
6,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,17857.626870471893,2342.144930778842,4231.64095022035,7678.651287929102,5520.056666924549,33.873046875,457.11529489272243,8,0.6666666666666666,0.33333333333333337,0.6719817861040848,0.2239939287013616,252,-112.1387658772278,
7,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,18741.65847185268,3463.5826939134445,6429.025681020341,10057.895219881644,8194.431604105635,38.49609375,327.4055944876181,7,0.5833333333333334,0.41666666666666663,0.6402848508856515,0.26678535453568814,224,-148.54521663141009,
8,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,24283.619548100607,2354.810927940825,3385.1418277429225,8743.71417929218,6169.938737855884,33.392578125,594.6812482551924,6,0.5,0.5,0.4941602703102225,0.24708013515511126,252,-127.31293752927013,
9,node_conditioned_dp,0.5,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,27309.378245121967,2742.1354393650604,5303.122461404673,7655.211410008249,10490.973799283647,28.5380859375,648.0754399423298,4,0.3333333333333333,0.6666666666666667,0.4394094912118131,0.29293966080787537,280,-136.40087732099906,
