episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.625,3,0.5,1.5,24030.051699222444,4231.279144541315,7516.474297293127,9198.621428363598,11545.560161324087,45.55078125,380.57185916599377,6,0.5,0.5,0.49937470589746136,0.24968735294873068,224,-138.82461533066703,
1,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.0,7,0.16666666666666666,2.0,25813.334709740437,7750.245105406198,13034.072912592366,6689.999765636135,16438.4844968253,42.8408203125,332.57806427756435,9,0.75,0.25,0.464876008269939,0.11621900206748476,168,-142.91039903238263,
2,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,17202.30895494449,2677.605502323897,4406.371835783447,8808.089736785807,6433.313298189971,41.548828125,705.2719510687289,6,0.5,0.5,0.6975807742687251,0.34879038713436256,224,-123.3439022582443,
3,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,37130.805098648474,2240.571594116722,6281.201701096149,6072.185498884307,11099.226148822338,24.3515625,598.6290268773206,2,0.16666666666666666,0.8333333333333334,0.3231817884939098,0.2693181570782582,280,-118.81004165838716,
4,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.0,4,0.5,2.0,26705.676534806826,4086.338714378067,7658.615088312806,7189.722318978823,13139.85515091337,40.494140625,459.8289425239965,7,0.5833333333333334,0.41666666666666663,0.44934267006341544,0.1872261125264231,168,-144.14325135289573,
5,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,17998.023980172627,1543.4637462848195,2691.286030953968,3866.624960787571,6214.193405153084,24.544921875,452.14453871619156,3,0.25,0.75,0.6667398606213493,0.5000548954660119,252,-70.47964555792528,
6,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,20542.58309651375,1821.5351993434379,2971.386642121789,8753.818592596392,3647.711040306964,30.1845703125,1065.3946243353796,8,0.6666666666666666,0.33333333333333337,0.5841524380659072,0.1947174793553024,280,-122.61106827682592,
7,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.625,4,0.375,1.5,24469.84768183882,2541.419259208628,5071.2508313509925,6748.025885374615,7580.647296139597,22.5146484375,556.4696416254054,5,0.4166666666666667,0.5833333333333333,0.4903994563442352,0.2860663495341372,224,-111.41371936586975,
8,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,7,2.0,5,0.5714285714285714,1.7142857142857142,22013.223320340643,4142.639067731207,8602.847687693025,9188.024125177764,8870.438975591218,37.03125,533.2002406100594,9,0.75,0.25,0.5451268914767139,0.13628172286917847,196,-132.39727586105886,
9,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,5,2.8,5,0.6,2.4,31411.31634560637,8821.40610821973,17958.062663087087,6756.367407342006,22641.85657613884,43.0107421875,329.70943563169027,8,0.6666666666666666,0.33333333333333337,0.38202792483984804,0.12734264161328268,140,-142.99141652523224,
10,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,20819.373952229784,2042.4945090753579,2999.95645537408,8337.039625326854,4211.719526094068,26.818359375,687.1789327469195,5,0.4166666666666667,0.5833333333333333,0.5763862077473652,0.3362252878526297,252,-107.42495610657934,
11,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,19643.61986068402,2689.8821104941967,3977.876264701529,7790.27253815657,11011.147569619061,28.330078125,541.146438984831,6,0.5,0.5,0.6108853706753691,0.30544268533768454,252,-136.21739106394955,
12,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,26882.106783566545,1822.860998865903,3263.8164194439596,5997.463023172022,8668.831210838487,19.734375,650.7289537335075,3,0.25,0.75,0.4463935842757603,0.3347951882068202,308,-107.89581858967995,
13,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,25706.42313955242,2360.996196171672,5039.127083603779,10539.704469568476,9097.178841679537,34.6787109375,669.0184929342911,4,0.3333333333333333,0.6666666666666667,0.4668094014813193,0.31120626765421283,308,-156.36269023338645,
14,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,29331.20822232157,2248.9230468666533,4074.6409978694746,10323.525344945652,9563.973300202737,30.5390625,390.5548376608647,4,0.3333333333333333,0.6666666666666667,0.4091205486335127,0.27274703242234183,308,-152.40154556099696,
15,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,28612.18352076659,3150.7866949573768,9895.437112914678,10033.619476624348,9673.018731605625,43.078125,571.2837608024738,5,0.4166666666666667,0.5833333333333333,0.41940175559444653,0.24465102409676048,280,-139.4359703077581,
16,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,21316.06456977601,1856.7132594556444,3051.0718425877235,8122.337062697981,3030.258337707585,32.630859375,679.1564198743035,5,0.4166666666666667,0.5833333333333333,0.5629556976016469,0.32839082360096067,252,-102.99306319931907,
17,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,23152.182338637955,2571.638758690746,5573.547077051082,10189.843184764888,7591.506645593352,37.7138671875,671.855258411582,6,0.5,0.5,0.5183096705304353,0.25915483526521765,308,-147.6331845084907,
18,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.5555555555555556,4,0.3333333333333333,1.3333333333333333,17928.07131337516,2899.6973208994095,4755.415018873266,8799.432152570927,5792.455927087425,34.576171875,640.4045489852889,10,0.8333333333333334,0.16666666666666663,0.6693413803551447,0.11155689672585743,252,-133.7698059470242,
