episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,27867.989574194544,2959.351687886237,5588.923288411653,9378.310101628946,13059.619169796677,38.830078125,500.310250045374,4,0.3333333333333333,0.6666666666666667,0.4306015677252826,0.28706771181685503,280,-158.88464171542935,
1,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.0,5,0.3333333333333333,2.0,29303.65646733717,6642.336558195201,11237.283951924286,6890.785594404757,16485.54582534091,42.134765625,359.48710011325727,7,0.5833333333333334,0.41666666666666663,0.40950521015613184,0.17062717089838828,168,-142.7263326777904,
2,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,24189.482426746625,2347.174295408778,4001.3537895829963,9958.447658124816,6669.68699988225,40.6845703125,866.4221663142952,7,0.5833333333333334,0.41666666666666663,0.4960833716198675,0.20670140484161145,280,-147.83352258041884,
3,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,54448.88403650367,1978.5444257200932,5617.776552506703,6906.5113848819,11669.802169209857,24.1435546875,759.4273231308462,2,0.16666666666666666,0.8333333333333334,0.22039019187160844,0.18365849322634037,336,-133.08876774910846,
4,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,38317.624850256005,3175.9748491350874,6813.556697093845,9059.979814899618,14765.00262596695,31.576171875,776.5384710072404,5,0.4166666666666667,0.5833333333333333,0.3131718118462613,0.1826835569103191,280,-172.3238949854769,
5,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,26491.23811544164,1217.2647170260211,2456.7119112805112,4095.266947217259,6278.359753600041,22.06640625,541.4971369570674,1,0.08333333333333333,0.9166666666666666,0.45297996068387786,0.415231630626888,308,-71.43712459252582,
6,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,30103.410456183923,1587.4866797882776,2572.5942639738505,9513.043579528852,4369.476433900752,27.603515625,1137.9934766500808,4,0.3333333333333333,0.6666666666666667,0.3986259303565031,0.26575062023766877,336,-127.14457296185289,
7,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,36110.25233027315,2411.640277852606,3950.0178874264834,7827.09219148419,9127.861108710962,21.3486328125,648.9678367064116,7,0.5833333333333334,0.41666666666666663,0.3323155953119652,0.1384648313799855,280,-133.4660700086329,
8,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,27493.725569337883,3544.394342078032,6510.602658677399,11079.914704226763,10062.37702480974,33.1435546875,809.0437431353695,8,0.6666666666666666,0.33333333333333337,0.4364632202986301,0.14548774009954338,280,-173.9210782312916,
9,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,7,2.0,4,0.5714285714285714,1.7142857142857142,35578.65907004546,7600.944577331178,15535.011130021845,8084.513037521978,23296.60931878484,36.4189453125,452.81754632928397,9,0.75,0.25,0.3372808395160427,0.08432020987901068,196,-175.7753943991009,
