episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,7,2.0,6,0.42857142857142855,1.7142857142857142,30744.51614366908,5746.625641453985,12649.674055611598,8815.081268274249,19973.094342412875,45.9697265625,275.06114494431614,5,0.4166666666666667,0.5833333333333333,0.3903135096979252,0.22768288065712303,196,-164.3617260136625,
1,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,19957.22075715667,1914.447875115194,2782.5330659041642,10309.523420467487,5725.581027049483,25.1982421875,863.6625726200089,5,0.4166666666666667,0.5833333333333333,0.6012861282649686,0.3507502414878984,336,-141.04232503607238,
2,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,16020.564610871334,1539.4487788283288,2960.3554127894568,6720.94255686217,3747.4138770548016,27.890625,598.7598921330883,3,0.25,0.75,0.7490372712492896,0.5617779534369672,252,-85.69008144703379,
3,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.6666666666666665,8,0.3333333333333333,2.0,32520.995062905735,7805.63072901376,16515.951188477204,6186.033267352152,22715.4596342018,34.7783203125,427.1069302998589,8,0.6666666666666666,0.33333333333333337,0.3689923994265324,0.1229974664755108,168,-175.4130671229784,
4,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,24211.40561443336,1433.2271274321893,2863.826901510257,5066.80165528031,7197.198973182368,27.4189453125,565.8476048128025,3,0.25,0.75,0.49563417304637336,0.37172562978478,308,-87.02878252244487,
5,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,7,1.8571428571428572,5,0.42857142857142855,1.7142857142857142,18029.526023250994,3772.969271387865,5424.460049410093,8404.447727973979,9026.831929290933,36.1083984375,598.2463659860815,6,0.5,0.5,0.6655749011108069,0.33278745055540343,196,-128.28534323099916,
6,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,16103.638964431218,2023.4545849104895,3407.3463027722055,7856.980664239053,4653.884460742774,35.0390625,737.4772165749067,4,0.3333333333333333,0.6666666666666667,0.7451731888987888,0.49678212593252585,252,-101.5946096596529,
7,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,18606.931427519343,3343.981693546962,5318.253563968552,9274.826768597306,7171.145093405874,43.412109375,538.6909032564718,7,0.5833333333333334,0.41666666666666663,0.6449209557601852,0.26871706490007713,224,-134.98247594350573,
8,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,7,1.7142857142857142,4,0.2857142857142857,1.7142857142857142,14695.03704223737,2428.113034406904,4165.281961641911,6632.645247292246,4803.2478526512305,40.453125,627.7852147346111,6,0.5,0.5,0.8166022287326578,0.4083011143663289,196,-98.62108869050311,
9,node_conditioned_dp,0.6,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,21949.40650217452,2803.1007649019643,6562.930039823327,7551.7351282462605,10627.931819859543,30.94921875,513.2259533657594,3,0.25,0.75,0.5467118210604539,0.41003386579534046,252,-118.5609910855634,
