episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,47491.06463478745,2096.883887151413,4758.352969977302,11333.521999780594,10207.286425911818,29.1767578125,726.5120028667731,2,0.16666666666666666,0.8333333333333334,0.252679111160838,0.210565925967365,336,-165.38192693153934,
1,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,19457.4018625127,2744.245509036655,5605.951270861264,6393.690733690701,9364.169926158487,26.3173828125,509.9351478357448,7,0.5833333333333334,0.41666666666666663,0.6167318784282095,0.25697161601175394,252,-115.48356312522407,
2,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.5,4,0.25,1.5,25503.53591244159,3436.075885988537,5579.596494735319,9098.747179789028,10957.881902864248,43.9541015625,668.314890551434,6,0.5,0.5,0.4705229910549754,0.2352614955274877,224,-149.64060324859838,
3,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,24418.885642736514,3325.707145832054,6513.746336330238,5737.958474552806,16111.049353894687,28.0693359375,576.9559195812446,2,0.16666666666666666,0.8333333333333334,0.4914229164904355,0.40951909707536294,252,-132.99915464512767,
4,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,31844.567820552704,2465.8112273993606,4342.3701984345735,8951.900283454597,11297.13649857703,29.3583984375,584.5845132015447,5,0.4166666666666667,0.5833333333333333,0.37683036138600434,0.21981771080850251,308,-146.8522936704964,
5,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.0,4,0.5,2.0,24310.625484285923,5274.290257672778,11775.779324620442,5861.926445089314,13658.867495336548,44.3115234375,399.25747755960197,7,0.5833333333333334,0.41666666666666663,0.49361132266039986,0.20567138444183328,168,-127.92889207644248,
6,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,23386.278262972683,3472.460765092362,5540.678518214315,7300.903310772763,10333.89000007174,37.1162109375,489.89744268018757,7,0.5833333333333334,0.41666666666666663,0.5131214067096563,0.21380058612902347,224,-128.01830615702823,
7,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.0,4,0.6666666666666666,2.0,24528.141434682668,5834.629192918689,10220.681311016097,8746.940191291513,15543.975924415918,43.7548828125,237.2253189752389,6,0.5,0.5,0.4892339695592289,0.24461698477961444,168,-144.38104276900947,
8,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,31895.470186955197,2443.5152403173784,5581.558945135066,8563.251638576145,11824.189638941109,27.0322265625,646.1861533731584,5,0.4166666666666667,0.5833333333333333,0.3762289732573948,0.21946690106681363,280,-153.09797121434488,
9,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,31545.741531985866,1422.7479839941327,2648.4113124526293,10231.233991570827,3628.3180755406247,35.630859375,692.8318123058203,3,0.25,0.75,0.3803999975030727,0.28529999812730455,336,-126.3255107828087,
10,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,34307.39437448379,1488.1065711952526,3094.607336788685,5762.296546601494,6030.111388787592,21.421875,740.0772376363149,2,0.16666666666666666,0.8333333333333334,0.3497788222857586,0.2914823519047988,308,-94.05298741936195,
11,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,2.0,6,0.25,1.5,36407.097196212395,7275.017830972126,16498.995283586282,10466.129861926322,19167.18112324832,40.3916015625,554.6658348318458,6,0.5,0.5,0.3296060637662817,0.16480303188314085,224,-177.20733069691414,
12,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,28576.902541293675,2454.386109176044,3779.8052704453885,10017.135980848529,7648.582555030138,39.66796875,458.9871004345029,7,0.5833333333333334,0.41666666666666663,0.4199195480566859,0.17496647835695248,280,-143.39939271793665,
13,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.3,3,0.2,1.2,40089.156982833214,4589.70851353174,9921.176943102895,7871.432232717416,21576.562362783276,32.689453125,563.4437369004396,4,0.3333333333333333,0.6666666666666667,0.2993328097455025,0.1995552064970017,280,-173.49251086200533,
14,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,36886.88115195926,2980.7282101961027,6338.785666924645,10836.528062950374,9205.204890812212,44.3349609375,640.680501841668,5,0.4166666666666667,0.5833333333333333,0.3253189108226521,0.18976936464654706,252,-151.9626844752413,
15,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,4,0.1111111111111111,1.3333333333333333,42113.295612688824,3328.0472760419093,7849.029104078547,7911.425693206074,17472.667805603043,35.90625,595.6286569849137,4,0.3333333333333333,0.6666666666666667,0.2849456406917813,0.18996376046118754,252,-163.0369029613521,
16,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,6,2.1666666666666665,5,0.3333333333333333,2.0,24479.11586795747,7713.4295778121805,16108.05423916091,6539.9104871859545,16751.53372638405,47.7451171875,483.70516199317905,8,0.6666666666666666,0.33333333333333337,0.49021378323992865,0.16340459441330954,168,-112.54250079700596,
17,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,28518.21939844121,2388.8949024681274,3240.484825860751,10198.648919003193,7668.082866980802,26.501953125,825.0039295029347,7,0.5833333333333334,0.41666666666666663,0.42078363422142384,0.1753265142589266,308,-155.4963744775169,
18,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,34882.52194584485,4345.729863240707,10672.479207508328,10946.608392589122,13466.670101284315,40.4326171875,569.4885504008628,7,0.5833333333333334,0.41666666666666663,0.3440118239911097,0.1433382599962957,252,-170.98163753528803,
19,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,33974.27798356659,1899.1639752177898,3127.025794958546,7757.249489169031,5805.703744998397,37.5791015625,540.0576770922951,5,0.4166666666666667,0.5833333333333333,0.35320838917620023,0.20603822701945013,280,-112.0083961304134,
20,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,26546.3216737627,3485.16419080344,6614.544453193202,7748.477707290763,9414.552580891528,37.482421875,663.9051597396132,7,0.5833333333333334,0.41666666666666663,0.45204002827481404,0.1883500117811725,224,-127.54513629972394,
21,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,37484.2031487473,5474.514144313696,14545.891209365831,7563.639658963741,17883.273461402747,33.59765625,652.471780197132,5,0.4166666666666667,0.5833333333333333,0.3201348566056161,0.18674533301994273,280,-168.1686977785346,
22,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.3,3,0.2,1.2,37282.07800136249,2451.850536591648,4359.387020682862,11842.52495226897,4253.579663690003,41.0068359375,767.354411608291,6,0.5,0.5,0.321870470834846,0.160935235417423,280,-149.75344896303582,
23,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,35705.40861864795,2603.1527087403865,4747.591468067763,9081.221668277292,8805.615107758376,34.013671875,553.6847160265706,6,0.5,0.5,0.33608353647947703,0.16804176823973851,252,-137.38672185844388,
24,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.4444444444444444,4,0.2222222222222222,1.3333333333333333,23616.19763859867,2854.704752755288,7020.517179635853,8237.043307752283,10634.431865416791,33.5244140625,673.4363584592198,4,0.3333333333333333,0.6666666666666667,0.5081258288754756,0.33875055258365044,252,-141.56986012028,
25,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,34943.791799630264,2708.7937548558803,4813.020045516971,6883.6995714679,16772.468496506313,17.6220703125,684.976391694629,2,0.16666666666666666,0.8333333333333334,0.3434086394747513,0.2861738662289594,308,-153.76215107535464,
26,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,39486.585482325434,1537.8952374625958,2884.259055000242,9385.5958228934,6899.581987474443,21.8291015625,907.428860945594,3,0.25,0.75,0.3039006754679083,0.22792550660093122,336,-135.95170143556098,
27,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,3,4.0,7,0.6666666666666666,4.0,43838.44521058905,16245.892442724098,26609.46013355384,7229.275463915817,36401.82302569053,113.4375,207.34672098270892,12,1.0,0.0,0.2737323356783063,0.0,84,-183.0659887309091,
28,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,10,1.4,4,0.2,1.2,41202.438059366315,7245.67421560775,16075.293071045335,11464.934327489605,25886.032111733315,34.96875,510.2590602930459,5,0.4166666666666667,0.5833333333333333,0.29124490115633117,0.16989285900785986,280,-225.13992833024605,
29,node_conditioned_dp,0.4,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,25537.051143993547,3400.7422552562834,5658.977292511604,11244.877435202954,7561.276540618935,42.7001953125,491.36469552894806,10,0.8333333333333334,0.16666666666666663,0.46990546920772663,0.07831757820128778,252,-163.0827459859333,
