episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,6,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,11677.834820611726,1649.2193827698593,2448.5480929969976,4311.0612369887185,2773.599728853547,26.326171875,336.29731224280226,3,0.375,0.625,0.6850584995327867,0.42816156220799173,168,-57.85447080920555,
1,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,7,1.1428571428571428,2,0.14285714285714285,1.1428571428571428,19772.539119638102,2535.994733432783,4954.078015121241,6981.974520155109,6119.106582730783,27.5830078125,307.67307739371967,1,0.125,0.875,0.4046015512521805,0.3540263573456579,196,-96.54279133971184,
2,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,8,1.0,1,0.0,1.0,15106.840935449807,1386.088955219352,1926.4577267130728,7010.727822037922,2062.7883244997624,19.8955078125,334.92445298955346,4,0.5,0.5,0.5295614108987637,0.26478070544938187,224,-86.5861207525189,
3,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,6,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,14951.183167845918,2769.026218968655,4833.0016844951615,4749.226588503545,5174.623085553809,22.623046875,335.7709963716907,2,0.25,0.75,0.5350747101543666,0.40130603261577497,168,-69.75805473639159,
4,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,8,1.0,1,0.0,1.0,18876.0994570805,1783.0321605012582,3669.0248996278933,3582.7785801398923,8127.327529786211,13.083984375,585.2962917667578,1,0.125,0.875,0.42381637256097243,0.3708393259908509,224,-78.75419468327576,
5,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,4,2.0,4,0.5,2.0,10463.388665788008,3300.6140010935605,5345.710661169842,5052.1580520400275,5219.6069588879445,26.3291015625,191.62365486003512,5,0.625,0.375,0.7645706620989322,0.2867139982870996,112,-79.58099980487032,
6,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,3,2.6666666666666665,4,0.6666666666666666,2.6666666666666665,18870.128799458285,9888.426917227069,15507.917913297055,7495.765646994573,11228.812959607794,44.1474609375,145.55019285591743,6,0.75,0.25,0.42395047140481945,0.10598761785120486,84,-101.0429981098969,
7,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,7,1.1428571428571428,2,0.14285714285714285,1.1428571428571428,12633.454744204944,2814.8682040555386,3859.3801720805186,9731.405711027805,2314.060191171584,29.8828125,587.9888420055574,5,0.625,0.375,0.6332392969286297,0.23746473634823614,196,-117.21186696517589,
8,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,5,1.8,3,0.6,1.6,30434.534579931547,9037.46025210529,18998.525957252365,4862.15720499091,25298.71472521747,26.1884765625,273.662649723168,4,0.5,0.5,0.2628592850332326,0.1314296425166163,140,-146.41238430848637,
9,node_conditioned_dp,0.6,8,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,8,8,0,1.0,7,1.1428571428571428,2,0.14285714285714285,1.1428571428571428,14926.28002340246,1834.8780146018294,2922.628595957407,5222.119810232017,4769.750356798736,21.9931640625,548.477324020755,2,0.25,0.75,0.5359674337783455,0.40197557533375916,196,-79.13427506778507,
