method,arrival_rate_rps,avg_e2e_s,p95_e2e_s,slo_pct,goodput_rps
EdgeShard-Adapted,0.1,2.643358533019886,9.388297424678884,85.34999999999998,0.0860028643411496
Ours,0.1,2.9126402978506785,9.853024508671723,79.94999999999999,0.07926231542132899
PETALS-Adapted,0.1,2.4670101569512553,8.770856305400866,87.35,0.0878944325463489
EdgeShard-Adapted,0.2,3.8530352228910423,12.547968743865955,70.15,0.1407708932960607
Ours,0.2,4.082728798069159,12.789555826328925,71.65,0.14129277654410935
PETALS-Adapted,0.2,3.5202654928872494,11.580583948160081,73.25,0.1468745671644654
EdgeShard-Adapted,0.3,6.698331940866075,18.185933116113354,54.25000000000001,0.16137187910490658
Ours,0.3,4.888110265731977,14.144923031941373,62.949999999999996,0.18481706601011022
PETALS-Adapted,0.3,5.975867510470703,16.465613392067684,57.9,0.17221286132481278
EdgeShard-Adapted,0.4,12.638520655111993,26.552855575044457,40.800000000000004,0.1600387311755903
Ours,0.4,5.71351625986138,15.410832465432529,55.75,0.21724919498902917
PETALS-Adapted,0.4,11.104762635037329,24.136076377219826,45.20000000000001,0.17751700899922765
EdgeShard-Adapted,0.5,20.41975903866217,39.23784288768559,31.099999999999994,0.15118032510098856
Ours,0.5,7.241640441019862,22.20185554263283,50.500000000000014,0.24370363217219754
PETALS-Adapted,0.5,18.077070703432003,35.111481441887335,35.449999999999996,0.17251158544968032
EdgeShard-Adapted,0.6,28.473129543969968,54.05837158856228,23.4,0.13614182162835237
Ours,0.6,8.014629922252476,24.65712735980306,45.7,0.26329593072557256
PETALS-Adapted,0.6,25.20081496702247,47.681708500535535,28.14999999999999,0.163258011023678
EdgeShard-Adapted,0.7,35.901798708970965,67.36563527146227,18.799999999999997,0.1258821247282526
Ours,0.7,10.247238200958456,31.18762986367353,41.54999999999999,0.2771336975230631
PETALS-Adapted,0.7,31.651558022533038,59.225969904313985,22.45,0.14951928026851075
