module,arrival_rate_rps,avg_e2e_reduction_pct,slo_improvement_pp,goodput_improvement_pct
Node-conditioned DP,0.1,0.08793582298621447,0.19999999999998908,0.21164466571534923
Node-conditioned DP,0.2,0.2858550221990064,0.15000000000000568,0.143315906410435
Node-conditioned DP,0.3,1.7242746303246779,0.45000000000000595,0.7659366887509123
Node-conditioned DP,0.4,1.838001084550862,0.9000000000000119,1.3284717109272481
Node-conditioned DP,0.5,4.15968325515412,0.8500000000000063,1.574964537286827
Node-conditioned DP,0.6,1.1485052775022944,1.29999999999999,2.7044298737871397
Node-conditioned DP,0.7,3.3738580622558447,2.7500000000000027,6.970269374187565
Graph Dueling DDQN,0.1,-46.49872998688044,-10.350000000000003,-12.958896521723872
Graph Dueling DDQN,0.2,-72.84863961820353,-11.350000000000005,-15.433818279649925
Graph Dueling DDQN,0.3,-76.80655390699185,-12.00000000000001,-18.03709933545632
Graph Dueling DDQN,0.4,-78.49779958939543,-12.20000000000001,-19.915029941561848
Graph Dueling DDQN,0.5,-93.45293613029881,-9.299999999999986,-18.17361125780341
Graph Dueling DDQN,0.6,-83.02651498723999,-6.9,-15.519009444384801
Graph Dueling DDQN,0.7,-101.86194793861351,-6.2,-15.33285222141304
