method,mobility,avg_e2e_s,goodput_rps,handover_overhead_ms_per_episode,completion_ratio
Ours,stationary,5.6288861984841105,0.22154840338591972,0.0,1.0
Ours,walking,5.632979451995124,0.22154824307054338,9.20702615666991,1.0
Ours,driving,5.602411520576919,0.22171269277862823,68.50822345458491,1.0
Ours,high_speed,5.67824153792868,0.22039246882156993,314.3412992825964,1.0
Ours w/o DDQN,stationary,3.09786583810878,0.27857645431537736,0.0,1.0
Ours w/o DDQN,walking,3.0978366581288443,0.27857645431537736,0.0,1.0
Ours w/o DDQN,driving,3.0967310240500736,0.27857669866104,20.26029079885337,1.0
Ours w/o DDQN,high_speed,3.1005295561091626,0.27890812185027525,140.5752563380624,1.0
DyBAP,stationary,3.5254547569048817,0.2666251449802214,0.0,1.0
DyBAP,walking,3.3836313224895287,0.26594209260011203,0.0,1.0
DyBAP,driving,3.411099559551653,0.26518083152014893,25.783017736544547,1.0
DyBAP,high_speed,3.5840813250099384,0.26183934039627615,162.85412926183176,1.0
PETALS-Adapted,stationary,10.976613349448067,0.17850510074709702,0.0,1.0
PETALS-Adapted,walking,10.990281091238991,0.1785120292438655,18.815887123644703,1.0
PETALS-Adapted,driving,11.097985384623895,0.17826607760256472,80.5120375275849,1.0
PETALS-Adapted,high_speed,11.186827710323824,0.17833484719907064,249.83710789660546,1.0
EdgeShard-Adapted,stationary,12.45057328067182,0.16187576752388272,0.0,1.0
EdgeShard-Adapted,walking,12.471614345115213,0.16188078122243602,25.080138291558924,1.0
EdgeShard-Adapted,driving,12.568655504873442,0.161957475371532,80.0235922555386,1.0
EdgeShard-Adapted,high_speed,12.692277024502541,0.1615369770319201,278.52002157015437,1.0
