method,mobility,avg_e2e_s,goodput_rps,handover_overhead_ms
Ours,stationary,3.16371,0.2433,0.0
Ours,walking,3.16374,0.2433,0.1455
Ours,driving,3.16659,0.243,2.1808
Ours,high_speed,3.16863,0.2427,18.8243
Ours w/o DDQN,stationary,3.42525,0.2143,0.0
Ours w/o DDQN,walking,3.42529,0.2143,0.1455
Ours w/o DDQN,driving,3.42843,0.214,2.5201
Ours w/o DDQN,high_speed,3.43522,0.2141,20.9352
DyBAP,stationary,5.87974,0.1777,0.0
DyBAP,walking,6.254,0.1571,1.2957
DyBAP,driving,6.3845,0.1572,7.8529
DyBAP,high_speed,6.29686,0.1557,36.1916
LECU,stationary,5.97802,0.1182,0.0
LECU,walking,5.98138,0.1182,1.4844
LECU,driving,5.98389,0.1182,9.0172
LECU,high_speed,5.98052,0.1182,49.0401
PETALS,stationary,6.20845113329221,0.15877804629638892,0.0
PETALS,walking,6.211385695718822,0.15877672645818336,1.11808196691278
PETALS,driving,6.223605046784588,0.15875838992233507,7.023453937181621
PETALS,high_speed,6.2291216997026435,0.15868848543728042,31.28160262193043
EdgeShard,stationary,6.864906110472554,0.13635264110670994,0.0
EdgeShard,walking,6.867891893072269,0.13635081094795942,1.3865398597549916
EdgeShard,driving,6.882362613558965,0.13633411740824816,7.703213020285691
EdgeShard,high_speed,6.885518061241012,0.1362744411196919,34.865957972715776
