experiment,condition_name,condition,method,method_group,metric,metric_label,value,unit,better_direction
common_analytical,arrival_rate_rps,0.1,NoBatch-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,2447.270834891773,ms,lower
common_analytical,arrival_rate_rps,0.1,NoBatch-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,5382.098873620561,ms,lower
common_analytical,arrival_rate_rps,0.1,NoBatch-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.7233333333333333,ratio,higher
common_analytical,arrival_rate_rps,0.1,NoBatch-LB,Conventional baseline,throughput_rps,Throughput,0.1184485412059346,requests/s,higher
common_analytical,arrival_rate_rps,0.1,NoBatch-LB,Conventional baseline,goodput_rps,Goodput,0.0859338439455841,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Fixed4-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,2412.039158360999,ms,lower
common_analytical,arrival_rate_rps,0.1,Fixed4-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,5360.3545840501165,ms,lower
common_analytical,arrival_rate_rps,0.1,Fixed4-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.7266666666666667,ratio,higher
common_analytical,arrival_rate_rps,0.1,Fixed4-LB,Conventional baseline,throughput_rps,Throughput,0.118501771336551,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Fixed4-LB,Conventional baseline,goodput_rps,Goodput,0.0863049937661336,requests/s,higher
common_analytical,arrival_rate_rps,0.1,SeqGreedy-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,2407.3019721611117,ms,lower
common_analytical,arrival_rate_rps,0.1,SeqGreedy-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,5331.438926060138,ms,lower
common_analytical,arrival_rate_rps,0.1,SeqGreedy-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.7258333333333333,ratio,higher
common_analytical,arrival_rate_rps,0.1,SeqGreedy-LB,Conventional baseline,throughput_rps,Throughput,0.118501771336551,requests/s,higher
common_analytical,arrival_rate_rps,0.1,SeqGreedy-LB,Conventional baseline,goodput_rps,Goodput,0.0862074369834425,requests/s,higher
common_analytical,arrival_rate_rps,0.1,LECU-RBA (adapted),External adapted baseline,avg_e2e_ms,Average E2E latency,3782.83333160584,ms,lower
common_analytical,arrival_rate_rps,0.1,LECU-RBA (adapted),External adapted baseline,p95_e2e_ms,P95 E2E latency,8451.110865605728,ms,lower
common_analytical,arrival_rate_rps,0.1,LECU-RBA (adapted),External adapted baseline,slo_satisfaction,SLO satisfaction,0.4958333333333333,ratio,higher
common_analytical,arrival_rate_rps,0.1,LECU-RBA (adapted),External adapted baseline,throughput_rps,Throughput,0.1167490782347887,requests/s,higher
common_analytical,arrival_rate_rps,0.1,LECU-RBA (adapted),External adapted baseline,goodput_rps,Goodput,0.0572049780910849,requests/s,higher
common_analytical,arrival_rate_rps,0.1,DyBAP-Adapted,External adapted baseline,avg_e2e_ms,Average E2E latency,3372.5568826883136,ms,lower
common_analytical,arrival_rate_rps,0.1,DyBAP-Adapted,External adapted baseline,p95_e2e_ms,P95 E2E latency,8109.953111147373,ms,lower
common_analytical,arrival_rate_rps,0.1,DyBAP-Adapted,External adapted baseline,slo_satisfaction,SLO satisfaction,0.6041666666666666,ratio,higher
common_analytical,arrival_rate_rps,0.1,DyBAP-Adapted,External adapted baseline,throughput_rps,Throughput,0.1177615804595067,requests/s,higher
common_analytical,arrival_rate_rps,0.1,DyBAP-Adapted,External adapted baseline,goodput_rps,Goodput,0.0716590403149897,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Ours w/o DDQN,Ablation,avg_e2e_ms,Average E2E latency,2412.74772548756,ms,lower
common_analytical,arrival_rate_rps,0.1,Ours w/o DDQN,Ablation,p95_e2e_ms,P95 E2E latency,5368.0913850087245,ms,lower
common_analytical,arrival_rate_rps,0.1,Ours w/o DDQN,Ablation,slo_satisfaction,SLO satisfaction,0.7266666666666667,ratio,higher
common_analytical,arrival_rate_rps,0.1,Ours w/o DDQN,Ablation,throughput_rps,Throughput,0.118501771336551,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Ours w/o DDQN,Ablation,goodput_rps,Goodput,0.0863049937661336,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Full,Ours,avg_e2e_ms,Average E2E latency,2250.9502163381308,ms,lower
common_analytical,arrival_rate_rps,0.1,Full,Ours,p95_e2e_ms,P95 E2E latency,5002.958162542382,ms,lower
common_analytical,arrival_rate_rps,0.1,Full,Ours,slo_satisfaction,SLO satisfaction,0.76,ratio,higher
common_analytical,arrival_rate_rps,0.1,Full,Ours,throughput_rps,Throughput,0.118674571369984,requests/s,higher
common_analytical,arrival_rate_rps,0.1,Full,Ours,goodput_rps,Goodput,0.0906839417137291,requests/s,higher
common_analytical,arrival_rate_rps,0.2,NoBatch-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,3002.047388315367,ms,lower
common_analytical,arrival_rate_rps,0.2,NoBatch-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,6328.011973176826,ms,lower
common_analytical,arrival_rate_rps,0.2,NoBatch-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.6216666666666666,ratio,higher
common_analytical,arrival_rate_rps,0.2,NoBatch-LB,Conventional baseline,throughput_rps,Throughput,0.2292117504639231,requests/s,higher
common_analytical,arrival_rate_rps,0.2,NoBatch-LB,Conventional baseline,goodput_rps,Goodput,0.1414110706036244,requests/s,higher
common_analytical,arrival_rate_rps,0.2,Fixed4-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,2772.668506302098,ms,lower
common_analytical,arrival_rate_rps,0.2,Fixed4-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,5973.304916780813,ms,lower
common_analytical,arrival_rate_rps,0.2,Fixed4-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.6391666666666667,ratio,higher
common_analytical,arrival_rate_rps,0.2,Fixed4-LB,Conventional baseline,throughput_rps,Throughput,0.2305094195055645,requests/s,higher
common_analytical,arrival_rate_rps,0.2,Fixed4-LB,Conventional baseline,goodput_rps,Goodput,0.1464098036004824,requests/s,higher
common_analytical,arrival_rate_rps,0.2,SeqGreedy-LB,Conventional baseline,avg_e2e_ms,Average E2E latency,2777.948874825402,ms,lower
common_analytical,arrival_rate_rps,0.2,SeqGreedy-LB,Conventional baseline,p95_e2e_ms,P95 E2E latency,6000.946498960983,ms,lower
common_analytical,arrival_rate_rps,0.2,SeqGreedy-LB,Conventional baseline,slo_satisfaction,SLO satisfaction,0.6375,ratio,higher
common_analytical,arrival_rate_rps,0.2,SeqGreedy-LB,Conventional baseline,throughput_rps,Throughput,0.2304653135658843,requests/s,higher
common_analytical,arrival_rate_rps,0.2,SeqGreedy-LB,Conventional baseline,goodput_rps,Goodput,0.1458663473480625,requests/s,higher
common_analytical,arrival_rate_rps,0.2,LECU-RBA (adapted),External adapted baseline,avg_e2e_ms,Average E2E latency,4592.924468514215,ms,lower
common_analytical,arrival_rate_rps,0.2,LECU-RBA (adapted),External adapted baseline,p95_e2e_ms,P95 E2E latency,9691.2086713033,ms,lower
common_analytical,arrival_rate_rps,0.2,LECU-RBA (adapted),External adapted baseline,slo_satisfaction,SLO satisfaction,0.4133333333333333,ratio,higher
common_analytical,arrival_rate_rps,0.2,LECU-RBA (adapted),External adapted baseline,throughput_rps,Throughput,0.2207908927388274,requests/s,higher
common_analytical,arrival_rate_rps,0.2,LECU-RBA (adapted),External adapted baseline,goodput_rps,Goodput,0.0907475082273118,requests/s,higher
common_analytical,arrival_rate_rps,0.2,DyBAP-Adapted,External adapted baseline,avg_e2e_ms,Average E2E latency,4465.528966284739,ms,lower
common_analytical,arrival_rate_rps,0.2,DyBAP-Adapted,External adapted baseline,p95_e2e_ms,P95 E2E latency,9423.45074928793,ms,lower
common_analytical,arrival_rate_rps,0.2,DyBAP-Adapted,External adapted baseline,slo_satisfaction,SLO satisfaction,0.5158333333333333,ratio,higher
common_analytical,arrival_rate_rps,0.2,DyBAP-Adapted,External adapted baseline,throughput_rps,Throughput,0.2235732823041772,requests/s,higher
