method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,1.410677923832653,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,0.2602607075929373,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,0.33333333333334103,percentage points
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.04493945647153393,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,0.4319018020240243,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,-0.029376269622519005,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,-0.14433375324888142,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,0.0,percentage points
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.0,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,0.0,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,-0.2262181225880548,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,-0.6874777983374902,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,0.08333333333333526,percentage points
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.0,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,0.11316515848838941,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,36.218503064121755,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,36.48064177153626,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,23.08333333333334,percentage points
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,1.5012479141270358,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,50.86972610795175,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,28.45939121523952,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,33.80860146244098,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,12.250000000000005,percentage points
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.628550393223383,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,20.438389052888628,%
Full,NoBatch-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,8.022022563037016,%
Full,NoBatch-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,7.04447688496532,%
Full,NoBatch-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,3.6666666666666736,percentage points
Full,NoBatch-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.19082562077014115,%
Full,NoBatch-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,5.5276216564371214,%
Full,Fixed4-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,6.678537596061646,%
Full,Fixed4-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,6.667402611222359,%
Full,Fixed4-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,3.3333333333333326,percentage points
Full,Fixed4-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.14582063329857947,%
Full,Fixed4-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,5.073805994889964,%
Full,SeqGreedy-LB,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,6.49489584734644,%
Full,SeqGreedy-LB,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,6.16120278358885,%
Full,SeqGreedy-LB,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,3.416666666666668,percentage points
Full,SeqGreedy-LB,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.14582063329857947,%
Full,SeqGreedy-LB,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,5.192712933973864,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,40.49565447329433,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,40.80117700380212,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,26.41666666666667,percentage points
Full,LECU-RBA (adapted),arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,1.6492576766413771,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,58.52456331569108,%
Full,DyBAP-Adapted,arrival_rate_rps,0.1,avg_e2e_reduction_pct,Average E2E reduction,33.25686431287511,%
Full,DyBAP-Adapted,arrival_rate_rps,0.1,p95_e2e_reduction_pct,P95 E2E reduction,38.31088670949693,%
Full,DyBAP-Adapted,arrival_rate_rps,0.1,slo_gain_pp,SLO satisfaction gain,15.583333333333337,percentage points
Full,DyBAP-Adapted,arrival_rate_rps,0.1,throughput_gain_pct,Throughput gain,0.7752875826859615,%
Full,DyBAP-Adapted,arrival_rate_rps,0.1,goodput_gain_pct,Goodput gain,26.549199256802993,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,7.67486562693966,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,5.070601321807393,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,1.8333333333333424,percentage points
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.5825366983339161,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,3.861601669066528,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,0.03693990445158831,%
