method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,stationary,avg_e2e_reduction_pct,Average E2E reduction,42.70258251559909,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,stationary,p95_e2e_reduction_pct,P95 E2E reduction,42.12289075501086,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,stationary,slo_gain_pp,SLO satisfaction gain,20.750000000000007,percentage points
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,stationary,throughput_gain_pct,Throughput gain,14.17454065466662,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,stationary,goodput_gain_pct,Goodput gain,81.28478781686157,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,stationary,avg_e2e_reduction_pct,Average E2E reduction,41.74484029983298,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,stationary,p95_e2e_reduction_pct,P95 E2E reduction,33.80166708400775,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,stationary,slo_gain_pp,SLO satisfaction gain,7.9999999999999964,percentage points
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,stationary,throughput_gain_pct,Throughput gain,9.186384217356915,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,stationary,goodput_gain_pct,Goodput gain,20.59554313644677,%
Full,LECU-RBA (adapted),mobility_mode,stationary,avg_e2e_reduction_pct,Average E2E reduction,47.07766392592237,%
Full,LECU-RBA (adapted),mobility_mode,stationary,p95_e2e_reduction_pct,P95 E2E reduction,44.86015165537448,%
Full,LECU-RBA (adapted),mobility_mode,stationary,slo_gain_pp,SLO satisfaction gain,26.66666666666668,percentage points
Full,LECU-RBA (adapted),mobility_mode,stationary,throughput_gain_pct,Throughput gain,15.165643134238998,%
Full,LECU-RBA (adapted),mobility_mode,stationary,goodput_gain_pct,Goodput gain,105.78365510613959,%
Full,DyBAP-Adapted,mobility_mode,stationary,avg_e2e_reduction_pct,Average E2E reduction,46.19305240867721,%
