method,baseline,mobility_mode,avg_e2e_reduction_pct,p95_e2e_reduction_pct,slo_gain_pp,throughput_gain_pct,goodput_gain_pct
Ours w/o DDQN,LECU-RBA (adapted),stationary,42.70258251559909,42.12289075501086,20.750000000000007,14.17454065466662,81.28478781686157
Ours w/o DDQN,DyBAP-Adapted,stationary,41.74484029983298,33.80166708400775,7.9999999999999964,9.186384217356915,20.59554313644677
Full,LECU-RBA (adapted),stationary,47.07766392592237,44.86015165537448,26.66666666666668,15.165643134238998,105.78365510613959
Full,DyBAP-Adapted,stationary,46.19305240867721,36.932474940930696,13.916666666666666,10.134186551510133,36.892852152594756
Ours w/o DDQN,LECU-RBA (adapted),walking,42.73412506385254,42.217387045393025,20.750000000000007,14.183202118322285,81.28987442839559
Ours w/o DDQN,DyBAP-Adapted,walking,45.23044874322224,39.94400020430025,12.499999999999995,11.754317026520225,36.364078843232996
Full,LECU-RBA (adapted),walking,47.10675152819228,44.950120706029246,26.66666666666668,15.174379784517322,105.78942912350853
Full,DyBAP-Adapted,walking,49.4124644643202,42.78424995717657,18.416666666666664,12.724410534869932,54.79235134660452
Ours w/o DDQN,LECU-RBA (adapted),driving,42.705678584087785,42.07008671587138,20.66666666666667,14.179164910995867,81.07297032326068
Ours w/o DDQN,DyBAP-Adapted,driving,46.30077012872283,40.56167863527063,12.416666666666659,11.799260501343692,36.1341937513328
Full,LECU-RBA (adapted),driving,47.081385596641596,44.809330992015255,26.583333333333343,15.173118221135299,105.57594586402968
Full,DyBAP-Adapted,driving,50.40191123502501,43.37224872508539,18.33333333333333,12.772496250029306,54.55600907692318
Ours w/o DDQN,LECU-RBA (adapted),high_speed,42.5597283857379,42.109872918607934,20.66666666666667,14.236116698809623,81.14664444894433
Ours w/o DDQN,DyBAP-Adapted,high_speed,45.4453973496998,40.374212923251484,12.58333333333333,12.079570224711981,37.45388701748518
Full,LECU-RBA (adapted),high_speed,47.01751199201292,44.919466749121945,26.500000000000007,15.237775143666294,105.35413632991315
Full,DyBAP-Adapted,high_speed,49.679232018423285,43.268043908884664,18.416666666666664,13.06231938719869,55.82250689507393
