mode,method,avg_e2e_ms,p95_e2e_ms,slo,goodput,handover,migration_mb
stationary,Node-DP,11921.862342647111,22281.853072849477,0.4633333333333332,0.1333000393099199,0.0,0.0
stationary,LeCu-RBA,18852.12049072272,35478.540849366545,0.2691666666666666,0.0717437001106263,0.0,0.0
stationary,DyBAP-adapted,17892.892725965303,29504.489172136942,0.3691666666666666,0.0990842548584332,0.0,0.0
stationary,Full + Keep,15740.858234968437,30108.749858729192,0.4125,0.117436387455644,0.0,0.0
stationary,Full + Reactive,15740.858234968437,30108.749858729192,0.4125,0.117436387455644,0.0,0.0
stationary,Full + Predictive,15740.858234968437,30108.749858729192,0.4125,0.117436387455644,0.0,0.0
walking,Node-DP,11923.273032171392,22292.080146699227,0.4633333333333332,0.1332967167628534,0.31,0.0
walking,LeCu-RBA,18855.88779028303,35488.76044564429,0.2691666666666666,0.0717627487384477,1.21,0.0
walking,DyBAP-adapted,21215.88408588645,35742.59886083338,0.2933333333333333,0.0738188986032949,1.27,0.0
walking,Full + Keep,15747.320382073953,30134.68530279305,0.4125,0.1173948733321698,0.73,0.0
walking,Full + Reactive,14886.321904048917,27905.73501293932,0.4133333333333333,0.1177103715606444,0.71,48.89994140625
walking,Full + Predictive,14810.587496726335,27710.07713182249,0.4141666666666666,0.1178722602217104,0.74,51.9891796875
driving,Node-DP,11981.329039440672,22426.13706852048,0.46,0.1322412086157559,2.69,0.0
driving,LeCu-RBA,18879.970973091386,35522.0785794572,0.2675,0.0712197304292914,5.31,0.0
driving,DyBAP-adapted,21215.43952083503,35320.418663417164,0.2891666666666666,0.0717453853120575,4.58,0.0
driving,Full + Keep,15754.965489284976,30147.898851324127,0.4108333333333334,0.1168499623741981,3.67,0.0
driving,Full + Reactive,13404.62075723025,24611.5881881446,0.4275,0.1209065795076804,3.14,105.266015625
driving,Full + Predictive,13215.764703155204,24542.23840743256,0.4275,0.1212031556565214,3.06,106.521328125
high_speed,Node-DP,11935.011238649618,22264.74813037702,0.4641666666666666,0.1337723089610321,9.9,0.0
high_speed,LeCu-RBA,18797.08183882589,35494.250853741614,0.265,0.070726909350073,16.26,0.0
high_speed,DyBAP-adapted,21479.98097047128,35822.66980850718,0.2741666666666666,0.065741835283412,14.52,0.0
high_speed,Full + Keep,15706.25550474346,29972.52302802464,0.4116666666666666,0.1181863151328374,12.55,0.0
high_speed,Full + Reactive,11744.482577957586,21538.95056840402,0.4491666666666666,0.1291055611177111,10.18,166.98234375
high_speed,Full + Predictive,11452.420345398325,21134.359287285883,0.465,0.1336307956151482,10.05,170.75009765625
