episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,56444.26586637169,8531.757368521798,11455.544639949165,0.5,0.21259909781463468,0.10629954890731734,3,3,0.6666666666666666,0.0,125.59574349814102,0.0,41.86524783271367,41.86524783271367,0.0,0.0,0.0,0,0,224,-295.25232316004264,
1,20008,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-146.28972704742998,
2,20009,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,36393.552312815475,14703.670615641944,23509.167722718168,0.16666666666666663,0.32972873592706065,0.05495478932117678,4,4,0.25,0.0,-508.52148246049,0.0,-127.1303706151225,-127.1303706151225,0.0,0.0,0.0,0,0,112,-177.55319815741836,
3,20010,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,5,2.4,47376.387368131924,16699.51370035765,27776.307698493838,0.6666666666666667,0.2532907354618577,0.16886049030790515,6,6,0.6666666666666666,0.0,-378.715334430839,0.0,-63.11922240513983,-63.11922240513983,0.0,0.0,0.0,0,0,140,-222.2252253529748,
4,20011,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,5,2.4,46216.717430020944,12525.827356512478,18917.474687124748,0.5833333333333333,0.2596463069487746,0.15146034572011854,4,4,0.75,0.0,473.75746115963557,0.0,118.43936528990889,118.43936528990889,0.0,0.0,0.0,0,0,140,-215.03570251722522,
5,20012,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,33324.72653024151,8633.524251831534,14529.565726710267,0.25,0.3600929774805577,0.09002324437013942,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-179.6991993567873,
6,20013,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,41062.145004034646,16227.387065189854,24384.61160950685,0.16666666666666663,0.2922399694127259,0.04870666156878765,2,2,1.0,0.0,-515.8570794040752,0.0,-257.9285397020376,-257.9285397020376,0.0,0.0,0.0,0,0,112,-187.61539594883675,
7,20014,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,46418.62641855347,16559.260385627418,33697.948337310176,0.41666666666666663,0.2585169128400494,0.10771538035002058,6,6,0.3333333333333333,0.0,-550.4489567225064,0.0,-91.7414927870844,-91.7414927870844,0.0,0.0,0.0,0,0,112,-215.2480269248051,
8,20015,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,46321.14527205609,7520.254416774587,14864.137267546703,0.5833333333333333,0.2590609521746686,0.1511188887685567,1,1,1.0,0.0,1148.5960255260215,0.0,1148.5960255260215,1148.5960255260215,0.0,0.0,0.0,0,0,224,-215.43361650530653,
9,20016,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,49557.71598360342,17084.95299967751,26675.5072508999,0.41666666666666663,0.2421419099292288,0.10089246247051199,3,3,0.6666666666666666,0.0,860.5804297462455,0.0,286.8601432487485,286.8601432487485,0.0,0.0,0.0,0,0,112,-223.3101461566553,
10,20017,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,42927.52864628292,8723.737981762904,16407.137446498404,0.8333333333333334,0.27954090017336874,0.23295075014447397,2,2,1.0,0.0,702.263955704977,0.0,351.1319778524885,351.1319778524885,0.0,0.0,0.0,0,0,224,-215.30168771925617,
11,20018,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,41636.405052655275,12133.296773821474,25019.743404827284,0.5,0.2882093203009304,0.1441046601504652,4,3,1.0,0.0,2141.7086478317797,0.0,535.4271619579449,713.9028826105932,0.0,0.0,0.0,0,0,196,-237.8097073042752,
12,20019,0.4,node_dp,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,47800.4702046342,11005.644415469433,23614.513609528472,0.5,0.25104355560997416,0.12552177780498708,3,3,1.0,0.0,612.652838919792,0.0,204.21761297326398,204.21761297326398,0.0,0.0,0.0,0,0,168,-259.0650386449184,
