episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,81080.31428491582,16686.413694673913,35799.51014116019,0.33333333333333337,0.14800139967183723,0.049333799890612415,13,8,0.375,0.0,-411.99759442975756,0.0,-31.69212264844289,-51.499699303719694,0.0,0.0,0.0,0,0,252,-438.3044063295024,
1,20008,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,33006.60992834891,10113.762971938731,17018.52543261714,0.0,0.36356354154666976,0.0,11,9,0.0,0.0,-484.0185710421265,0.0,-44.001688276556955,-53.779841226902946,0.0,0.0,0.0,0,0,196,-227.15594814542467,
2,20009,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,54110.48869858692,28926.204611833837,36462.15759991886,0.08333333333333337,0.22176846464728708,0.01848070538727392,10,7,0.14285714285714285,0.0,-1335.390822603391,0.0,-133.5390822603391,-190.77011751477013,0.0,0.0,0.0,0,0,223,-321.2384947157819,
3,20010,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,62072.08937531819,28855.293579350575,45813.09018841726,0.41666666666666663,0.19332360358360318,0.08055150149316799,27,9,0.3333333333333333,0.0,-997.0139889868624,0.0,-36.92644403655046,-110.77933210965138,0.0,0.0,0.0,0,0,168,-331.0745182882308,
4,20011,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,55853.46335219764,25922.319870108855,37018.61902847628,0.25,0.2148479123726146,0.05371197809315365,17,9,0.3333333333333333,0.0,-802.6078759547408,0.0,-47.2122279973377,-89.1786528838601,0.0,0.0,0.0,0,0,168,-316.5181743068916,
5,20012,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,10,1.2,39300.92869057104,10846.494954331032,19589.584317335168,0.16666666666666663,0.3053362961084175,0.05088938268473625,4,3,0.3333333333333333,0.0,-1766.7972436913678,0.0,-441.69931092284196,-588.9324145637893,0.0,0.0,0.0,0,0,280,-273.03276465813553,
6,20013,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,43380.730223104445,13884.728379524793,23827.751477523492,0.33333333333333337,0.27662051648934294,0.09220683882978098,9,7,0.42857142857142855,0.0,-227.99535176133213,0.0,-25.332816862370237,-32.57076453733316,0.0,0.0,0.0,0,0,168,-255.6861816764199,
7,20014,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,35563.822097673896,14929.68518645763,30290.130999158315,0.5,0.33742155067143015,0.16871077533571507,10,9,0.6666666666666666,0.0,-1654.6276185025017,0.0,-165.46276185025016,-183.84751316694462,0.0,0.0,0.0,0,0,112,-187.24795184183026,
8,20015,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,52111.88745621888,21487.271280112192,30227.317853594563,0.25,0.2302737549101756,0.0575684387275439,10,5,0.2,0.0,-170.84519755985457,0.0,-17.084519755985458,-34.169039511970915,0.0,0.0,0.0,0,0,196,-324.27956594063835,
9,20016,0.4,dybap_adapted,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,72100.33940746805,30129.935721859958,48218.50485439195,0.08333333333333337,0.1664347227574501,0.013869560229787508,25,8,0.0,0.0,5060.303116383693,0.0,202.41212465534772,632.5378895479616,0.0,0.0,0.0,0,0,168,-368.2103278815019,
