episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,64131.27146110525,11943.041877612928,18890.050671558387,0.41666666666666663,0.18711620285398264,0.07796508452249278,14,10,0.4,0.0,666.8552058838313,0.0,47.63251470598795,66.68552058838313,0.0,0.0,0.0,0,0,194,-347.1680682171607,
1,20008,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,29883.157475600576,8594.322950259739,14437.649043721285,0.16666666666666663,0.40156399168320583,0.06692733194720098,8,7,0.0,0.0,-790.8548843461322,0.0,-98.85686054326652,-112.9792691923046,0.0,0.0,0.0,0,0,140,-170.219187966444,
2,20009,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,37492.07870564512,10296.176565231368,19482.938487995052,0.33333333333333337,0.320067609326585,0.10668920310886168,9,8,0.5,0.0,-908.3364449840374,0.0,-100.92627166489304,-113.54205562300467,0.0,0.0,0.0,0,0,111,-181.96589449129488,
3,20010,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,114812.97908438258,60327.194043749456,101943.39948973696,0.0,0.10451780012763644,0.0,38,10,0.0,0.0,1241.9399233462118,0.0,32.68262956174242,124.19399233462119,0.0,0.0,0.0,0,0,137,-497.2807323348975,
4,20011,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,41039.33086104199,10619.871744102207,18656.094682754927,0.5833333333333333,0.29240242831033625,0.17056808318102948,10,7,0.7142857142857143,0.0,1287.959999179613,0.0,128.7959999179613,183.99428559708758,0.0,0.0,0.0,0,0,140,-208.21789609827454,
5,20012,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,29747.82768043923,6051.795832750358,10636.199141072188,0.33333333333333337,0.4033907997890762,0.13446359992969206,3,3,0.6666666666666666,0.0,-179.6068954326147,0.0,-59.8689651442049,-59.8689651442049,0.0,0.0,0.0,0,0,196,-199.23068497293195,
6,20013,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,3,4.0,51809.7351813844,22051.04321486429,35791.67752547229,0.08333333333333337,0.2316167021118395,0.019301391842653292,16,11,0.09090909090909091,0.0,-59.311575438521686,0.0,-3.7069734649076054,-5.391961403501972,0.0,0.0,0.0,0,0,58,-221.15309784417164,
7,20014,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,45047.98238354015,15788.926467157167,32908.12960464157,0.5,0.2663826294778658,0.1331913147389329,12,10,0.5,0.0,-2264.656924696872,0.0,-188.721410391406,-226.4656924696872,0.0,0.0,0.0,0,0,112,-213.86026821091428,
8,20015,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,77374.3541218465,23346.696166777798,48627.082466281354,0.0,0.15509014758433795,0.0,24,9,0.0,0.0,229.3009804860485,0.0,9.554207520252021,25.477886720672057,0.0,0.0,0.0,0,0,80,-241.96423290872457,
9,20016,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,59477.40532568006,17100.74468470091,33797.426603473636,0.41666666666666663,0.201757288070851,0.08406553669618792,16,10,0.3,0.0,366.8080538688919,0.0,22.925503366805742,36.68080538688919,0.0,0.0,0.0,0,0,102,-259.52991474412534,
10,20017,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,50647.92673452219,16677.256183258745,31782.603368788303,0.33333333333333337,0.2369297377738597,0.07897657925795323,17,8,0.375,0.0,1327.5166109146694,0.0,78.08921240674526,165.93957636433367,0.0,0.0,0.0,0,0,168,-249.73407837693998,
11,20018,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,43952.797010732116,13593.513103157175,27572.488607964737,0.5,0.2730201674553252,0.1365100837276626,15,9,0.5555555555555556,0.0,1063.5252082167835,0.0,70.90168054778557,118.16946757964261,0.0,0.0,0.0,0,0,196,-263.57553806421754,
12,20019,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,57018.74415261658,15183.763225943434,32601.116780066386,0.16666666666666663,0.21045710806749368,0.035076184677915616,12,7,0.14285714285714285,0.0,-286.12638642173624,0.0,-23.843865535144687,-40.87519806024803,0.0,0.0,0.0,0,0,168,-329.2436509009037,
13,20020,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,39027.288022702705,6762.12080005181,11931.404829948502,0.75,0.3074771681040055,0.23060787607800412,6,5,1.0,0.0,424.41899273988383,0.0,70.73649878998064,84.88379854797677,0.0,0.0,0.0,0,0,224,-207.66911262737062,
14,20021,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,43333.51223230744,8654.84749467598,14140.914539738016,0.75,0.2769219336680806,0.20769145025106045,6,4,1.0,0.0,-681.5215696177765,0.0,-113.58692826962942,-170.38039240444414,0.0,0.0,0.0,0,0,168,-225.70827016138784,
15,20022,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,39812.73079420512,9653.546357157518,18762.822095371313,0.16666666666666663,0.30141112555249894,0.05023518759208316,9,6,0.16666666666666666,0.0,434.3717701558835,0.0,48.26353001732039,72.39529502598059,0.0,0.0,0.0,0,0,196,-216.17365307370852,
16,20023,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,3,4.0,46751.185159405315,20093.715659434845,37929.03464513876,0.08333333333333337,0.2566779849341608,0.021389832077846734,15,6,0.16666666666666666,0.0,-182.29698436443869,0.0,-12.15313229096258,-30.382830727406446,0.0,0.0,0.0,0,0,84,-223.8386013135563,
17,20024,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,50387.29643501124,21027.322902250133,38881.751883295365,0.08333333333333337,0.23815526628775205,0.019846272190646004,17,10,0.1,0.0,765.6093662819076,0.0,45.03584507540633,76.56093662819076,0.0,0.0,0.0,0,0,111,-257.34202312542163,
18,20025,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,58953.93751702487,15626.787362564188,36262.619595966426,0.0,0.20354874509500928,0.0,8,5,0.0,0.0,-1451.1476757758192,0.0,-181.3934594719774,-290.22953515516383,0.0,0.0,0.0,0,0,142,-252.6866825005659,
19,20026,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,68827.06930384558,19802.902492372028,40042.55959333814,0.16666666666666663,0.17435000678329804,0.029058334463883007,16,9,0.1111111111111111,0.0,-1210.115221027765,0.0,-75.63220131423532,-134.4572467808628,0.0,0.0,0.0,0,0,140,-266.53926357700504,
20,20027,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,87001.79516912931,34061.175954566505,74195.846085179,0.08333333333333337,0.13792818845487384,0.01149401570457282,31,11,0.0,0.0,-828.3522612964607,0.0,-26.721040686982604,-75.30475102695097,0.0,0.0,0.0,0,0,131,-417.000570294563,
21,20028,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,83548.05764370543,26318.409588849423,44620.81468253258,0.16666666666666663,0.14362990999951858,0.0239383183332531,20,10,0.2,0.0,1886.8678159459678,0.0,94.34339079729838,188.68678159459677,0.0,0.0,0.0,0,0,140,-313.18773989335307,
22,20029,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,80456.83520839202,25697.59483408194,56773.510030292025,0.08333333333333337,0.149148297579922,0.012429024798326834,26,10,0.1,0.0,1354.1140000798623,0.0,52.08130769537932,135.41140000798623,0.0,0.0,0.0,0,0,112,-281.774184929099,
23,20030,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,82667.6429066121,33526.83595733139,58724.59283175941,0.0,0.14515957608173427,0.0,27,11,0.0,0.0,3259.679673935192,0.0,120.72887681241453,296.3345158122902,0.0,0.0,0.0,0,0,112,-375.3096924530405,
24,20031,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,33558.560580679245,7831.403598625789,14309.070025492434,0.5,0.35758387107070355,0.17879193553535178,6,5,0.6,0.0,1346.0782691020468,0.0,224.34637818367446,269.21565382040933,0.0,0.0,0.0,0,0,196,-213.8970040874919,
25,20032,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,47287.43642543836,8737.711627519488,16175.317227310106,0.41666666666666663,0.2537671928763002,0.10573633036512507,8,7,0.42857142857142855,0.0,301.39033471306357,0.0,37.673791839132946,43.05576210186622,0.0,0.0,0.0,0,0,196,-273.28801476589194,
26,20033,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,47034.254454008944,8964.352376707628,16955.289965903135,0.5,0.255133203221789,0.1275666016108945,6,6,0.6666666666666666,0.0,-216.91447448291,0.0,-36.15241241381833,-36.15241241381833,0.0,0.0,0.0,0,0,137,-247.3053683401958,
27,20034,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,40288.55800149324,6940.031857401392,13565.366993387086,0.5833333333333333,0.2978513154914911,0.17374660070336978,5,5,0.8,0.0,516.4406670368653,0.0,103.28813340737307,103.28813340737307,0.0,0.0,0.0,0,0,160,-210.66294428703594,
28,20035,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,29845.776039757126,4694.644706942018,8739.609278033275,0.5833333333333333,0.4020669452191484,0.23453905137783657,1,1,1.0,0.0,-207.9828602696507,0.0,-207.9828602696507,-207.9828602696507,0.0,0.0,0.0,0,0,147,-202.20617361851328,
29,20036,0.4,lecu_rba,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,36978.2963748211,7729.204626366933,15949.98917102686,0.6666666666666667,0.3245146795938096,0.2163431197292064,7,6,0.6666666666666666,0.0,-2518.8976413343116,0.0,-359.84252019061597,-419.8162735557186,0.0,0.0,0.0,0,0,196,-187.5379016841705,
