episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,56574.43871553283,8795.854938876517,11714.204470499744,0.41666666666666663,0.21210992583308358,0.08837913576378482,6,5,0.8,0.0,1099.4007990499877,0.0,183.23346650833128,219.88015980999754,0.0,0.0,0.0,0,0,224,-306.7063302504915,
1,20008,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,22077.553482406867,3695.9461621987757,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,1,1,1.0,0.0,-113.45348271027069,0.0,-113.45348271027069,-113.45348271027069,0.0,0.0,0.0,0,0,224,-154.20536769647845,
2,20009,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,36652.87607359011,14654.30899489769,23477.139839689087,0.16666666666666663,0.32739586317610936,0.05456597719601823,10,8,0.25,0.0,787.103229610575,0.0,78.7103229610575,98.38790370132187,0.0,0.0,0.0,0,0,112,-180.75153655422085,
3,20010,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,47322.26689709179,16549.886371110235,27668.46550180782,0.6666666666666667,0.2535804133410495,0.169053608894033,14,8,0.75,0.0,968.9572392323025,0.0,69.2112313737359,121.11965490403782,0.0,0.0,0.0,0,0,140,-227.0736571693669,
4,20011,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,46111.96076445635,12398.180920626002,18704.184392029012,0.5833333333333333,0.2602361686872735,0.15180443173424288,15,10,0.7,0.0,352.5729179340897,0.0,23.50486119560598,35.25729179340897,0.0,0.0,0.0,0,0,140,-221.98821194941533,
5,20012,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,32030.955294469662,7741.763818687923,13274.829729271347,0.25,0.3746375932182039,0.09365939830455097,3,3,0.6666666666666666,0.0,-1203.1903223512109,0.0,-401.06344078373695,-401.06344078373695,0.0,0.0,0.0,0,0,168,-185.58881674933258,
6,20013,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,40793.993309153804,15843.04423269563,24075.14521544402,0.16666666666666663,0.2941609542625313,0.049026825710421884,9,8,0.25,0.0,181.3859200672996,0.0,20.153991118588845,22.67324000841245,0.0,0.0,0.0,0,0,112,-190.1381376039855,
7,20014,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,46106.6369093296,16183.763805081433,33723.36857645502,0.5,0.2602662177160837,0.13013310885804186,12,10,0.5,0.0,-2249.048331075912,0.0,-187.420694256326,-224.90483310759117,0.0,0.0,0.0,0,0,112,-217.98615576068175,
8,20015,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,46596.84915455569,7827.452116379951,15342.260080477836,0.5833333333333333,0.2575281423041622,0.15022474967742797,7,5,0.6,0.0,670.3052261352204,0.0,95.75788944788863,134.06104522704408,0.0,0.0,0.0,0,0,224,-230.2446334653504,
9,20016,0.4,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,4,3.0,49612.793260824066,17499.129993433984,26641.65415897279,0.41666666666666663,0.24187309787041572,0.10078045744600655,15,10,0.4,0.0,1232.6412986213763,0.0,82.17608657475843,123.26412986213764,0.0,0.0,0.0,0,0,112,-230.23026480940305,
