episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,10,1.2,57946.334646683055,8622.17247217403,12676.851183124641,0.6666666666666667,0.2070881630937963,0.1380587753958642,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,280,-303.41137463812294,
1,20008,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,34021.54257313111,10061.922821558552,16719.188660351654,0.0,0.3527176927443946,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,249,-223.87939885502377,
2,20009,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,38319.63397321567,15109.82175939884,21104.346275849737,0.33333333333333337,0.3131553920475247,0.10438513068250822,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,223,-208.87787727849093,
3,20010,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,6,2.0,39518.11143717316,16043.310290672865,24545.11701698303,0.75,0.3036582357706513,0.2277436768279885,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-200.1743071479009,
4,20011,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,51991.65577748516,15111.425914613026,22346.50638752373,0.5833333333333333,0.23080626728561635,0.13463698924994286,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-289.2609889199857,
5,20012,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,10,1.2,40629.67740119314,11262.281379157701,21203.14918162183,0.25,0.29535060988812095,0.07383765247203024,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,273,-246.1741791003384,
6,20013,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,6,2.0,39738.504009692566,13340.751291584174,22396.51539167934,0.33333333333333337,0.30197412557536374,0.10065804185845459,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-224.894234265517,
7,20014,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,37121.24072471012,15654.032130988644,31834.915183057405,0.25,0.3232650570327538,0.08081626425818846,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,108,-182.83316894624772,
8,20015,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,46858.190120967374,9375.939693529952,18830.56108454754,0.5,0.2560918372865286,0.1280459186432643,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-254.0578493757394,
9,20016,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,52574.526347531275,12928.254541446811,20241.96243783308,0.5833333333333333,0.2282474200656965,0.1331443283716563,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,249,-287.0541147123839,
10,20017,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,37295.97990962451,7611.970074969264,13929.41334141378,0.75,0.3217504950688615,0.24131287130164614,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-210.39292977389027,
11,20018,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,35840.44646218138,9798.0666884612,19693.295690569437,0.6666666666666667,0.3348172577220076,0.22321150514800508,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-198.9594875100868,
12,20019,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,51532.9806399224,13660.6851352227,27372.72446569633,0.41666666666666663,0.23286058463894954,0.09702524359956231,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-275.406169874577,
13,20020,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,8,1.5,49118.059659299506,12039.463140507914,19814.347243327335,0.5833333333333333,0.2443093249862944,0.14251377290867173,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,223,-227.21216282787023,
14,20021,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,56313.804548716034,16339.482322594393,26167.199823777253,0.5,0.21309162284744979,0.10654581142372489,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,251,-304.82541783279066,
15,20022,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,37761.43560989316,7363.735306135958,13876.609022272647,0.5,0.3177845282147087,0.15889226410735435,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-205.8218136417651,
16,20023,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,43851.032209704885,15859.13852827799,26547.063296667766,0.33333333333333337,0.2736537635559744,0.09121792118532482,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,186,-248.27803780538449,
17,20024,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,4,3.0,48749.43625699,23023.331030078014,36089.48958518979,0.08333333333333337,0.24615669269979232,0.020513057724982693,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-238.08246131088262,
18,20025,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,75319.37968432023,22161.603349470373,50890.86709057827,0.0,0.15932154579995997,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,251,-406.3150107785932,
19,20026,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,11,1.0909090909090908,58724.679174807025,12985.163795639999,22841.610078415062,0.5,0.20434338967232737,0.10217169483616369,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,308,-334.3973554573902,
20,20027,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,6,2.0,45517.29927598143,14160.91810209174,22318.196877815724,0.6666666666666667,0.26363602829863325,0.17575735219908886,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,167,-239.9632679691427,
21,20028,0.4,dybap_adapted,0.0,stationary,stateful_keep,0.2,12,0,1.0,10,1.2,50223.12502241993,10114.807710574698,14646.849902341019,0.5,0.23893375799779729,0.11946687899889864,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,280,-287.99163039510313,
