episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,63648.02226751698,12056.981268663469,18251.562865256663,0.5,0.18853688728242304,0.09426844364121152,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,194,-328.30092718103174,
1,20008,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,30482.916376392743,8725.578947991415,14827.939727107576,0.16666666666666663,0.39366312106847184,0.06561052017807864,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-157.43617179372194,
2,20009,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,38436.733202664036,10570.446381436837,20091.391426264752,0.33333333333333337,0.3122013501180762,0.1040671167060254,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,111,-172.72890360280476,
3,20010,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,114808.46721461792,60383.664366980585,101968.80686167555,0.0,0.10452190758341652,0.0,5,5,0.0,0.0,-702.9045808424344,0.0,-140.58091616848688,-140.58091616848688,0.0,0.0,0.0,0,0,137,-489.74308400875213,
4,20011,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,41796.27171199176,12083.89716732435,18589.40836967692,0.5,0.28710694778446194,0.14355347389223097,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-220.55827346777266,
5,20012,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,29649.340421869278,5837.792102161711,10706.538444307102,0.33333333333333337,0.4047307572194365,0.13491025240647886,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-174.57436114978083,
6,20013,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,3,4.0,52511.23515613437,22576.33440332716,36454.93085315499,0.08333333333333337,0.228522524071654,0.019043543672637834,3,3,0.0,0.0,-90.95277699369399,0.0,-30.317592331231328,-30.317592331231328,0.0,0.0,0.0,0,0,58,-217.34739423815063,
7,20014,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,45985.35341611658,16371.313831586978,33481.78483738634,0.5,0.2609526535854422,0.1304763267927211,2,2,0.5,0.0,-1176.222500558848,0.0,-588.111250279424,-588.111250279424,0.0,0.0,0.0,0,0,112,-211.59742115598954,
8,20015,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,77048.24872926007,23055.345611225785,47968.026862143604,0.0,0.15574656397664294,0.0,2,2,0.0,0.0,1709.6247592949512,0.0,854.8123796474756,854.8123796474756,0.0,0.0,0.0,0,0,80,-233.2347235802822,
9,20016,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,57279.53957247268,18217.48583271539,32859.42296500732,0.5,0.2094988906958139,0.10474944534790695,2,2,0.0,0.0,-402.9841843616596,0.0,-201.4920921808298,-201.4920921808298,0.0,0.0,0.0,0,0,114,-263.5820047437738,
10,20017,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,48444.23721142471,15504.445391140982,29535.39994897416,0.41666666666666663,0.24770748164799286,0.1032114506866637,1,1,0.0,0.0,-391.72528662385594,0.0,-391.72528662385594,-391.72528662385594,0.0,0.0,0.0,0,0,168,-230.4606715324428,
11,20018,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,42205.518458853774,12989.9848092515,26013.983682782975,0.5,0.28432300889038525,0.14216150444519263,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-243.70272359685626,
12,20019,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,54568.40802390408,14164.755674464677,30311.927415275935,0.25,0.21990745991239685,0.05497686497809921,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-304.95727915065305,
13,20020,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,39027.288022702705,6557.514969175186,11768.485789981285,0.8333333333333334,0.3074771681040055,0.25623097342000456,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-193.06920148497375,
14,20021,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,43893.97003676378,8696.358917681442,14523.170243808376,0.75,0.27338607079626875,0.20503955309720154,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-211.98891325786136,
15,20022,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,39353.64014542834,9546.097704161068,18535.532101677632,0.16666666666666663,0.30492731944630597,0.050821219907717666,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-199.69049989508767,
16,20023,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,3,4.0,47267.02947671153,20365.279331581056,38117.30800487723,0.08333333333333337,0.2538767536875234,0.02115639614062695,4,4,0.0,0.0,-1800.5137955967366,0.0,-450.12844889918415,-450.12844889918415,0.0,0.0,0.0,0,0,84,-219.76768163904066,
17,20024,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,49301.309777750736,20410.83442936507,37936.88970572927,0.08333333333333337,0.24340124134826735,0.02028343677902228,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,111,-247.29681338933315,
18,20025,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,60609.52521141472,16141.120000586807,38046.67377365865,0.0,0.19798868178132525,0.0,1,1,0.0,0.0,-91.87948070652055,0.0,-91.87948070652055,-91.87948070652055,0.0,0.0,0.0,0,0,142,-242.85666560398113,
19,20026,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,69093.95518273264,19791.18695591007,40208.310145615265,0.16666666666666663,0.1736765534447062,0.028946092240784364,1,1,0.0,0.0,150.08296648747637,0.0,150.08296648747637,150.08296648747637,0.0,0.0,0.0,0,0,140,-255.9231798193086,
20,20027,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,86579.29793577683,33806.23049121984,74342.03093914498,0.08333333333333337,0.13860126249697025,0.011550105208080854,4,3,0.0,0.0,1430.8955341916444,0.0,357.7238835479111,476.96517806388147,0.0,0.0,0.0,0,0,131,-403.3973695021033,
21,20028,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,80588.65126437278,24631.223716712306,42250.99257769582,0.16666666666666663,0.1489043408932822,0.024817390148880365,5,5,0.0,0.0,602.8644200064264,0.0,120.57288400128527,120.57288400128527,0.0,0.0,0.0,0,0,140,-297.18386863173623,
22,20029,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,79960.4425453564,24869.515095116687,55631.43682366685,0.16666666666666663,0.15007420692041787,0.02501236782006964,3,2,0.0,0.0,1813.6866461879035,0.0,604.5622153959679,906.8433230939518,0.0,0.0,0.0,0,0,112,-265.11083988984115,
23,20030,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,81604.07505711124,32548.583951491422,56961.943303129825,0.0,0.1470514798630057,0.0,3,3,0.0,0.0,-215.10528440544294,0.0,-71.70176146848098,-71.70176146848098,0.0,0.0,0.0,0,0,112,-367.32795259423045,
24,20031,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,32280.716185299298,7269.949757436083,13017.94792975669,0.5833333333333333,0.37173896425088687,0.21684772914635067,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-195.81594677934848,
25,20032,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,46148.4377198313,8332.46584920279,15307.049934068002,0.5,0.2600304710823018,0.1300152355411509,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-249.16082429230048,
26,20033,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,47555.07194645077,9220.15120284557,17221.252644679407,0.5,0.2523390147219745,0.12616950736098725,1,1,1.0,0.0,3.327097242261516,0.0,3.327097242261516,3.327097242261516,0.0,0.0,0.0,0,0,137,-237.83381894278202,
27,20034,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,40264.482382408096,7038.857038486892,13786.93590804815,0.5,0.29802941177862763,0.14901470588931381,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160,-197.64540714652708,
28,20035,0.4,lecu_rba,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,30070.884936991766,4821.676721087644,8856.917730205776,0.5833333333333333,0.39905709543114154,0.23278330566816588,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,147,-190.8523124030542,
