episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,56444.26586637169,8522.22965404514,11469.974384384137,0.5,0.21259909781463468,0.10629954890731734,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-286.7674994012333,
1,20008,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-138.22572704742996,
2,20009,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,37045.57707019312,14792.72615742687,23742.343241344504,0.16666666666666663,0.3239253090122654,0.053987551502044234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-173.8650944821108,
3,20010,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,47865.64774659892,16937.476185923584,28156.034229654768,0.6666666666666667,0.25070171542497627,0.16713447694998418,2,2,0.0,0.0,1132.4288443286641,0.0,566.2144221643321,566.2144221643321,0.0,0.0,0.0,0,0,140,-214.63218042367487,
4,20011,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,45873.33020300935,12345.972946328437,18585.230312924417,0.5833333333333333,0.26158990304158874,0.15259411010759344,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-209.79888118665244,
5,20012,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,33324.72653024151,8633.524251831534,14529.565726710267,0.25,0.3600929774805577,0.09002324437013942,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-173.63990719039876,
6,20013,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,41433.642333142714,16207.57727361036,24626.03719453906,0.16666666666666663,0.28961972262817975,0.0482699537713633,1,1,0.0,0.0,39.83259909727349,0.0,39.83259909727349,39.83259909727349,0.0,0.0,0.0,0,0,112,-183.4391675185472,
7,20014,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,46856.706082866134,16755.713828964308,34185.206455133986,0.41666666666666663,0.25609994818624227,0.10670831174426762,2,2,0.5,0.0,-1291.9711542559526,0.0,-645.9855771279763,-645.9855771279763,0.0,0.0,0.0,0,0,112,-213.53103318337276,
8,20015,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,45172.54924653008,7418.120771055165,14324.052943697046,0.5833333333333333,0.26564805839293604,0.15496136739587935,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-206.16328653962273,
9,20016,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,47820.91590861178,16539.107239270223,25809.336241489662,0.41666666666666663,0.25093622261297993,0.10455675942207497,1,1,0.0,0.0,77.96231926691325,0.0,77.96231926691325,77.96231926691325,0.0,0.0,0.0,0,0,112,-217.7059766739994,
10,20017,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,42225.26469057795,8469.682489005148,15832.10330378717,0.8333333333333334,0.2841900480182817,0.23682504001523474,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-205.2304905000534,
11,20018,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,40269.0367696241,11954.82105316883,24089.24052208289,0.5,0.29799570495443006,0.14899785247721503,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-230.3799641006144,
12,20019,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,47217.274013104616,10754.908197795823,23100.78657987434,0.5,0.254144277720682,0.127072138860341,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-252.3515917307643,
13,20020,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,47961.59345424428,10393.900486395325,18736.71772424972,0.5833333333333333,0.25020019427519835,0.14595011332719904,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-214.95780448713728,
14,20021,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,48186.13910829366,12870.845995001606,25443.16772967246,0.6666666666666667,0.24903427047830431,0.1660228469855362,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-203.78592348914472,
15,20022,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,35740.92614781268,6374.773576846393,12824.71089686791,0.41666666666666663,0.3357495536173841,0.13989564734057672,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-168.20516354068872,
16,20023,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,38984.31357456803,12496.545518678662,23287.604031491857,0.5,0.30781611627063177,0.15390805813531588,1,1,1.0,0.0,-120.30658848808525,0.0,-120.30658848808525,-120.30658848808525,0.0,0.0,0.0,0,0,112,-159.7435016960756,
17,20024,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,54075.699398431294,24160.377737681283,42710.55752149127,0.08333333333333337,0.2219111381543798,0.018492594846198317,1,1,0.0,0.0,83.64711859964154,0.0,83.64711859964154,83.64711859964154,0.0,0.0,0.0,0,0,112,-267.5508529699682,
18,20025,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,40596.998337378296,8979.476150329687,18011.582288266894,0.5,0.295588356071917,0.1477941780359585,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-199.810197870051,
19,20026,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,56972.83059139099,9862.284313059652,21258.31025745221,0.5833333333333333,0.2106267123370431,0.12286558219660847,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-262.0102233346077,
20,20027,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,43011.819516049225,14731.489753893895,32366.195707136118,0.5833333333333333,0.2789930799259115,0.16274596329011504,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-204.44684081944197,
21,20028,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,49383.214946839595,7608.027217700779,13725.302111304929,0.6666666666666667,0.24299754507514038,0.1619983633834269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-254.64707409631606,
22,20029,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,40554.84322963942,10320.285952840872,18951.91086967744,0.5833333333333333,0.2958956081287432,0.17260577140843356,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-180.3430269742851,
23,20030,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,42140.38785058755,10649.380757979656,17715.15734405547,0.5,0.28476244790501354,0.14238122395250677,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-203.00287745454716,
24,20031,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,40641.53068666588,11602.529094038126,19805.102337876393,0.5,0.2952644695524987,0.14763223477624934,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-220.86320247599096,
25,20032,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,43945.71943066323,7043.499179627743,13486.168796623966,0.5833333333333333,0.2730641381109572,0.15928741389805837,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-221.39168596141525,
26,20033,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,52498.85358089901,11709.913792615289,26988.602140976138,0.5833333333333333,0.2285764198928343,0.1333362449374867,1,1,1.0,0.0,-81.99238417580636,0.0,-81.99238417580636,-81.99238417580636,0.0,0.0,0.0,0,0,168,-231.69845390875184,
27,20034,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,8,1.5,54811.25634311511,12015.73805602829,25855.040863775972,0.41666666666666663,0.21893313163414346,0.09122213818089311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-263.51571540615413,
28,20035,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,38160.9481464419,12505.173395015716,22746.7797206183,0.25,0.3144575956014046,0.07861439890035116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-184.3749151745265,
29,20036,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,47862.928181550385,13037.465528797848,25749.060692280585,0.5,0.2507159602622393,0.12535798013111965,1,1,1.0,0.0,6.084069893913693,0.0,6.084069893913693,6.084069893913693,0.0,0.0,0.0,0,0,196,-204.00014319942053,
30,20037,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,6,2.0,21922.303545588227,5159.8026126129325,7324.4436870869085,0.6666666666666667,0.5473877311773173,0.3649251541182116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-136.48117586280586,
31,20038,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,4,3.0,76289.48437665367,29565.52355589611,61075.16206159677,0.08333333333333337,0.15729559713307326,0.013107966427756104,2,2,0.0,0.0,2066.4616827960417,0.0,1033.2308413980209,1033.2308413980209,0.0,0.0,0.0,0,0,112,-321.93633222898154,
32,20039,0.4,node_dp,0.0,walking,stateful_keep,0.2,12,0,1.0,5,2.4,43372.49978088295,9883.317823148956,17814.51855166015,0.6666666666666667,0.27667300848749266,0.1844486723249951,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-178.16618896559353,
