episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,8,1.5,60287.04543018404,9281.872621972941,15140.186853226054,0.5,0.19904773760884847,0.09952386880442424,6,5,0.8,1166.484375,13316.482421518214,13316.482421518214,2219.4137369197024,2663.296484303643,2219.4137369197024,2663.296484303643,194.4140625,224,-279.9050016638854,
1,20008,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,5,2.4,36697.28126085552,14519.414566474872,24091.742800618802,0.0,0.32699970100510506,0.0,11,10,0.0,1478.6953125,19471.054659120593,19471.054659120593,1770.0958781018721,1947.1054659120593,1770.0958781018721,1947.1054659120593,134.4268465909091,140,-162.24159066325112,
2,20009,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,5,2.4,49478.37706058292,14635.214664831727,27998.458671455097,0.25,0.24253018617216998,0.060632546543042495,8,7,0.42857142857142855,1430.1328125,15351.45973800289,15351.45973800289,1918.9324672503612,2193.065676857556,1918.9324672503612,2193.065676857556,178.7666015625,140,-169.61459089104437,
3,20010,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,6,2.0,64577.54222499398,25386.45874685999,48827.97107205719,0.5833333333333333,0.18582311414378266,0.10839681658387322,13,8,0.625,2792.5078125,34327.80946437916,34327.80946437916,2640.6007280291665,4290.976183047395,2640.6007280291665,4290.976183047395,214.80829326923077,168,-254.1373607455744,
4,20011,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,4,3.0,57959.08248783026,20680.52942218046,32000.363013353195,0.16666666666666663,0.20704261497789678,0.03450710249631613,13,8,0.125,2576.6015625,32660.478271344466,32660.478271344466,2512.344482411113,4082.559783918058,2512.344482411113,4082.559783918058,198.20012019230768,112,-185.83345187768492,
5,20012,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,4,3.0,106791.59248882737,38721.049221029076,73472.24786455544,0.0,0.112368396428356,0.0,17,8,0.0,3465.4921875,42704.0795038022,42704.0795038022,2512.004676694247,5338.009937975275,2512.004676694247,5338.009937975275,203.85248161764707,112,-249.71928408132325,
6,20013,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,3,4.0,38442.547521117245,13719.557906863258,24024.219386597662,0.33333333333333337,0.31215413061291436,0.10405137687097145,7,6,0.3333333333333333,1058.203125,7404.741442722748,7404.741442722748,1057.8202061032496,1234.1235737871245,1057.8202061032496,1234.1235737871245,151.171875,84,-156.8124373758588,
7,20014,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,3,4.0,80994.16066688835,38616.289179695705,75819.85418052839,0.0,0.14815882899698699,0.0,23,12,0.0,3136.21875,34689.05739465785,34689.05739465785,1508.2198867242544,2890.7547828881543,1508.2198867242544,2890.7547828881543,136.35733695652175,84,-289.9640606102329,
8,20015,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,7,1.7142857142857142,53989.02268741392,10566.973998458465,21182.95194431353,0.5,0.22226740553311544,0.11113370276655772,6,4,0.5,1287.0703125,13639.343437364236,13639.343437364236,2273.2239062273725,3409.835859341059,2273.2239062273725,3409.835859341059,214.51171875,196,-216.8032553447802,
9,20016,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,7,1.7142857142857142,45843.776178199936,12412.742895650495,20843.305785593897,0.6666666666666667,0.26175854173431623,0.17450569448954414,6,5,1.0,1147.125,13142.339098986435,13142.339098986435,2190.3898498310723,2628.467819797287,2190.3898498310723,2628.467819797287,191.1875,196,-221.21748402921565,
10,20017,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,8,1.5,47792.08897390243,12388.966692057651,22210.569043682313,0.5833333333333333,0.2510875807615937,0.14646775544426302,7,7,0.7142857142857143,1314.796875,14203.618251685832,14203.618251685832,2029.0883216694044,2029.0883216694044,2029.0883216694044,2029.0883216694044,187.828125,224,-229.86063718108798,
11,20018,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,7,1.7142857142857142,38692.60059844894,10680.628231894196,22533.055036447447,0.6666666666666667,0.3101368172311747,0.20675787815411648,6,4,1.0,1235.8828125,10165.333738018608,10165.333738018608,1694.2222896697679,2541.333434504652,1694.2222896697679,2541.333434504652,205.98046875,196,-211.64590198132373,
12,20019,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,6,2.0,58283.522486123016,13050.377074996957,32107.44072787773,0.25,0.20589009531565516,0.05147252382891379,7,3,0.3333333333333333,1365.328125,17160.48029405294,17160.48029405294,2451.497184864706,5720.160098017647,2451.497184864706,5720.160098017647,195.046875,168,-257.66817546295607,
13,20020,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,6,2.0,45087.514076242805,13077.29197156679,20972.372038971484,0.6666666666666667,0.2661490713306582,0.17743271422043877,7,5,0.8,1466.5546875,18548.71685391643,18548.71685391643,2649.816693416633,3709.743370783286,2649.816693416633,3709.743370783286,209.5078125,168,-183.44183816181248,
14,20021,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,5,2.4,60227.249187869165,18508.259282468407,31130.4313866251,0.33333333333333337,0.199245360892508,0.06641512029750267,11,9,0.3333333333333333,2003.203125,16548.553670162535,16548.553670162535,1504.413970014776,1838.728185573615,1504.413970014776,1838.728185573615,182.109375,140,-233.37669373621924,
15,20022,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,4,3.0,51743.96269725525,15698.634946634069,30554.475210987108,0.0,0.23191111338360135,0.0,15,11,0.0,2121.984375,21775.669014329003,21775.669014329003,1451.7112676219335,1979.6062740299094,1451.7112676219335,1979.6062740299094,141.465625,112,-191.00493809251947,
16,20023,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,3,4.0,89749.83300421337,42958.26300762103,75270.36773683592,0.0,0.13370498415787194,0.0,23,11,0.0,4120.7578125,49565.61107698839,49565.61107698839,2155.0265685647128,4505.964643362581,2155.0265685647128,4505.964643362581,179.1633831521739,84,-312.54991136225766,
17,20024,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,5,2.4,68911.66997135004,28724.168388954262,55915.09415461669,0.08333333333333337,0.17413596282007082,0.014511330235005901,15,9,0.1111111111111111,2658.140625,29783.676288710238,29783.676288710238,1985.578419247349,3309.297365412249,1985.578419247349,3309.297365412249,177.209375,140,-275.96413063945636,
18,20025,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,5,2.4,98793.48413619866,27457.395777333626,72720.16103658504,0.0,0.12146550053297606,0.0,19,9,0.0,2934.09375,43581.01016051741,43581.01016051741,2293.7373768693374,4842.334462279712,2293.7373768693374,4842.334462279712,154.42598684210526,140,-269.5283438089182,
19,20026,0.4,full,0.0,high_speed,reactive,0.0,12,0,1.0,7,1.7142857142857142,59958.82204323489,10056.360716300549,24160.663492388834,0.5833333333333333,0.2001373541219186,0.11674678990445252,8,7,0.5714285714285714,1565.15625,15683.490828352707,15683.490828352707,1960.4363535440884,2240.4986897646727,1960.4363535440884,2240.4986897646727,195.64453125,196,-239.41202300109214,
