episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,92036.37311838013,18625.990364278117,38096.8884794971,0.33333333333333337,0.1303832342954803,0.04346107809849343,14,7,0.5714285714285714,0.0,180.36069985830923,0.0,12.882907132736374,25.76581426547275,0.0,0.0,0.0,196,-426.23678374287186,
1,20008,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,5,2.4,30077.434744089544,10317.818969041431,15762.331106547947,0.08333333333333337,0.39897019483545204,0.03324751623628767,6,6,0.16666666666666666,0.0,72.0,0.0,12.0,12.0,0.0,0.0,0.0,140,-180.60351168316558,
2,20009,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,4,3.0,47729.29790950705,19279.801864944286,35797.85806310815,0.16666666666666663,0.2514179031661339,0.04190298386102232,12,7,0.2857142857142857,0.0,158.3562419572881,0.0,13.196353496440674,22.622320279612584,0.0,0.0,0.0,112,-216.02377562898187,
3,20010,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,6,2.0,71101.19091864857,32049.192197051787,60198.434354765624,0.25,0.16877354436622544,0.04219338609155636,23,11,0.2727272727272727,0.0,297.44587766525717,0.0,12.932429463706834,27.040534333205198,0.0,0.0,0.0,168,-355.0893432684773,
4,20011,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,4,3.0,67456.65148768092,27000.00393385344,40902.40574294733,0.16666666666666663,0.17789202006553,0.02964867001092167,28,11,0.09090909090909091,0.0,351.9002086761844,0.0,12.567864595578014,31.99092806147131,0.0,0.0,0.0,112,-287.60755433300415,
5,20012,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,4,3.0,52921.20422358569,16806.597705116495,33154.0962171915,0.16666666666666663,0.22675220974378155,0.037792034957296924,12,7,0.14285714285714285,0.0,158.16722051795452,0.0,13.180601709829544,22.595317216850646,0.0,0.0,0.0,112,-205.06056971674406,
6,20013,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,3,4.0,53245.18064319137,24241.223796563543,37749.44667917362,0.08333333333333337,0.2253725098692942,0.01878104248910785,15,9,0.1111111111111111,0.0,189.2543544320451,0.0,12.616956962136339,21.028261603560566,0.0,0.0,0.0,84,-233.2070405389298,
7,20014,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,3,4.0,52008.356876715225,24459.371113667235,46527.304440608226,0.16666666666666663,0.230732149997466,0.038455358332911,19,11,0.18181818181818182,0.0,244.9101355180145,0.0,12.89000713252708,22.264557774364956,0.0,0.0,0.0,84,-235.31810069178016,
8,20015,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,5,2.4,85372.87254233811,27564.135142715404,60354.56021081284,0.0,0.1405598715686761,0.0,21,7,0.0,0.0,272.0684035318872,0.0,12.9556382634232,38.866914790269604,0.0,0.0,0.0,140,-292.4264251578648,
9,20016,0.4,full,0.5,high_speed,keep,0.0,12,0,1.0,5,2.4,70169.69979657602,18771.27675552086,44118.70797943944,0.5,0.17101398516437072,0.08550699258218536,21,9,0.4444444444444444,0.0,277.185356209682,0.0,13.199302676651525,30.798372912186892,0.0,0.0,0.0,140,-292.22710414350513,
