episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,62800.47444998826,10798.739698519299,17431.540216846355,0.5833333333333333,0.19108135894031042,0.11146412604851441,12,9,0.5555555555555556,0.0,149.6464449584533,0.0,12.470537079871107,16.627382773161475,0.0,0.0,0.0,196,-323.83746588337306,
1,20008,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,32647.368031321046,10188.87993358659,17201.205267157377,0.0,0.36756408628369397,0.0,10,10,0.0,0.0,126.18420389054569,0.0,12.618420389054569,12.618420389054569,0.0,0.0,0.0,140,-188.5443944109061,
2,20009,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,40127.87578097172,12072.696350379205,21580.792444800634,0.33333333333333337,0.29904398791251974,0.09968132930417324,8,7,0.5714285714285714,0.0,105.67250911473447,0.0,13.209063639341808,15.096072730676353,0.0,0.0,0.0,140,-187.70537715417652,
3,20010,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,6,2.0,77291.03337748775,34087.97018504584,66294.40150684149,0.33333333333333337,0.1552573367908313,0.05175244559694377,27,11,0.36363636363636365,0.0,353.5346536350655,0.0,13.093876060557982,32.13951396682414,0.0,0.0,0.0,168,-377.9543689381726,
4,20011,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,53057.13591814526,17399.17414844823,28125.711060592967,0.5833333333333333,0.22617127352130714,0.13193324288742916,15,9,0.5555555555555556,0.0,187.15593262082515,0.0,12.477062174721677,20.79510362453613,0.0,0.0,0.0,140,-252.16052499978062,
5,20012,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,6,2.0,34596.15504328643,8313.685619127633,15883.617703275715,0.25,0.3468593543122262,0.08671483857805655,6,5,0.4,0.0,77.6732521948397,0.0,12.945542032473284,15.53465043896794,0.0,0.0,0.0,168,-184.96433900450597,
6,20013,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,3,4.0,56518.28986741547,28622.58062948533,41080.92217970608,0.08333333333333337,0.2123206492650509,0.017693387438754243,18,11,0.09090909090909091,0.0,227.71137017471412,0.0,12.650631676373006,20.70103365224674,0.0,0.0,0.0,84,-259.6845702780121,
7,20014,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,4,3.0,56299.87466826917,21634.241742741902,42847.57876650149,0.25,0.21314434660301734,0.053286086650754336,15,9,0.3333333333333333,0.0,194.83010740391916,0.0,12.988673826927943,21.647789711546572,0.0,0.0,0.0,112,-269.96619663101944,
8,20015,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,82240.47879936149,26744.72176772043,56817.55192028061,0.0,0.14591354738189058,0.0,21,7,0.0,0.0,277.1501482864039,0.0,13.197626108876378,39.59287832662913,0.0,0.0,0.0,140,-296.57546718437527,
9,20016,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,63628.0348130741,20593.764821780922,38700.12187216484,0.41666666666666663,0.18859611231516893,0.07858171346465372,20,9,0.4444444444444444,0.0,265.19785520924495,0.0,13.259892760462247,29.46642835658277,0.0,0.0,0.0,134,-294.04523528158427,
10,20017,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,5,2.4,58700.59663258053,18896.34117539336,36421.958702187214,0.25,0.2044272237147868,0.0511068059286967,21,10,0.2,0.0,277.01959629229486,0.0,13.191409347252137,27.701959629229485,0.0,0.0,0.0,140,-277.1073137139597,
11,20018,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,49986.60615140902,15866.111253619476,33492.05031575149,0.33333333333333337,0.2400643076997886,0.08002143589992952,13,8,0.375,0.0,161.6377232957525,0.0,12.433671022750191,20.20471541196906,0.0,0.0,0.0,196,-283.3255878680189,
12,20019,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,6,2.0,50927.57457154484,11264.526020280528,26451.79701641929,0.5,0.23562873553190675,0.11781436776595337,10,6,0.6666666666666666,0.0,129.122787391003,0.0,12.912278739100298,21.520464565167163,0.0,0.0,0.0,168,-286.2967499990956,
13,20020,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,48660.744808749594,10961.225855901632,19212.522886235638,0.5,0.24660534990089802,0.12330267495044901,10,6,0.6666666666666666,0.0,136.9770801291674,0.0,13.69770801291674,22.829513354861234,0.0,0.0,0.0,196,-251.02020690912326,
14,20021,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,6,2.0,44558.30312730519,8842.080156271611,15163.214342363835,0.75,0.26931007596306866,0.2019825569723015,6,4,0.75,0.0,73.95052610607696,0.0,12.32508768434616,18.48763152651924,0.0,0.0,0.0,167,-231.73385274351347,
15,20022,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,37957.12683628237,9001.848438995277,19034.835664199712,0.33333333333333337,0.3161461627946367,0.1053820542648789,8,5,0.2,0.0,100.17723522290858,0.0,12.522154402863572,20.035447044581716,0.0,0.0,0.0,196,-188.37549782233788,
16,20023,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,3,4.0,46037.05099078021,21350.39610765184,39109.90569356735,0.08333333333333337,0.26065961528255205,0.021721634606879335,14,7,0.14285714285714285,0.0,182.9667190491295,0.0,13.069051360652107,26.138102721304215,0.0,0.0,0.0,84,-225.6339083036122,
17,20024,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,4,3.0,56948.051057158766,23365.08480336655,45578.67156463059,0.08333333333333337,0.21071836133523866,0.01755986344460322,16,8,0.125,0.0,204.94731681676132,0.0,12.809207301047582,25.618414602095164,0.0,0.0,0.0,112,-284.9643111544346,
18,20025,0.4,full,2.0,high_speed,keep,0.0,12,0,1.0,6,2.0,66291.09504272156,18013.857588376603,43529.71753649066,0.0,0.18101978843865157,0.0,12,8,0.0,0.0,165.41013583882852,0.0,13.784177986569043,20.676266979853565,0.0,0.0,0.0,168,-267.0661702137537,
