name,threshold_type,threshold,accepted_mappings,accepted_episodes,mean_risk_reduction,mean_absolute_regret,mean_relative_regret
driving_0p6,absolute,0.15,0,0,,,
driving_0p6,absolute,0.2,0,0,,,
driving_0p6,absolute,0.25,0,0,,,
driving_0p6,absolute,0.3,0,0,,,
driving_0p6,absolute,0.5,0,0,,,
driving_0p6,absolute,1.0,0,0,,,
driving_0p6,absolute,2.0,0,0,,,
driving_0p6,relative,0.01,0,0,,,
driving_0p6,relative,0.02,0,0,,,
driving_0p6,relative,0.05,0,0,,,
driving_0p6,relative,0.1,0,0,,,
driving_0p6,relative,0.2,0,0,,,
driving_1p0,absolute,0.15,0,0,,,
driving_1p0,absolute,0.2,0,0,,,
driving_1p0,absolute,0.25,0,0,,,
driving_1p0,absolute,0.3,0,0,,,
driving_1p0,absolute,0.5,0,0,,,
driving_1p0,absolute,1.0,0,0,,,
driving_1p0,absolute,2.0,0,0,,,
driving_1p0,relative,0.01,0,0,,,
driving_1p0,relative,0.02,0,0,,,
driving_1p0,relative,0.05,0,0,,,
driving_1p0,relative,0.1,0,0,,,
driving_1p0,relative,0.2,0,0,,,
high_speed_0p6,absolute,0.15,0,0,,,
high_speed_0p6,absolute,0.2,0,0,,,
high_speed_0p6,absolute,0.25,0,0,,,
high_speed_0p6,absolute,0.3,0,0,,,
high_speed_0p6,absolute,0.5,0,0,,,
high_speed_0p6,absolute,1.0,0,0,,,
high_speed_0p6,absolute,2.0,2,2,3.539279071989349,1.6864187352082727,0.2594231207749242
high_speed_0p6,relative,0.01,0,0,,,
high_speed_0p6,relative,0.02,0,0,,,
high_speed_0p6,relative,0.05,0,0,,,
high_speed_0p6,relative,0.1,0,0,,,
high_speed_0p6,relative,0.2,0,0,,,
high_speed_1p0,absolute,0.15,0,0,,,
high_speed_1p0,absolute,0.2,0,0,,,
high_speed_1p0,absolute,0.25,0,0,,,
high_speed_1p0,absolute,0.3,0,0,,,
high_speed_1p0,absolute,0.5,0,0,,,
high_speed_1p0,absolute,1.0,0,0,,,
high_speed_1p0,absolute,2.0,2,2,3.539279071989349,1.6864187352082722,0.25942312077492413
high_speed_1p0,relative,0.01,0,0,,,
high_speed_1p0,relative,0.02,0,0,,,
high_speed_1p0,relative,0.05,0,0,,,
high_speed_1p0,relative,0.1,0,0,,,
high_speed_1p0,relative,0.2,0,0,,,
