episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,12,1.0,200234.3403334385,6606.344410237435,13885.242166163021,0.8333333333333334,0.059929780176652535,0.04994148348054378,5,5,1.0,89.607421875,-7014.31900717494,952.607562483372,-1402.863801434988,-1402.863801434988,190.5215124966744,190.5215124966744,17.921484375,4,28,336,-440.2029240350154,
1,20008,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,69534.0411255142,2924.758829153374,5183.560245248047,0.5833333333333333,0.17257734205810207,0.10067011620055955,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,280,-183.40624135674318,
2,20009,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,95697.85653756298,7014.19048739811,11327.427777320636,0.5,0.1253946580850513,0.06269732904252565,5,5,0.6,188.30859375,-15812.82335784257,850.4313377852451,-3162.564671568514,-3162.564671568514,170.086267557049,170.086267557049,37.66171875,5,40,252,-330.8535964009146,
3,20010,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,11,1.0909090909090908,106462.54131195121,12616.899706314493,21710.12041172198,0.8333333333333334,0.1127157012421693,0.09392975103514109,12,8,1.0,0.0,2178.2788576336898,0.0,181.5232381361408,272.2848572042112,0.0,0.0,0.0,4,0,308,-499.90122499312776,
4,20011,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,11,1.0909090909090908,122949.06142654468,8574.520836784237,14128.554038842274,0.75,0.09760139573874943,0.07320104680406207,10,7,0.8571428571428571,164.548828125,-6928.015484210479,817.2567407664012,-692.801548421048,-989.7164977443542,81.72567407664012,116.75096296662875,16.4548828125,5,44,308,-464.3027648594005,
5,20012,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,12,1.0,94097.92214359007,3753.5536873707024,10692.549066421287,0.8333333333333334,0.12752672669741238,0.10627227224784366,2,2,1.0,0.0,-699.5577715294821,0.0,-349.77888576474106,-349.77888576474106,0.0,0.0,0.0,0,0,336,-250.92593295903768,
6,20013,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,82919.43623339337,9538.155115056803,15487.45864157397,0.41666666666666663,0.14471878422115167,0.06029949342547986,8,6,0.3333333333333333,0.0,-176.1253727460753,0.0,-22.015671593259412,-29.35422879101255,0.0,0.0,0.0,2,0,252,-318.2405697736611,
7,20014,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,81153.80205526337,10762.738823617112,18745.791431188318,0.6666666666666667,0.14786737892857257,0.09857825261904837,7,5,0.8,308.232421875,-7453.172246667826,2019.7174447804555,-1064.738892381118,-1490.634449333565,288.5310635400651,403.9434889560911,44.033203125,5,77,280,-415.5498548024184,
8,20015,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,123745.75108481539,5783.814746568224,13985.016993556941,0.5833333333333333,0.09697302650638238,0.05656759879538972,5,5,0.6,0.0,1270.9888289860173,0.0,254.19776579720346,254.19776579720346,0.0,0.0,0.0,1,0,280,-268.8346100380471,
9,20016,0.1,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,11,1.0909090909090908,133104.33266195835,10095.725149506141,17021.53097448405,0.6666666666666667,0.09015484139405207,0.06010322759603472,9,8,0.75,708.439453125,-41983.63772177589,3809.5063979438787,-4664.848635752877,-5247.954715221987,423.278488660431,476.18829974298484,78.71549479166667,7,121,308,-732.3402111236661,
