episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,12,1.0,114250.04708643942,8074.830485404896,16900.552534801147,0.5833333333333333,0.10503277946941264,0.06126912135715737,7,6,0.6666666666666666,0.0,813.3084534751988,0.0,116.1869219250284,135.55140891253313,0.0,0.0,0.0,0,0,336,-444.2029240350154,
1,20008,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,37695.22418017184,3541.5223822086277,5912.185794610574,0.5,0.3183427147864569,0.15917135739322846,2,2,1.0,0.0,-20.144196932636987,0.0,-10.072098466318494,-10.072098466318494,0.0,0.0,0.0,0,0,252,-171.7090639058656,
2,20009,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,58446.858956146454,11983.840661215358,21097.64229372924,0.33333333333333337,0.20531471176241956,0.06843823725413985,4,3,1.0,0.0,673.8628366054054,0.0,168.46570915135135,224.62094553513512,0.0,0.0,0.0,0,0,168,-251.25847424058452,
3,20010,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,59070.888358014396,14804.752819547723,22654.49856315108,0.6666666666666667,0.20314575137707253,0.13543050091804834,12,9,0.6666666666666666,0.0,-25.1598004325715,0.0,-2.0966500360476252,-2.7955333813968335,0.0,0.0,0.0,0,0,168,-298.0350332918559,
4,20011,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,78375.36191815861,12728.486722094638,21235.388162423766,0.75,0.15310934082231964,0.11483200561673973,11,8,0.875,0.0,-52.13035616286925,0.0,-4.739123287533568,-6.516294520358656,0.0,0.0,0.0,0,0,224,-394.9878098936744,
5,20012,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,12,1.0,47322.786174113426,4531.889571769956,10667.070627260486,0.75,0.25357763078126316,0.19018322308594737,2,2,1.0,0.0,-843.2136883005878,0.0,-421.6068441502939,-421.6068441502939,0.0,0.0,0.0,0,0,336,-252.8650901766335,
6,20013,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,49955.13440716508,10726.219078800152,16721.454582151393,0.33333333333333337,0.24021554825961663,0.08007184941987222,7,6,0.3333333333333333,0.0,-286.55198630592713,0.0,-40.935998043703876,-47.758664384321186,0.0,0.0,0.0,0,0,196,-245.8487436576303,
7,20014,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,46419.51426438423,12666.832294268652,23981.223835591023,0.5833333333333333,0.2585119682996576,0.1507986481748003,12,9,0.4444444444444444,0.0,-1826.3609729883556,0.0,-152.19674774902964,-202.92899699870617,0.0,0.0,0.0,0,0,140,-238.1486382725846,
8,20015,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,72313.25718895302,7072.779172642472,14867.997261994245,0.5833333333333333,0.16594467551979097,0.09680106071987807,6,4,0.75,0.0,740.750461585525,0.0,123.45841026425417,185.18761539638126,0.0,0.0,0.0,0,0,252,-254.91431324293765,
9,20016,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,79249.79262448428,16519.50610956061,25466.590417226165,0.41666666666666663,0.15141995458411572,0.06309164774338155,16,9,0.3333333333333333,0.0,4765.213253643811,0.0,297.8258283527382,529.4681392937568,0.0,0.0,0.0,0,0,168,-353.9531545691098,
10,20017,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,10,1.2,68144.2491654476,5926.514541345892,11853.448957733754,0.9166666666666666,0.17609703161986814,0.16142227898487913,6,4,1.0,0.0,2857.274361705384,0.0,476.212393617564,714.318590426346,0.0,0.0,0.0,0,0,280,-297.7540149346272,
11,20018,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,48906.53685963724,9067.392686718294,16820.57343080379,0.6666666666666667,0.24536597294632095,0.1635773152975473,12,7,0.7142857142857143,0.0,-225.8421245569989,0.0,-18.820177046416575,-32.26316065099984,0.0,0.0,0.0,0,0,196,-224.31501431201497,
12,20019,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,8,1.5,74547.84328348094,8667.360654207621,19002.362699516914,0.6666666666666667,0.16097045161142953,0.10731363440761969,9,6,0.8333333333333334,0.0,204.11584179470083,0.0,22.679537977188982,34.01930696578347,0.0,0.0,0.0,0,0,224,-332.0604115305795,
13,20020,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,10,1.2,75644.45091978801,8123.250206403008,17097.706364547994,0.8333333333333334,0.1586368841876396,0.1321974034896997,10,7,0.8571428571428571,0.0,568.026632910598,0.0,56.8026632910598,81.14666184437114,0.0,0.0,0.0,0,0,280,-295.64044978067176,
14,20021,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,81293.8188440886,15619.389224334644,25427.51408441842,0.5,0.1476126988573941,0.07380634942869704,11,8,0.625,0.0,1950.5546917209522,0.0,177.32315379281383,243.81933646511902,0.0,0.0,0.0,0,0,168,-348.7035990941712,
15,20022,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,10,1.2,61396.34542392746,4058.1211025839566,10141.398115455206,0.8333333333333334,0.19545137283241856,0.16287614402701545,2,2,0.0,0.0,-40.51813284475793,0.0,-20.259066422378964,-20.259066422378964,0.0,0.0,0.0,0,0,280,-203.02901283795273,
16,20023,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,6,2.0,49507.1915770183,9716.064394200626,20617.099552325944,0.6666666666666667,0.2423890270837038,0.16159268472246918,9,7,0.8571428571428571,0.0,-229.13647117382243,0.0,-25.459607908202493,-32.73378159626035,0.0,0.0,0.0,0,0,168,-227.63247066320804,
17,20024,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,5,2.4,70215.15268994171,21493.85524302548,37915.008000616246,0.08333333333333337,0.17090328141832833,0.014241940118194027,16,10,0.1,0.0,1750.7841714291317,0.0,109.42401071432073,175.07841714291317,0.0,0.0,0.0,0,0,140,-315.40647284598236,
18,20025,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,58065.52071191729,7219.932274664815,15494.813842573503,0.5833333333333333,0.20666309115759182,0.12055346984192856,4,3,0.3333333333333333,0.0,-470.6444289105857,0.0,-117.66110722764643,-156.88147630352856,0.0,0.0,0.0,0,0,252,-236.69729443674302,
19,20026,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,80902.50899689629,9475.25394956891,18128.75479182185,0.6666666666666667,0.14832667303878502,0.09888444869252336,7,6,0.8333333333333334,0.0,439.92344104810763,0.0,62.846205864015374,73.32057350801794,0.0,0.0,0.0,0,0,252,-336.6410939499127,
20,20027,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,75312.28359744695,13372.648138197916,24331.764212457747,0.75,0.15933655742191297,0.11950241806643473,12,7,0.8571428571428571,0.0,2725.178611198802,0.0,227.09821759990018,389.3112301712575,0.0,0.0,0.0,0,0,196,-330.4068259760686,
21,20028,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,77812.50248216471,7684.697834140358,11881.23512673327,0.5,0.1542168625504687,0.07710843127523435,6,6,0.6666666666666666,0.0,1707.9816795626211,0.0,284.6636132604369,284.6636132604369,0.0,0.0,0.0,0,0,252,-312.9770379855186,
22,20029,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,75693.76128959327,9387.94190215048,20947.445647601522,0.75,0.15853354088310864,0.11890015566233147,16,9,0.6666666666666666,0.0,1969.6347428635218,0.0,123.10217142897011,218.84830476261354,0.0,0.0,0.0,0,0,252,-352.0995778001508,
23,20030,0.2,node_dp,0.0,high_speed,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,69249.51305697522,9938.043627475261,19346.487550591417,0.5,0.17328641704854977,0.08664320852427489,9,7,0.5714285714285714,0.0,-525.684686215498,0.0,-58.40940957949978,-75.09781231649971,0.0,0.0,0.0,0,0,196,-249.617040883425,
