episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,12,1.0,110877.69940137008,7209.3484030406,14261.356761556643,0.75,0.10822735378518973,0.0811705153388923,5,5,1.0,88.447265625,-6646.198912137142,1501.5274612868657,-1329.2397824274283,-1329.2397824274283,300.30549225737315,300.30549225737315,17.689453125,4,28,336,-444.2029240350154,
1,20008,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,37695.22418017184,3566.515659041961,5956.584836260574,0.5,0.3183427147864569,0.15917135739322846,2,2,1.0,0.0,181.110588067364,0.0,90.555294033682,90.555294033682,0.0,0.0,0.0,1,0,252,-171.7090639058656,
2,20009,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,55606.98157295929,9530.995602482946,16931.12557167078,0.41666666666666663,0.2158002405553225,0.08991676689805103,9,8,0.5,194.3671875,-7423.737367580867,3611.7189587283783,-824.8597075089851,-927.9671709476083,401.3021065253754,451.4648698410473,21.596354166666668,5,67,196,-269.30628163448705,
3,20010,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,59417.76988255194,15025.95625205137,22937.03445019519,0.6666666666666667,0.2019597844839984,0.1346398563226656,14,9,0.6666666666666666,0.0,843.9323664302028,0.0,60.28088331644306,93.7702629366892,0.0,0.0,0.0,3,0,168,-298.0350332918559,
4,20011,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,72220.42848291926,12007.088723878207,18371.994230168573,0.5833333333333333,0.1661579729181211,0.0969254842022373,10,8,0.75,98.71875,-5909.554607924409,1332.5320352394137,-590.9554607924408,-738.6943259905511,133.25320352394138,166.56650440492672,9.871875,6,17,224,-396.0818339073862,
5,20012,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,12,1.0,47322.786174113426,4554.248416269956,10734.218140410485,0.75,0.25357763078126316,0.19018322308594737,2,2,1.0,0.0,-709.0606213005922,0.0,-354.5303106502961,-354.5303106502961,0.0,0.0,0.0,0,0,336,-252.8650901766335,
6,20013,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,50156.36119092924,10798.59951840767,16820.128976888678,0.33333333333333337,0.23925180605347016,0.07975060201782339,7,6,0.3333333333333333,0.0,179.88782722017822,0.0,25.69826103145403,29.98130453669637,0.0,0.0,0.0,4,0,196,-245.8487436576303,
7,20014,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,46497.01864740617,12348.797558952507,23394.610324744077,0.5,0.2580810630246595,0.12904053151232975,10,9,0.4444444444444444,370.880859375,-6396.185446577612,4055.479321886415,-639.6185446577613,-710.6872718419569,405.54793218864154,450.608813542935,37.0880859375,6,94,168,-272.5496068987312,
8,20015,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,72489.28068227437,7151.92049199473,15011.247524088485,0.5833333333333333,0.16554171716224977,0.09656600167797903,6,4,0.75,0.0,1095.4704190880257,0.0,182.57840318133762,273.8676047720064,0.0,0.0,0.0,1,0,252,-254.91431324293765,
9,20016,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,83653.89275630297,17206.112040051994,25901.74736884445,0.41666666666666663,0.14344819594896677,0.059770081645402824,12,7,0.5714285714285714,581.7890625,-30015.569380903627,12575.00046255807,-2501.297448408636,-4287.938482986233,1047.9167052131725,1796.4286375082957,48.482421875,7,119,224,-552.4492434555123,
10,20017,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,68270.1327021551,6006.834088322649,12073.416321597319,0.9166666666666666,0.1757723256867376,0.16112463187950946,6,4,1.0,0.0,3296.1247916382617,0.0,549.3541319397103,824.0311979095654,0.0,0.0,0.0,2,0,280,-297.7540149346272,
11,20018,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,49126.082387919334,9107.597853776822,17035.06496404096,0.6666666666666667,0.24426942708851007,0.1628462847256734,12,7,0.7142857142857143,146.572265625,55.525121883627435,1222.3337007957753,4.627093490302286,7.932160269089634,101.86114173298127,174.61910011368218,12.21435546875,6,40,196,-224.31501431201497,
12,20019,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,74849.92185241762,8732.663481412048,19206.25275886891,0.5833333333333333,0.1603208086664476,0.09352047172209443,9,6,0.6666666666666666,0.0,738.8135941923574,0.0,82.09039935470638,123.13559903205957,0.0,0.0,0.0,4,0,224,-332.0604115305795,
13,20020,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,11,1.0909090909090908,75644.45091978801,5244.758169444804,10667.858276266063,0.9166666666666666,0.1586368841876396,0.14541714383866963,6,5,1.0,58.552734375,-12428.82445464718,888.4781128312727,-2071.4707424411968,-2485.7648909294358,148.07968547187878,177.69562256625454,9.7587890625,5,8,308,-304.03403760883066,
14,20021,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,74120.56549361056,10545.591324653713,17400.694531981477,0.75,0.1618983870412381,0.12142379028092859,8,6,1.0,359.80078125,-11360.39807382227,4916.509101164897,-1420.0497592277839,-1893.3996789703785,614.5636376456122,819.4181835274829,44.97509765625,5,62,224,-390.5713221715772,
15,20022,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,61396.34542392746,4069.5946870006233,10172.419382055205,0.8333333333333334,0.19545137283241856,0.16287614402701545,2,2,0.0,0.0,97.16488015524374,0.0,48.58244007762187,48.58244007762187,0.0,0.0,0.0,0,0,280,-203.02901283795273,
16,20023,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,50000.732316085036,9949.579340233688,20934.729283945133,0.6666666666666667,0.2399964849342746,0.15999765662284973,9,7,0.8571428571428571,0.0,325.88212379717334,0.0,36.209124866352596,46.5545891138819,0.0,0.0,0.0,3,0,168,-227.63247066320804,
17,20024,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,70772.67897084521,20482.700581036243,34756.79780022033,0.08333333333333337,0.16955695579848543,0.014129746316540452,15,9,0.1111111111111111,339.1640625,-2924.9504879456435,3946.2872501978923,-194.99669919637623,-324.9944986606271,263.0858166798595,438.47636113309915,22.6109375,6,74,140,-363.5302390436799,
18,20025,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,58244.46475558779,7269.444019388314,15613.007734243998,0.5833333333333333,0.20602816165202648,0.12018309429701544,4,3,0.3333333333333333,0.0,-231.08516724009678,0.0,-57.771291810024195,-77.02838908003226,0.0,0.0,0.0,2,0,252,-236.69729443674302,
19,20026,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,81066.10552734658,9544.956607782544,18241.936052189667,0.6666666666666667,0.1480273404271525,0.09868489361810166,7,6,0.8333333333333334,0.0,833.9707051364194,0.0,119.13867216234563,138.99511752273656,0.0,0.0,0.0,3,0,252,-336.6410939499127,
20,20027,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,75608.78867473805,13482.171161783082,24582.662475824185,0.75,0.15871170812725066,0.11903378109543798,12,7,0.8571428571428571,0.0,3468.9905626045565,0.0,289.08254688371306,495.57008037207953,0.0,0.0,0.0,4,0,196,-330.4068259760686,
21,20028,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,77948.16135216471,7752.181879424129,11978.009859415644,0.5,0.15394846769745835,0.07697423384872917,6,6,0.6666666666666666,0.0,2111.760520967893,0.0,351.9600868279822,351.9600868279822,0.0,0.0,0.0,2,0,252,-312.9770379855186,
22,20029,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,75693.76128959327,9686.562258654822,21624.37699441939,0.75,0.15853354088310864,0.11890015566233147,16,9,0.6666666666666666,0.0,2850.992438158205,0.0,178.1870273848878,316.77693757313386,0.0,0.0,0.0,3,0,252,-352.0995778001508,
23,20030,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,69479.04850176338,10064.43723134264,19553.372646901957,0.5,0.1727139369171908,0.0863569684585954,9,7,0.5714285714285714,0.0,27.96240011923328,0.0,3.1069333465814757,3.994628588461897,0.0,0.0,0.0,3,0,196,-249.617040883425,
24,20031,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,54835.70846449787,8685.867958266124,15852.201546294089,0.5833333333333333,0.21883550584140127,0.12765404507415073,9,7,0.7142857142857143,0.0,1679.9973146451812,0.0,186.66636829390902,239.99961637788303,0.0,0.0,0.0,1,0,252,-299.5964624257312,
25,20032,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,68520.44498543214,6183.239466967832,10301.767312853388,0.6666666666666667,0.17513021117348654,0.1167534741156577,5,5,0.4,3.75,-510.29911863803136,89.48700567005588,-102.05982372760627,-102.05982372760627,17.897401134011176,17.897401134011176,0.75,3,4,280,-285.84583547048265,
26,20033,0.2,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,10,1.2,77939.51036099967,7030.046149218211,12322.581710235478,0.8333333333333334,0.15396555539569706,0.12830462949641422,5,5,1.0,134.021484375,-3409.909767223253,999.7747991221877,-681.9819534446506,-681.9819534446506,199.95495982443754,199.95495982443754,26.804296875,5,17,280,-331.47937759238,
