episode_seed,request_id,handover_index,runtime_policy,lead_ms,prefetch_planner_ms,reactive_planner_ms,blocking_planner_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20007,r0021,0,prefetch,6564.478605356293,59.92949,59.026317,59.026317,6047.041406665289,-0.07882380761646478,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,0
20008,r0014,0,prefetch,56.118259378497896,61.251702,60.98759,60.98759,66.82867976959832,0.19085446536861417,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20008,r0021,0,prefetch,6004.297493183265,60.793115,0.0,0.0,5592.968157210328,-0.06850582211156639,0.2,1,1,1,128.22098455339923,128.22098455339923,4.8984375,4.8984375,0.0,0.0,0.0,56.51073174084255,100,2
20009,r0017,0,prefetch,2351.946338112808,62.995263,0.0,0.0,2347.638944701616,-0.0018314165342089572,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,0
20009,r0008,0,prefetch,8039.11762006384,63.383018,62.673211,62.673211,6717.705485026269,-0.16437278287104823,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,0
20010,r0005,0,prefetch,11828.84313431684,63.36346,63.043169,63.043169,13265.681793252099,0.12146907712106048,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493,0
20010,r0002,0,prefetch,8125.545207742021,62.914026,62.710388,62.710388,7050.535053532927,-0.1323000643925806,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,0
20010,r0006,0,prefetch,3986.445259118598,63.035467,62.594659,62.594659,4425.324424245105,0.11009286133369423,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,0
20010,r0009,0,prefetch,3685.983651608931,62.758766,0.0,0.0,4166.197702517993,0.1302811125327289,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,0
20010,r0011,0,prefetch,0.0,0.0,63.016557,63.016557,0.0,-0.051537138948751754,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,prefetch,8573.420755179366,62.124787,62.367057,62.367057,9442.429418615522,0.10136078564803558,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,0
20011,r0021,0,prefetch,0.0,0.0,60.916269,60.916269,0.0,0.06951084922845574,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0013,0,prefetch,7536.560954172521,60.782723,60.718447,60.718447,6477.983177190262,-0.14045899494731626,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,0
20011,r0011,0,prefetch,0.0,0.0,60.23308,60.23308,0.0,0.14438129747888884,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
