episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56444.26586637169,6793.712891194079,11262.879298316866,0.75,0.21259909781463468,0.159449323360976,1,1,1.0,0.0,160.1761736428889,0.0,160.1761736428889,160.1761736428889,0.0,0.0,0.0,0,0,252,-280.2572504147939,
1,20008,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,34112.23046215104,10335.445972500904,17971.72285888438,0.08333333333333337,0.3517799873366389,0.02931499894471991,2,2,0.0,30.462890625,-3737.841183129389,618.9104002016122,-1868.9205915646944,-1868.9205915646944,309.4552001008061,309.4552001008061,15.2314453125,2,25,140,-171.71655740616194,
2,20009,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,38485.644420804514,10407.182749494896,20026.348902190886,0.33333333333333337,0.31180457494205444,0.10393485831401815,2,2,1.0,0.0,-218.15863786679984,0.0,-109.07931893339992,-109.07931893339992,0.0,0.0,0.0,1,0,140,-163.3238526824938,
3,20010,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47558.6249357319,16783.351959197946,27928.16562906921,0.6666666666666667,0.25232016308747646,0.16821344205831765,6,6,0.6666666666666666,0.0,-7.4924961039287155,0.0,-1.248749350654786,-1.248749350654786,0.0,0.0,0.0,3,0,140,-222.2252253529748,
4,20011,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47337.85699964734,12890.470230877503,22010.681686930155,0.5,0.2534968999566119,0.12674844997830595,3,3,0.6666666666666666,182.4375,-590.0663519792579,2834.588201968792,-196.68878399308596,-196.68878399308596,944.8627339895974,944.8627339895974,60.8125,1,28,140,-222.79873004482815,
5,20012,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,45006.198821747894,16072.559350047877,28222.379749629057,0.08333333333333337,0.2666299379675975,0.02221916149729979,5,5,0.2,441.0,-32685.213442735632,6199.873827729342,-6537.042688547126,-6537.042688547126,1239.9747655458684,1239.9747655458684,88.2,3,84,112,-244.9940909026193,
6,20013,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,38967.48696531134,14468.747850468586,22213.594508553495,0.16666666666666663,0.3079490348115684,0.051324839135261396,2,2,1.0,0.0,-279.2900644484198,0.0,-139.6450322242099,-139.6450322242099,0.0,0.0,0.0,2,0,112,-180.55906212965027,
7,20014,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,3,4.0,50277.06879409136,26531.601681120344,45084.11263856246,0.16666666666666663,0.23867739881864908,0.039779566469774846,7,7,0.14285714285714285,417.45703125,-30928.195695398415,6031.398331672261,-4418.313670771202,-4418.313670771202,861.6283330960372,861.6283330960372,59.63671875,7,98,84,-286.7881972234637,
8,20015,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,46385.03717705609,7525.578742191254,14892.888624796702,0.5833333333333333,0.25870411516961517,0.15091073384894219,1,1,1.0,0.0,1212.4879305260183,0.0,1212.4879305260183,1212.4879305260183,0.0,0.0,0.0,1,0,224,-215.43361650530653,
9,20016,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,45226.02374152969,9393.75418180985,16384.87012424073,0.75,0.2653339605661765,0.19900047042463237,3,3,1.0,0.0,346.4973494951191,0.0,115.49911649837304,115.49911649837304,0.0,0.0,0.0,2,0,196,-224.74838759888402,
10,20017,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,43079.558964587945,8773.083762005828,16512.967151935663,0.8333333333333334,0.2785543837592252,0.23212865313268766,2,2,1.0,0.0,854.294274009997,0.0,427.1471370049985,427.1471370049985,0.0,0.0,0.0,1,0,224,-215.30168771925617,
11,20018,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,34429.798522590434,9088.211869912206,18247.59066169892,0.75,0.3485352954396883,0.26140147157976623,2,2,1.0,0.0,8.106235825332988,0.0,4.053117912666494,4.053117912666494,0.0,0.0,0.0,1,0,196,-201.3540943861726,
12,20019,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,6,2.0,45568.82391097634,9434.888825158838,21426.826073680662,0.5,0.26333793523930543,0.13166896761965272,3,3,1.0,0.0,577.6101840527117,0.0,192.53672801757057,192.53672801757057,0.0,0.0,0.0,2,0,168,-245.91251360410234,
13,20020,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,41085.29385032031,8420.103701814505,14624.844357379894,0.75,0.29207531151457117,0.21905648363592836,2,2,0.5,0.0,960.3926281196946,0.0,480.1963140598473,480.1963140598473,0.0,0.0,0.0,0,0,196,-201.45905541379534,
14,20021,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,6,2.0,52033.22186121823,13526.26804005603,22680.408262553567,0.5,0.23062189060685334,0.11531094530342667,3,3,1.0,190.640625,918.5230964860748,3100.270254045822,306.17436549535824,306.17436549535824,1033.4234180152741,1033.4234180152741,63.546875,2,28,168,-256.3283044600362,
15,20022,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,46545.230541196404,13702.211819982034,26013.4487845099,0.0,0.2578137407522131,0.0,2,2,0.0,58.810546875,-4867.229990545002,941.7901594213395,-2433.614995272501,-2433.614995272501,470.89507971066973,470.89507971066973,29.4052734375,2,23,140,-210.0863697986481,
16,20023,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,3,4.0,55045.04978592686,30406.78867464807,46021.241841853116,0.08333333333333337,0.21800325454638778,0.018166937878865648,6,6,0.16666666666666666,409.41796875,-43612.346542661835,8271.919631609091,-7268.724423776973,-7268.724423776973,1378.6532719348486,1378.6532719348486,68.236328125,6,76,84,-308.0122738790915,
17,20024,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,44231.187550184106,18504.87371433328,28877.823703815902,0.16666666666666663,0.2713017819470699,0.04521696365784498,4,4,0.5,0.0,1649.7638070262,0.0,412.44095175655,412.44095175655,0.0,0.0,0.0,3,0,112,-226.36127935063388,
18,20025,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,55585.42631401282,15999.58146201313,31868.495809775126,0.08333333333333337,0.21588392490164024,0.01799032707513669,4,4,0.25,170.302734375,-18324.411160164018,2748.971473569907,-4581.1027900410045,-4581.1027900410045,687.2428683924768,687.2428683924768,42.57568359375,4,28,140,-264.3590294207316,
19,20026,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,50942.0260701131,7312.648948419895,16024.397199317704,0.6666666666666667,0.23556189114826384,0.15704126076550923,1,1,1.0,0.0,318.8399646149701,0.0,318.8399646149701,318.8399646149701,0.0,0.0,0.0,1,0,224,-239.8345883611225,
20,20027,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,43686.00498552945,15002.157147094664,33365.98393380001,0.5833333333333333,0.27468751157206706,0.16023438175037244,4,4,0.75,0.0,942.9891381748821,0.0,235.74728454372053,235.74728454372053,0.0,0.0,0.0,1,0,140,-212.26758478453405,
