episode_seed,request_id,handover_index,runtime_policy,lead_ms,prefetch_planner_ms,reactive_planner_ms,blocking_planner_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20007,r0021,0,reactive,6564.478605356293,0.0,61.014944,61.014944,6047.041406665289,-0.07882380761646478,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20008,r0014,0,reactive,56.118259378497896,0.0,61.388273,61.388273,66.82867976959832,0.19085446536861417,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20008,r0021,0,reactive,6004.297493183265,0.0,61.078087,61.078087,5592.968157210328,-0.06850582211156639,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20009,r0017,0,reactive,2351.946338112808,0.0,63.378609,63.378609,2347.638944701616,-0.0018314165342089572,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20009,r0008,0,reactive,7975.739011063841,0.0,63.397785,63.397785,6664.744594362096,-0.16437278287104823,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0005,0,reactive,11828.84313431684,0.0,63.457669,63.457669,13265.681793252099,0.12146907712106048,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0002,0,reactive,8125.545207742021,0.0,62.407535,62.407535,7050.535053532927,-0.1323000643925806,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0006,0,reactive,3986.0307591185992,0.0,63.471125,63.471125,4424.864290754083,0.11009286133369423,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0009,0,reactive,3685.569151608932,0.0,62.988888,62.988888,4165.72920099685,0.1302811125327289,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0011,0,reactive,0.0,0.0,63.218553,63.218553,0.0,-0.051537138948751754,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,reactive,8572.129311892983,0.0,63.156509,63.156509,9441.00707362301,0.10136078564803558,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0021,0,reactive,0.0,0.0,61.552093,61.552093,0.0,0.06951084922845574,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0013,0,reactive,7536.560954172521,0.0,60.326454,60.326454,6477.983177190262,-0.14045899494731626,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0011,0,reactive,0.0,0.0,60.908198,60.908198,0.0,0.14438129747888884,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0007,0,reactive,9282.575967835834,0.0,44.114837,44.114837,8223.90207842372,-0.1140495798882145,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
