episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56633.75708453283,6988.099218160632,11619.806841164393,0.75,0.21188776125321382,0.15891582093991038,7,6,1.0,0.0,1634.9224599359686,0.0,233.56035141942408,272.48707665599477,0.0,0.0,0.0,4,0,252,-290.1310040818623,
1,20008,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,29046.571351626917,9388.417073057439,14799.342378200345,0.08333333333333337,0.4131296549507511,0.03442747124589592,10,9,0.1111111111111111,160.08984375,-8210.480914907315,2930.3006297681527,-821.0480914907315,-912.2756572119239,293.03006297681526,325.5889588631281,16.008984375,7,73,140,-177.01769854617385,
2,20009,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,37386.3946814787,9827.44712593932,19176.16319282104,0.33333333333333337,0.32097237784591265,0.10699079261530421,7,6,0.6666666666666666,39.703125,-1245.7977493230774,200.96015192081077,-177.97110704615392,-207.6329582205129,28.708593131544397,33.49335865346846,5.671875,4,28,140,-169.2525039494354,
3,20010,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47663.51021767873,16724.30864199818,28045.590795105312,0.6666666666666667,0.2517649234224699,0.16784328228164663,14,8,0.75,0.0,1698.0295823026136,0.0,121.28782730732954,212.2536977878267,0.0,0.0,0.0,4,0,140,-227.0736571693669,
4,20011,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,41397.94753117296,11428.993365126697,18675.992537994898,0.6666666666666667,0.28986944318831054,0.19324629545887367,11,8,0.75,0.0,950.6062527917893,0.0,86.41875025379903,118.82578159897366,0.0,0.0,0.0,3,0,140,-216.93350264297706,
5,20012,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38732.581314901036,12172.504241015675,23142.400664110268,0.08333333333333337,0.30981668643353266,0.02581805720279439,11,8,0.125,651.15234375,-43140.8914271862,7706.173720697986,-3921.899220653291,-5392.611428398275,700.5612473361806,963.2717150872483,59.19566761363637,7,127,112,-244.13754462074178,
6,20013,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38708.94366898975,14182.628893248728,22055.209342851977,0.16666666666666663,0.3100058762288923,0.05166764603814872,9,8,0.25,0.0,607.4242167822795,0.0,67.4915796424755,75.92802709778493,0.0,0.0,0.0,3,0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,46894.09086898653,18575.665757657265,35336.49345061848,0.41666666666666663,0.2558957808463713,0.10662324201932138,12,10,0.5,590.953125,-47583.375322295535,4567.552181241455,-3965.281276857961,-4758.337532229553,380.62934843678795,456.75521812414553,49.24609375,10,140,112,-352.8264476084312,
8,20015,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,46717.30488068159,7879.089028005346,15428.242606197768,0.5833333333333333,0.25686413269448266,0.14983741073844822,7,5,0.6,0.0,915.5776037067644,0.0,130.79680052953776,183.1155207413529,0.0,0.0,0.0,3,0,224,-230.2446334653504,
9,20016,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40753.424456734254,10139.208220507846,15931.028982983247,0.75,0.2944537829634357,0.2208403372225768,9,7,0.7142857142857143,0.0,2715.4749105015835,0.0,301.71943450017596,387.92498721451193,0.0,0.0,0.0,5,0,196,-217.41474106515605,
