episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56634.08127553282,6999.14538556715,11620.511161824927,0.75,0.21188654834212461,0.15891491125659346,7,6,1.0,0.0,1703.692803738587,0.0,243.38468624836955,283.94880062309784,0.0,0.0,0.0,4,0,252,-290.1310040818623,
1,20008,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,29253.424658385953,9549.198052227757,14997.375465019586,0.08333333333333337,0.41020838209997446,0.03418403184166454,10,9,0.1111111111111111,159.5390625,-8019.6460489263645,3085.215003518323,-801.9646048926364,-891.0717832140405,308.5215003518323,342.80166705759143,15.95390625,7,73,140,-179.01769854617385,
2,20009,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,37989.662744483365,10403.2534239855,19899.317362288934,0.33333333333333337,0.3158754022301124,0.1052918007433708,9,8,0.5,82.8515625,-467.07878469113166,1785.5017448475533,-51.89764274345907,-58.38484808639146,198.38908276083924,223.18771810594416,9.205729166666666,6,56,140,-169.2525039494354,
3,20010,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47725.05036923084,16741.13885869292,28074.409270647146,0.6666666666666667,0.25144027941637553,0.16762685294425037,14,8,0.75,0.0,1887.2578513432927,0.0,134.80413223880663,235.9072314179116,0.0,0.0,0.0,4,0,140,-227.0736571693669,
4,20011,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,41457.84617045816,11493.351211484804,18736.94496275488,0.6666666666666667,0.2894506374176019,0.19296709161173461,11,8,0.75,0.0,1141.1072980151093,0.0,103.73702709228267,142.63841225188867,0.0,0.0,0.0,3,0,140,-216.93350264297706,
5,20012,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,40788.81875948068,12376.325316475451,24273.258244000845,0.08333333333333337,0.29419827209903693,0.024516522674919744,11,8,0.125,651.15234375,-40693.813285515396,9918.395325790749,-3699.4375714104904,-5086.7266606894245,901.6723023446135,1239.7994157238436,59.19566761363637,7,127,112,-244.13754462074178,
6,20013,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38780.20635744688,14194.960905328067,22094.84941225374,0.16666666666666663,0.3094362079817986,0.051572701330299765,9,8,0.25,0.0,747.3477244953847,0.0,83.03863605504274,93.41846556192309,0.0,0.0,0.0,3,0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,48508.114327439514,19732.71493661132,37016.27471086241,0.25,0.2473812921070811,0.061845323026770274,12,11,0.2727272727272727,580.20703125,-46730.4730135538,8388.979101127317,-3894.2060844628163,-4248.224819413982,699.0815917606097,762.634463738847,48.3505859375,11,140,112,-359.51261084543546,
8,20015,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,46774.5164859732,7916.847766281513,15516.919968695876,0.5833333333333333,0.25654995287013976,0.1496541391742482,7,5,0.6,0.0,1086.9440495258586,0.0,155.27772136083695,217.38880990517174,0.0,0.0,0.0,4,0,224,-230.2446334653504,
9,20016,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40753.91695436784,10145.655800042287,15932.517546340896,0.75,0.2944502245866673,0.22083766844000047,9,7,0.7142857142857143,0.0,2785.394421153689,0.0,309.48826901707656,397.9134887362413,0.0,0.0,0.0,5,0,196,-217.41474106515605,
10,20017,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,40933.72236753354,9120.876199150594,16981.964924621596,0.5833333333333333,0.29315682293085965,0.17100814670966813,9,6,0.8333333333333334,0.0,2776.5485963587653,0.0,308.50539959541834,462.75809939312757,0.0,0.0,0.0,4,0,224,-224.42795489495768,
11,20018,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,34577.59901063759,9257.458636719983,18463.696985074203,0.75,0.34704549602499213,0.2602841220187441,9,6,0.6666666666666666,0.0,925.4561844394739,0.0,102.82846493771932,154.24269740657897,0.0,0.0,0.0,3,0,196,-208.06727752867272,
12,20019,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,46694.88577393585,9903.704504320352,22345.344237648314,0.41666666666666663,0.2569874580718679,0.10707810752994495,9,5,0.6,0.0,1928.8934659750703,0.0,214.32149621945226,385.77869319501406,0.0,0.0,0.0,3,0,168,-238.99395407617004,
13,20020,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,44523.78317670135,9400.34915516946,15361.232108767514,0.8333333333333334,0.269518876066206,0.22459906338850502,9,6,1.0,0.0,2597.6333066888947,0.0,288.6259229654327,432.9388844481491,0.0,0.0,0.0,2,0,196,-205.79329958058284,
