episode_seed,request_id,handover_index,runtime_policy,lead_ms,prefetch_planner_ms,reactive_planner_ms,blocking_planner_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20010,r0011,0,reactive,0.0,0.0,63.638252,63.638252,0.0,-0.0695532880740024,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,reactive,0.0,0.0,62.681693,62.681693,0.0,-0.030913433328155715,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0013,0,reactive,0.0,0.0,43.820062,43.820062,0.0,0.17214964378998843,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0014,0,reactive,14157.144143259997,0.0,43.487526,43.487526,14803.178080108884,0.04563306909299608,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0022,0,reactive,13086.98795369727,0.0,44.019654,44.019654,12005.219155059483,-0.08265987578388266,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0015,0,reactive,0.0,0.0,44.233144,44.233144,0.0,0.054846471775640115,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0012,0,reactive,10725.3701298019,0.0,43.954843,43.954843,11302.403876547049,0.05380082363235028,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20023,r0023,0,reactive,12388.641986137984,0.0,45.851892,45.851892,13235.028300750402,0.06831953942647362,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20023,r0015,0,reactive,6206.839721471362,0.0,45.312141,45.312141,5206.37724132503,-0.16118709762802902,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20023,r0005,0,reactive,7298.9698054898545,0.0,45.188535,45.188535,6325.5378862720045,-0.1333656591490065,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20025,r0020,0,reactive,19847.151870685906,0.0,46.130735,46.130735,19900.25178954546,0.0026754427640562906,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20029,r0016,0,reactive,4375.663240478403,0.0,41.003436,41.003436,3642.7878405959973,-0.16748898615019528,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20033,r0000,0,reactive,23774.21046071391,0.0,46.568065,46.568065,24736.274210388645,0.04046669609762707,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20033,r0013,0,reactive,0.0,0.0,46.390289,46.390289,0.0,0.07166624304398239,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20033,r0014,0,reactive,22552.81253092661,0.0,45.988919,45.988919,18391.986334256504,-0.18449256344255854,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20033,r0004,0,reactive,2121.4145000650387,0.0,46.139584,46.139584,1725.2174752990204,-0.18676077907163902,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20035,r0008,0,reactive,17412.800901482617,0.0,36.870681,36.870681,19340.763533189136,0.11072099443475314,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20035,r0010,0,reactive,5226.890806896357,0.0,36.629567,36.629567,5358.791837055253,0.025235084303821015,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20035,r0018,0,reactive,1305.001133779646,0.0,36.758335,36.758335,1182.4955972255423,-0.09387389281363574,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20036,r0002,0,reactive,13060.20742070592,0.0,61.235614,61.235614,12805.767653211886,-0.019482061754290292,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20038,r0018,0,reactive,0.0,0.0,42.379603,42.379603,0.0,0.1098426750089797,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20038,r0010,0,reactive,0.0,0.0,41.415837,41.415837,0.0,-0.11292084154663971,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20043,r0003,0,reactive,37339.903585216176,0.0,32.30735,32.30735,32874.17562523538,-0.11959666552939074,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20043,r0005,0,reactive,6061.596746385141,0.0,32.707862,32.707862,6027.1496867397045,-0.00568283590721852,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0015,0,reactive,28723.360832577204,0.0,43.544905,43.544905,33142.99426879223,0.1538689522433045,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0000,0,reactive,6548.412537986813,0.0,43.692336,43.692336,7286.418797153434,0.11270002537034823,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0009,0,reactive,2070.6599995642246,0.0,43.79799,43.79799,2060.6660871581475,-0.004826438144446665,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0008,0,reactive,40.88025596621446,0.0,43.304813,43.304813,46.27794546634922,0.13203658765237875,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0004,0,reactive,23823.024049834523,0.0,43.370069,43.370069,21960.13291569191,-0.07819708909522577,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20044,r0020,0,reactive,25681.73612329355,0.0,43.731884,43.731884,23911.778921086447,-0.06891890772920678,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20046,r0005,0,reactive,21480.852618291123,0.0,37.007971,37.007971,19920.08463674824,-0.07265856757537997,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20046,r0000,0,reactive,0.0,0.0,37.23825,37.23825,0.0,0.04672765841477519,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20046,r0013,0,reactive,14618.141489337002,0.0,37.04515,37.04515,12655.99415475541,-0.13422686707560283,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20046,r0022,0,reactive,15198.946874586043,0.0,36.900289,36.900289,12337.363840687105,-0.18827508626165101,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20046,r0014,0,reactive,0.0,0.0,37.137196,37.137196,0.0,0.14361449932782155,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20049,r0007,0,reactive,11202.691299197071,0.0,70.223269,70.223269,9048.755607756422,-0.19226948542222427,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20050,r0021,0,reactive,0.0,0.0,65.23729,65.23729,0.0,-0.08822042536641823,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20055,r0017,0,reactive,5349.922105244994,0.0,65.460448,65.460448,5363.718931429543,0.0025788835637481355,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20055,r0008,0,reactive,1554.3453026235366,0.0,65.163847,65.163847,1779.7877980338178,0.14504016258791602,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20057,r0011,0,reactive,23430.363002961756,0.0,59.303086,59.303086,20061.141437224916,-0.1437972414388521,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20057,r0007,0,reactive,12894.083779866589,0.0,59.243001,59.243001,14292.428835298848,0.1084485783794657,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20059,r0010,0,reactive,4975.736261119666,0.0,61.390464,61.390464,5803.175912096747,0.16629491748641972,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20060,r0006,0,reactive,6462.1234349722945,0.0,62.276115,62.276115,5443.805389431513,-0.15758257417828916,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20060,r0019,0,reactive,4236.07269235079,0.0,61.968836,61.968836,4691.247529177545,0.10745208354159697,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20060,r0018,0,reactive,414.79736492651136,0.0,33.039035,33.039035,374.9709342057022,-0.09601418448708109,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20061,r0004,0,reactive,21399.73317188641,0.0,42.856564,42.856564,22069.285391895715,0.03128787703245378,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20061,r0003,0,reactive,3957.846668785074,0.0,43.221331,43.221331,4386.925777832673,0.10841226175629276,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20066,r0006,0,reactive,12827.375378080615,0.0,60.187028,60.187028,11620.303572103674,-0.09410123040755339,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20066,r0012,0,reactive,4765.882433839892,0.0,59.960703,59.960703,3986.1291084605677,-0.16361153180001412,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20068,r0022,0,reactive,20686.40527484124,0.0,33.630817,33.630817,22091.723119548304,0.06793436684798049,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20068,r0011,0,reactive,0.0,0.0,33.676253,33.676253,0.0,-0.1598613296663105,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20068,r0020,0,reactive,19397.496617106706,0.0,33.20431,33.20431,16151.948315012634,-0.1673178949922751,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20072,r0004,0,reactive,3745.12650051924,0.0,44.345389,44.345389,3164.7159020922213,-0.15497756840698118,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20072,r0005,0,reactive,10478.934467913088,0.0,44.112502,44.112502,9795.585320122424,-0.065211701617479,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20072,r0007,0,reactive,0.0,0.0,44.100654,44.100654,0.0,0.0612206102341164,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20081,r0010,0,reactive,6328.494539609081,0.0,71.789465,71.789465,6783.079199612674,0.07183140589889381,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20082,r0000,0,reactive,32501.739093072094,0.0,40.417986,40.417986,38319.162442151,0.17898806375929965,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20085,r0014,0,reactive,6416.5888923620805,0.0,46.093165,46.093165,5628.954268655055,-0.12274974085445588,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20085,r0020,0,reactive,2540.0041211604257,0.0,45.68086,45.68086,2283.2817720047324,-0.10107162701704878,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20091,r0019,0,reactive,0.0,0.0,53.173165,53.173165,0.0,0.1801471306309016,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20095,r0022,0,reactive,22089.784803026916,0.0,40.318293,40.318293,23462.3343857577,0.06213503639667439,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20095,r0010,0,reactive,14824.224939259053,0.0,40.4014,40.4014,15048.169841708432,0.015106685399538439,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20095,r0005,0,reactive,13164.259993198662,0.0,40.486139,40.486139,15647.77877272723,0.18865616303625737,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20095,r0001,0,reactive,5690.000028176364,0.0,40.404809,40.404809,5154.171463002756,-0.09417022188404811,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20096,r0021,0,reactive,8535.735869928249,0.0,62.564895,62.564895,9595.109492937581,0.12411040350270791,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20101,r0015,0,reactive,694.0858623441018,0.0,62.588799,62.588799,721.4178829985885,0.039378443125436535,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20101,r0001,0,reactive,1463.1408024391712,0.0,62.638473,62.638473,1685.1948411403987,0.15176532452040553,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20103,r0005,0,reactive,2445.6476172662515,0.0,52.303363,52.303363,2215.1536848792753,-0.09424658350601747,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20103,r0007,0,reactive,26659.02202449784,0.0,52.206502,52.206502,22033.402477770484,-0.17351047395799912,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20104,r0004,0,reactive,16050.427837917152,0.0,66.138896,66.138896,18633.819401355748,0.16095468541565316,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20105,r0002,0,reactive,3828.4004911216325,0.0,57.069797,57.069797,4418.14223287075,0.15404389982625283,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
