episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,56444.26586637169,7783.610156448059,11283.038865216868,0.6666666666666667,0.21259909781463468,0.14173273187642313,2,2,1.0,30.26953125,-1615.2228489186855,84.36511474702115,-807.6114244593427,-807.6114244593427,42.182557373510576,42.182557373510576,15.134765625,1,18,224,-293.25232316004264,
1,20008,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-146.28972704742998,
2,20009,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,35808.22478510121,14602.037538181265,23551.496207718166,0.25,0.3351185397214346,0.08377963493035866,4,4,0.5,53.8125,-2193.7317469886584,780.0745032597013,-548.4329367471646,-548.4329367471646,195.01862581492531,195.01862581492531,13.453125,3,42,112,-177.55319815741836,
3,20010,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47557.35875966554,16777.731119732518,27927.169090696312,0.6666666666666667,0.25232688090696637,0.16821792060464424,6,6,0.6666666666666666,0.0,-71.85502054524477,0.0,-11.975836757540796,-11.975836757540796,0.0,0.0,0.0,3,0,140,-222.2252253529748,
4,20011,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,46335.1502800446,12560.942220264444,19009.877850987756,0.5833333333333333,0.2589826498343764,0.15107321240338625,4,4,0.75,0.0,592.1903111832908,0.0,148.0475777958227,148.0475777958227,0.0,0.0,0.0,3,0,140,-215.03570251722522,
5,20012,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,6,2.0,33324.72653024151,8633.524251831534,14529.565726710267,0.25,0.3600929774805577,0.09002324437013942,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-179.6991993567873,
6,20013,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,41125.23050104093,16293.207044857045,24449.039488910304,0.16666666666666663,0.29179167761008085,0.04863194626834681,2,2,1.0,0.0,-452.7715823977942,0.0,-226.3857911988971,-226.3857911988971,0.0,0.0,0.0,2,0,112,-187.61539594883675,
7,20014,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,45277.51242563003,16175.638764650057,32503.314012922743,0.41666666666666663,0.2650322280781312,0.11043009503255467,5,5,0.4,197.326171875,-2677.061035462106,741.7964530991595,-535.4122070924211,-535.4122070924211,148.3592906198319,148.3592906198319,39.465234375,4,51,112,-215.2480269248051,
8,20015,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,46321.14527205609,7520.254416774587,14864.137267546701,0.5833333333333333,0.2590609521746686,0.1511188887685567,1,1,1.0,0.0,1148.5960255260143,0.0,1148.5960255260143,1148.5960255260143,0.0,0.0,0.0,1,0,224,-215.43361650530653,
9,20016,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,49557.71598360342,17096.340984510844,26675.5072508999,0.41666666666666663,0.2421419099292288,0.10089246247051199,3,3,0.6666666666666666,0.0,997.2362477462448,0.0,332.4120825820816,332.4120825820816,0.0,0.0,0.0,1,0,112,-223.3101461566553,
10,20017,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,43009.967760331834,8755.426096941801,16480.793558820416,0.8333333333333334,0.2790050917235893,0.23250424310299106,2,2,1.0,0.0,784.7030697538867,0.0,392.35153487694333,392.35153487694333,0.0,0.0,0.0,1,0,224,-215.30168771925617,
11,20018,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40824.30242353345,12010.504640829604,24540.153577459878,0.5,0.29394256086743364,0.14697128043371682,4,3,1.0,315.87890625,668.2030519293039,1924.7881653057464,167.05076298232598,222.7343506431013,481.1970413264366,641.5960551019155,78.9697265625,3,45,196,-237.8097073042752,
