episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,56444.26586637169,7868.002180213892,11262.866179716864,0.6666666666666667,0.21259909781463468,0.14173273187642313,2,2,1.0,30.26953125,-1442.0240798806863,241.51165778502533,-721.0120399403431,-721.0120399403431,120.75582889251267,120.75582889251267,15.134765625,1,18,224,-293.25232316004264,
1,20008,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-146.28972704742998,
2,20009,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,35904.5097241729,14673.114964432172,23590.801271718166,0.25,0.3342198540569664,0.0835549635142416,4,4,0.5,53.3203125,-1773.1583359777178,1095.1713254950926,-443.28958399442945,-443.28958399442945,273.79283137377314,273.79283137377314,13.330078125,3,42,112,-177.55319815741836,
3,20010,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47559.58991373652,16783.970629829357,27929.125175537138,0.6666666666666667,0.252315043543596,0.168210029029064,6,6,0.6666666666666666,0.0,-4.5611759770945355,0.0,-0.7601959961824226,-0.7601959961824226,0.0,0.0,0.0,3,0,140,-222.2252253529748,
4,20011,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,46377.19990349372,12617.627555130726,19062.69695549993,0.5833333333333333,0.25874783352532693,0.15093623622310737,4,4,0.75,18.140625,695.7935956324072,291.168146801243,173.9483989081018,173.9483989081018,72.79203670031075,72.79203670031075,4.53515625,3,6,140,-215.03570251722522,
5,20012,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,6,2.0,33324.72653024151,8633.524251831534,14529.565726710267,0.25,0.3600929774805577,0.09002324437013942,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,-179.6991993567873,
6,20013,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,41195.41414876083,16300.56332750037,24488.38061195625,0.16666666666666663,0.29129455906588975,0.048549093177648286,2,2,1.0,0.0,-382.58793467789656,0.0,-191.29396733894828,-191.29396733894828,0.0,0.0,0.0,2,0,112,-187.61539594883675,
7,20014,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,46115.72756162975,16449.492909860073,33354.24302425858,0.41666666666666663,0.260214912232774,0.10842288009698915,6,6,0.3333333333333333,152.501953125,-1113.4738388909027,1680.1719736048951,-185.57897314848378,-185.57897314848378,280.0286622674825,280.0286622674825,25.4169921875,4,34,112,-215.2480269248051,
8,20015,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,46385.650933056095,7525.629888524588,14893.164814996704,0.5833333333333333,0.25870069210235797,0.15090873705970884,1,1,1.0,0.0,1213.1016865260244,0.0,1213.1016865260244,1213.1016865260244,0.0,0.0,0.0,1,0,224,-215.43361650530653,
9,20016,0.4,node_dp,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,49609.08892660342,17139.89317146718,26726.880193899902,0.41666666666666663,0.24189115864945604,0.10078798277060667,3,3,0.6666666666666666,0.0,1057.5060042223522,0.0,352.50200140745073,352.50200140745073,0.0,0.0,0.0,1,0,112,-223.3101461566553,
