episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56667.2716336836,7423.872432554473,11637.131879528288,0.6666666666666667,0.211762445130093,0.141174963420062,6,5,1.0,44.40234375,-4344.100839708692,368.397331643882,-724.0168066181153,-868.8201679417383,61.39955527398033,73.6794663287764,7.400390625,4,36,252,-323.5890432474846,
1,20008,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,22077.553482406867,3701.166749448776,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,1,1,1.0,0.0,-50.806435710272126,0.0,-50.806435710272126,-50.806435710272126,0.0,0.0,0.0,1,0,224,-154.20536769647845,
2,20009,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,42318.77291880255,13735.161609570643,23798.827874958035,0.33333333333333337,0.28356209720505177,0.09452069906835059,8,7,0.5714285714285714,114.36328125,-4323.838069175854,2038.7098861043971,-540.4797586469817,-617.6911527394077,254.83873576304964,291.2442694434853,14.29541015625,6,22,140,-200.8335385935788,
3,20010,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47727.08570749311,16742.422509164786,28076.462799736495,0.6666666666666667,0.25142955665772004,0.16761970443848004,14,8,0.75,0.0,1888.8205043077542,0.0,134.91575030769673,236.10256303846927,0.0,0.0,0.0,4,0,140,-227.0736571693669,
4,20011,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,44474.96687600542,12695.992050990912,18540.518704744645,0.5833333333333333,0.2698147034815239,0.1573919103642223,14,9,0.7777777777777778,251.87109375,-798.8233422070143,3501.0409371486962,-57.05881015764388,-88.7581491341127,250.07435265347831,389.00454857207734,17.990792410714285,8,50,140,-221.99606254271333,
5,20012,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,32162.637410564683,7820.438241109795,13406.511845366365,0.25,0.3731037304813279,0.09327593262033197,3,3,0.6666666666666666,0.0,-995.5183144787952,0.0,-331.8394381595984,-331.8394381595984,0.0,0.0,0.0,1,0,168,-185.58881674933258,
6,20013,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,39664.59255473706,15051.419813476386,22942.11097686889,0.16666666666666663,0.3025368276111755,0.05042280460186258,11,10,0.2,72.28125,-905.894700001918,1152.3971036692694,-82.354063636538,-90.5894700001918,104.76337306084268,115.23971036692694,6.5710227272727275,6,51,112,-190.4048128019395,
7,20014,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,44163.73402462829,15621.528185993026,31921.71718477057,0.5,0.2717161550087249,0.13585807750436246,11,9,0.5555555555555556,333.791015625,-6019.272493522818,3728.149568341781,-547.2065903202562,-668.8080548358687,338.922688031071,414.23884092686455,30.34463778409091,8,102,112,-217.98615576068175,
8,20015,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,46774.2660831542,7916.617717734211,15516.432901715609,0.5833333333333333,0.2565513262926815,0.14965494033739754,7,5,0.6,0.0,1085.8581069491793,0.0,155.12258670702562,217.17162138983585,0.0,0.0,0.0,4,0,224,-230.2446334653504,
9,20016,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,51725.824552534825,15828.205741306543,26575.282933770326,0.5833333333333333,0.23199243518703733,0.13532892052577178,14,9,0.6666666666666666,174.0,-11329.171730332728,3773.3150262588724,-809.2265521666234,-1258.7968589258587,269.52250187563374,419.2572251398747,12.428571428571429,8,42,140,-269.0061015509831,
10,20017,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,40949.12115607879,9104.299549018717,16949.511197066255,0.5833333333333333,0.29304658222728747,0.17094383963258436,10,7,0.7142857142857143,0.0,2958.993506242936,0.0,295.89935062429356,422.7133580347051,0.0,0.0,0.0,5,0,224,-223.3791996775866,
11,20018,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,41087.589851240686,12278.474780400822,24618.057059557646,0.5,0.2920589901585003,0.14602949507925014,10,6,0.6666666666666666,486.2109375,-2581.403378224979,4334.651196965151,-258.1403378224979,-430.2338963708298,433.4651196965151,722.4418661608585,48.62109375,5,85,196,-250.18901734165985,
12,20019,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,48102.858657132354,11009.042618578014,23856.46856313397,0.5,0.24946542336565947,0.12473271168282973,9,6,0.8333333333333334,7.96875,640.8630269355381,54.22584761237029,71.20700299283756,106.81050448925635,6.025094179152254,9.03764126872838,0.8854166666666666,3,4,168,-267.42459462099407,
13,20020,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,39154.08848065611,7137.191147305671,12319.821476531411,0.75,0.30648140374736454,0.2298610528105234,5,5,1.0,51.0,-13844.133580418697,934.2833865588514,-2768.8267160837395,-2768.8267160837395,186.85667731177028,186.85667731177028,10.2,5,8,224,-249.61384877692706,
14,20021,0.4,node_dp,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47593.25175081425,12303.13222019261,22273.178944201223,0.5,0.25213658572498565,0.12606829286249283,10,6,0.6666666666666666,1051.494140625,-2803.0469632202294,14242.42533695597,-280.30469632202295,-467.17449387003825,1424.242533695597,2373.7375561593285,105.1494140625,8,153,140,-246.0130538628632,
