episode_seed,request_id,handover_index,runtime_policy,lead_ms,prefetch_planner_ms,reactive_planner_ms,blocking_planner_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20010,r0011,0,reactive,0.0,0.0,63.322166,63.322166,0.0,-0.0695532880740024,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,reactive,0.0,0.0,107.268454,107.268454,0.0,-0.030913433328155715,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0002,0,reactive,7011.395246129194,0.0,65.667023,65.667023,7254.178573914254,0.03462696357320533,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0012,0,reactive,7062.066969675096,0.0,43.453683,43.453683,6993.476841326146,-0.009712472091170904,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0015,0,reactive,6227.419430470232,0.0,43.308319,43.308319,6568.97141449859,0.054846471775640115,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20016,r0009,0,reactive,0.0,0.0,68.378575,68.378575,0.0,-0.07960930387583415,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20023,r0023,0,reactive,9565.046940115937,0.0,62.048614,62.048614,9705.2417199907,0.01465698817292621,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20024,r0003,0,reactive,2891.7015632139337,0.0,43.217522,43.217522,2846.5370285132003,-0.015618670776847393,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20033,r0004,0,reactive,5019.51683552083,0.0,46.613147,46.613147,4082.0679607557513,-0.18676077907163902,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20036,r0002,0,reactive,13151.50361990249,0.0,49.445613,49.445613,12895.285214217778,-0.019482061754290292,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20038,r0002,0,reactive,3351.7522280068442,0.0,36.134492,36.134492,3342.8638719868713,-0.002651853542664284,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20038,r0018,0,reactive,9162.68674568081,0.0,35.645703,35.645703,10169.140768095715,0.1098426750089797,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20041,r0008,0,reactive,18645.794311514153,0.0,66.711419,66.711419,21178.734762245273,0.1358451352843134,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20043,r0004,0,reactive,16289.012839079405,0.0,53.857991,53.857991,14884.52308214712,-0.08622313523890997,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20049,r0007,0,reactive,11202.691299197071,0.0,70.432403,70.432403,9048.755607756422,-0.19226948542222427,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20055,r0013,0,reactive,1395.0751306978782,0.0,62.561725,62.561725,1422.6760232096267,0.019784520492413332,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20055,r0015,0,reactive,275.43697558048734,0.0,62.110495,62.110495,240.2192760307349,-0.127861190297819,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20055,r0022,0,reactive,0.0,0.0,64.944986,64.944986,0.0,-0.16238268179553647,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20059,r0010,0,reactive,4975.736261119666,0.0,62.05492,62.05492,5803.175912096747,0.16629491748641972,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20060,r0018,0,reactive,10879.197672611328,0.0,63.185436,63.185436,9834.640380201801,-0.09601418448708109,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20077,r0011,0,reactive,15363.148753196932,0.0,60.006982,60.006982,16590.122089690725,0.07986470457356398,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20077,r0007,0,reactive,9959.58867472678,0.0,59.673424,59.673424,11194.888138554,0.12403117278948372,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20081,r0010,0,reactive,1022.3466545481497,0.0,71.590104,71.590104,1095.783252060374,0.07183140589889381,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20081,r0016,0,reactive,13120.323512926756,0.0,71.385261,71.385261,12144.30448314036,-0.0743898600384949,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20090,r0017,0,reactive,7700.704271373135,0.0,60.017452,60.017452,7273.104493783668,-0.05552735990382615,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20096,r0004,0,reactive,12633.687788753217,0.0,62.432321,62.432321,13350.551785725018,0.05674225997653415,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20097,r0011,0,reactive,21126.07081098736,0.0,63.140577,63.140577,25096.65981913555,0.18794734921001732,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20097,r0008,0,reactive,6985.836149574454,0.0,63.056366,63.056366,7549.948950060063,0.0807509349499948,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20097,r0002,0,reactive,1405.3503966663993,0.0,63.048918,63.048918,1410.2199811672065,0.0034650322882878726,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
