comparison,metric,episodes,mean_delta,ci95_low,ci95_high,improvement_rate
oracle_guarded_vs_keep,avg_e2e_ms,20,-18.4171082868854,-22.95119994936515,-13.883016624405652,1.0
oracle_guarded_vs_keep,p95_e2e_ms,20,-32.363151221597356,-39.68305950377484,-25.04324293941987,1.0
oracle_guarded_vs_keep,slo_satisfaction,20,0.0,0.0,0.0,0.0
oracle_guarded_vs_keep,goodput_rps,20,0.00012516274762298037,8.861649247075576e-05,0.00016170900277520499,0.95
oracle_guarded_vs_keep,handover_overhead_ms,20,-61.56294250923172,-75.60891378584256,-47.51697123262088,1.0
oracle_guarded_vs_keep,migration_mb,20,1001.4046875,749.5178575542625,1253.2915174457376,0.0
oracle_guarded_vs_prefetch,avg_e2e_ms,20,-342.83198546954316,-606.5451177111752,-79.11885322791119,0.75
oracle_guarded_vs_prefetch,p95_e2e_ms,20,-468.6914259841618,-989.1109905681503,51.72813859982671,0.5
oracle_guarded_vs_prefetch,slo_satisfaction,20,0.004166666666666668,-0.011201150435716217,0.019534483769049555,0.1
oracle_guarded_vs_prefetch,goodput_rps,20,0.00468518328272167,-0.002503633457760725,0.011874000023204065,0.5
oracle_guarded_vs_prefetch,handover_overhead_ms,20,-1857.8354504537115,-2765.3416890254425,-950.3292118819804,0.8
oracle_guarded_vs_prefetch,migration_mb,20,-461.958984375,-646.2851941887513,-277.63277456124865,0.8
oracle_guarded_vs_reactive,avg_e2e_ms,20,-3502.0135288009815,-4757.112325655027,-2246.9147319469357,0.95
oracle_guarded_vs_reactive,p95_e2e_ms,20,-7762.616433268578,-10728.78665722869,-4796.446209308466,1.0
oracle_guarded_vs_reactive,slo_satisfaction,20,0.10416666666666666,0.0506684631831298,0.15766487015020353,0.75
oracle_guarded_vs_reactive,goodput_rps,20,0.04316559424254242,0.026145599221368238,0.0601855892637166,0.9
oracle_guarded_vs_reactive,handover_overhead_ms,20,-15642.625440470267,-19615.662795690067,-11669.588085250467,1.0
oracle_guarded_vs_reactive,migration_mb,20,-434.937890625,-599.588786573353,-270.28699467664705,0.8
