episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.6,full,0.0,driving,keep,0.0,12,0,1.0,7,1.7142857142857142,43248.99502007673,8686.684460187145,12972.664903586583,0.6666666666666667,0.27746309467837227,0.1849753964522482,2,2,1.0,0.0,26.95851039160434,0.0,13.47925519580217,13.47925519580217,0.0,0.0,0.0,196,-236.90767149431656,
1,20008,0.6,full,0.0,driving,keep,0.0,12,0,1.0,5,2.4,17536.536742171884,4463.584229912086,7536.577508867467,0.33333333333333337,0.6842856247175867,0.22809520823919557,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,-117.89163886487117,
2,20009,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,30117.36303735064,11342.913774487302,19313.518164121488,0.25,0.3984412574606205,0.09961031436515512,3,3,0.3333333333333333,0.0,37.00674954428544,0.0,12.33558318142848,12.33558318142848,0.0,0.0,0.0,112,-145.57300623196915,
3,20010,0.6,full,0.0,driving,keep,0.0,12,0,1.0,5,2.4,38471.6140101625,17703.539329883613,27691.147243231808,0.75,0.3119182885550404,0.23393871641628028,3,3,1.0,0.0,36.18850728443719,0.0,12.062835761479064,12.062835761479064,0.0,0.0,0.0,140,-187.7066984183948,
4,20011,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,38874.43537606051,14485.803751741716,22269.580371823013,0.5833333333333333,0.30868615541075584,0.18006692398960758,3,3,0.6666666666666666,0.0,38.25769862250143,0.0,12.752566207500477,12.752566207500477,0.0,0.0,0.0,112,-179.35260642032756,
5,20012,0.6,full,0.0,driving,keep,0.0,12,0,1.0,5,2.4,31653.699794180546,9825.098426125269,18022.947710973836,0.16666666666666663,0.37910260342477153,0.06318376723746193,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,140,-138.93727861594076,
6,20013,0.6,full,0.0,driving,keep,0.0,12,0,1.0,3,4.0,34824.82399489077,15095.977507305804,24070.188891585487,0.25,0.3445817845844834,0.08614544614612085,2,2,1.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,84,-156.13955685218406,
7,20014,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,32459.35866167429,12283.381460140694,23927.916563343373,0.5,0.3696930714213016,0.1848465357106508,2,2,0.5,0.0,25.732319559522715,0.0,12.866159779761357,12.866159779761357,0.0,0.0,0.0,112,-167.46341179815965,
8,20015,0.6,full,0.0,driving,keep,0.0,12,0,1.0,6,2.0,36981.992263056454,7077.919171514838,16309.283798718814,0.5833333333333333,0.3244822484046519,0.1892813115693803,2,2,1.0,0.0,29.389573789151353,0.0,14.694786894575676,14.694786894575676,0.0,0.0,0.0,168,-181.89858489460272,
9,20016,0.6,full,0.0,driving,keep,0.0,12,0,1.0,5,2.4,33582.74000308267,9113.35119276092,15823.405927873124,0.75,0.35732641228495593,0.26799480921371693,2,2,1.0,0.0,26.02938572056629,0.0,13.014692860283144,13.014692860283144,0.0,0.0,0.0,140,-158.2103387999196,
10,20017,0.6,full,0.0,driving,keep,0.0,12,0,1.0,6,2.0,34556.79909522967,8807.442074561533,18074.57082560906,0.6666666666666667,0.34725438449698653,0.23150292299799102,2,2,0.5,0.0,30.137276127051365,0.0,15.068638063525682,15.068638063525682,0.0,0.0,0.0,168,-170.4307885074736,
11,20018,0.6,full,0.0,driving,keep,0.0,12,0,1.0,7,1.7142857142857142,31997.655194239764,10279.233921488141,21190.84024400832,0.5833333333333333,0.3750274802061198,0.21876603012023657,3,3,1.0,0.0,36.2158014858821,0.0,12.071933828627367,12.071933828627367,0.0,0.0,0.0,196,-192.0744175057548,
12,20019,0.6,full,0.0,driving,keep,0.0,12,0,1.0,6,2.0,35265.48065134672,9771.566514828319,19198.507367352955,0.41666666666666663,0.3402760937427275,0.14178170572613646,2,1,0.0,0.0,26.162610472798335,0.0,13.081305236399167,26.162610472798335,0.0,0.0,0.0,168,-185.55286957140765,
13,20020,0.6,full,0.0,driving,keep,0.0,12,0,1.0,6,2.0,37253.797684178426,8995.685842735324,17421.7677950726,0.6666666666666667,0.3221148109980842,0.21474320733205615,4,4,0.5,0.0,58.221525931192126,0.0,14.555381482798031,14.555381482798031,0.0,0.0,0.0,168,-163.96736453496547,
14,20021,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,39624.13283046833,12422.011624690509,21982.955696904635,0.6666666666666667,0.30284574431803835,0.20189716287869222,3,3,0.6666666666666666,0.0,41.90591084530671,0.0,13.968636948435568,13.968636948435568,0.0,0.0,0.0,112,-177.95211579734885,
15,20022,0.6,full,0.0,driving,keep,0.0,12,0,1.0,7,1.7142857142857142,24130.02503313966,5756.751306420102,10528.524912312398,0.5,0.4973057418514675,0.24865287092573374,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-149.2353504313333,
16,20023,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,31318.306061206255,12722.600082656398,24861.90861797305,0.41666666666666663,0.38316248575347783,0.15965103573061576,3,3,1.0,0.0,39.0927809786771,0.0,13.030926992892367,13.030926992892367,0.0,0.0,0.0,112,-155.60840003671828,
17,20024,0.6,full,0.0,driving,keep,0.0,12,0,1.0,4,3.0,43301.586883778946,19622.224065587223,35348.444600177514,0.08333333333333337,0.2771261023806792,0.0230938418650566,4,4,0.25,0.0,55.984696231770926,0.0,13.996174057942731,13.996174057942731,0.0,0.0,0.0,112,-229.266168438266,
18,20025,0.6,full,0.0,driving,keep,0.0,12,0,1.0,6,2.0,34226.467742284534,7903.172531695585,19499.977638308694,0.33333333333333337,0.35060585539695627,0.1168686184656521,2,2,0.5,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,168,-167.32275930077282,
19,20026,0.6,full,0.0,driving,keep,0.0,12,0,1.0,5,2.4,39128.47244527295,8541.356951102722,16617.033987947558,0.6666666666666667,0.3066820463483159,0.20445469756554394,1,1,1.0,0.0,14.935950438165099,0.0,14.935950438165099,14.935950438165099,0.0,0.0,0.0,140,-160.13433513518515,
