episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,43248.99502007673,8683.814646388195,12966.351313228892,0.6666666666666667,0.27746309467837227,0.1849753964522482,2,2,1.0,277.265625,4.0,4.0,2.0,2.0,2.0,2.0,138.6328125,196,-236.90767149431656,
1,20008,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,5,2.4,17536.536742171884,4463.584229912086,7536.577508867467,0.33333333333333337,0.6842856247175867,0.22809520823919557,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,-117.89163886487117,
2,20009,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,30097.36303735064,11339.58044115397,19298.018164121488,0.25,0.39870602567766733,0.09967650641941683,3,3,0.3333333333333333,244.78125,17.006749544285437,17.006749544285437,5.668916514761812,5.668916514761812,5.668916514761812,5.668916514761812,81.59375,112,-145.57300623196915,
3,20010,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,5,2.4,38461.6140101625,17696.86971812543,27681.147243231808,0.75,0.3119993871507656,0.23399954036307422,3,3,1.0,481.1953125,16.153166186193072,16.153166186193072,5.384388728731024,5.384388728731024,5.384388728731024,5.384388728731024,160.3984375,140,-187.7066984183948,
4,20011,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,38863.29597754782,14474.67479883845,22258.440973310328,0.5833333333333333,0.3087746342186896,0.18011853662756894,3,3,0.6666666666666666,468.5625,16.104248910147195,16.104248910147195,5.368082970049065,5.368082970049065,5.368082970049065,5.368082970049065,156.1875,112,-179.35260642032756,
5,20012,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,5,2.4,31643.699794180546,9824.265092791935,18018.447710973836,0.16666666666666663,0.37922240692622383,0.06320373448770397,1,1,0.0,262.828125,2.0,2.0,2.0,2.0,2.0,2.0,262.828125,140,-138.93727861594076,
6,20013,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,3,4.0,34804.82399489077,15085.14417397247,24054.688891585487,0.25,0.3447797926448804,0.0861949481612201,2,2,1.0,438.375,4.0,4.0,2.0,2.0,2.0,2.0,219.1875,84,-156.13955685218406,
7,20014,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,32447.626342114767,12281.570433510735,23922.637019541588,0.5,0.36982674398049364,0.18491337199024682,2,2,0.5,307.2890625,4.0,4.0,2.0,2.0,2.0,2.0,153.64453125,112,-167.46341179815965,
8,20015,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,6,2.0,36956.602689267296,7069.455980251787,16290.876357721676,0.5833333333333333,0.3247051711137118,0.18941134981633187,2,2,1.0,438.5390625,4.0,4.0,2.0,2.0,2.0,2.0,219.26953125,168,-181.89858489460272,
9,20016,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,5,2.4,33582.74000308267,9111.51541061754,15812.39123501284,0.75,0.35732641228495593,0.26799480921371693,2,2,1.0,431.15625,4.0,4.0,2.0,2.0,2.0,2.0,215.578125,140,-158.2103387999196,
10,20017,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,6,2.0,34542.425232592715,8803.848608902294,18066.665201158736,0.6666666666666667,0.3473988846815923,0.23159925645439486,2,2,0.5,245.4375,15.763413490096985,15.763413490096985,7.881706745048493,7.881706745048493,7.881706745048493,7.881706745048493,122.71875,168,-170.4307885074736,
11,20018,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,31987.43939275388,10276.715938030984,21180.721553191084,0.5833333333333333,0.3751472524155329,0.2188358972423942,3,3,1.0,632.625,6.0,6.0,2.0,2.0,2.0,2.0,210.875,196,-192.0744175057548,
12,20019,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,6,2.0,35265.48065134672,9770.733181494985,19194.007367352955,0.41666666666666663,0.3402760937427275,0.14178170572613646,2,1,0.0,217.3828125,16.162610472798335,16.162610472798335,8.081305236399167,16.162610472798335,8.081305236399167,16.162610472798335,108.69140625,168,-185.55286957140765,
13,20020,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,6,2.0,37227.618409674,8982.774290739579,17402.78782105689,0.6666666666666667,0.32234132916978836,0.21489421944652556,4,4,0.5,828.84375,8.0,8.0,2.0,2.0,2.0,2.0,207.2109375,168,-163.96736453496547,
14,20021,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,39613.45383857927,12411.900137527364,21966.46411187033,0.6666666666666667,0.30292738545088144,0.20195159030058762,3,3,0.6666666666666666,631.4765625,6.0,6.0,2.0,2.0,2.0,2.0,210.4921875,112,-177.95211579734885,
15,20022,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,24130.02503313966,5756.751306420102,10528.524912312398,0.5,0.4973057418514675,0.24865287092573374,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-149.2353504313333,
16,20023,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,31308.306061206255,12719.009017574843,24850.783287713744,0.41666666666666663,0.38328486940623896,0.15970202891926624,3,3,1.0,641.6484375,6.0,6.0,2.0,2.0,2.0,2.0,213.8828125,112,-155.60840003671828,
17,20024,0.6,full,0.0,driving,oracle_guarded,0.0,12,0,1.0,4,3.0,43289.53926341558,19608.185657265105,35329.88397048623,0.08333333333333337,0.2772032274813634,0.02310026895678028,4,4,0.25,720.5625,20.047620363366423,20.047620363366423,5.011905090841606,5.011905090841606,5.011905090841606,5.011905090841606,180.140625,112,-229.266168438266,
