episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,12,1.0,107281.05674551231,6001.495025967409,12583.800830363456,0.8333333333333334,0.11185572144825069,0.09321310120687558,4,4,1.0,0.0,55.16942799771704,0.0,13.79235699942926,13.79235699942926,0.0,0.0,0.0,336,-361.6928330657619,
1,20008,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,37695.22418017184,3546.383320664712,5918.569973653744,0.5,0.3183427147864569,0.15917135739322846,2,2,1.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,252,-171.7090639058656,
2,20009,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,52879.397013683345,7346.915645012319,14293.285285807142,0.5833333333333333,0.22693148329385862,0.1323766985880842,7,7,0.5714285714285714,0.0,87.75862190671923,0.0,12.536945986674175,12.536945986674175,0.0,0.0,0.0,196,-206.31632635960128,
3,20010,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,60679.72072838988,15747.613593606746,23992.740367451443,0.6666666666666667,0.19775964450649863,0.13183976300433242,15,9,0.6666666666666666,0.0,186.204317776582,0.0,12.413621185105466,20.689368641842446,0.0,0.0,0.0,168,-299.67648988957967,
4,20011,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,66470.22382157746,10207.73791462562,16254.792506852753,0.5833333333333333,0.1805319631871704,0.10531031185918274,10,8,0.75,0.0,125.90687177060403,0.0,12.590687177060403,15.738358971325503,0.0,0.0,0.0,252,-348.52346882421415,
5,20012,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,12,1.0,47303.38788004674,4653.356205119909,11116.512094737713,0.75,0.2536816185434738,0.19026121390760536,2,2,1.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,336,-251.04267193853008,
6,20013,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,51326.39566242093,9852.299942407093,17410.097040194305,0.33333333333333337,0.23379783141066937,0.07793261047022312,7,5,0.4,0.0,87.19384442943439,0.0,12.456263489919198,17.43876888588688,0.0,0.0,0.0,196,-247.98037171165964,
7,20014,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,44527.30138072666,8829.099995667522,16732.773314188293,0.75,0.26949758076275687,0.20212318557206765,10,8,0.75,0.0,123.2912441250582,0.0,12.32912441250582,15.411405515632275,0.0,0.0,0.0,224,-259.76859214928646,
8,20015,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,72281.26475242138,6761.761029830038,14432.87204674031,0.5833333333333333,0.16601812435217533,0.09684390587210227,5,4,0.75,0.0,65.54600925759799,0.0,13.109201851519597,16.386502314399497,0.0,0.0,0.0,252,-251.9271147583238,
9,20016,0.2,full,0.0,high_speed,keep,0.0,12,0,1.0,10,1.2,65699.5349652577,6270.0200516989,10676.214376594848,0.8333333333333334,0.18264969464921893,0.1522080788743491,5,5,1.0,0.0,70.65262020027855,0.0,14.13052404005571,14.13052404005571,0.0,0.0,0.0,280,-326.74285962286865,
