episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,43250.99502007673,8684.303591849783,12968.351313228892,0.6666666666666667,0.27745026431021313,0.18496684287347542,8,7,0.7142857142857143,1519.3828125,16.0,16.0,2.0,2.2857142857142856,2.0,2.2857142857142856,189.9228515625,196,-245.04625732430128,
1,20008,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,5,2.4,17538.536742171884,4463.917563245419,7537.677508867468,0.33333333333333337,0.6842075924809438,0.2280691974936479,2,2,0.5,124.03125,4.0,4.0,2.0,2.0,2.0,2.0,62.015625,140,-124.93163886487116,
2,20009,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,4,3.0,29408.01581908827,11244.746366285557,18681.527535523535,0.25,0.4080520111870653,0.10201300279676632,10,9,0.3333333333333333,750.5859375,74.44719446024902,74.44719446024902,7.444719446024902,8.271910495583224,7.444719446024902,8.271910495583224,75.05859375,112,-148.00941704035208,
3,20010,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,5,2.4,38806.684813425374,17809.89385981012,27733.1496278737,0.75,0.30922507443481845,0.23191880582611382,12,8,0.75,2112.140625,44.153166186193076,44.153166186193076,3.67943051551609,5.5191457732741345,3.67943051551609,5.5191457732741345,176.01171875,140,-194.14167417935505,
4,20011,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,4,3.0,38589.26438706368,14336.954265588247,21630.555561470195,0.5833333333333333,0.31096731670331534,0.18139760141026728,16,11,0.5454545454545454,1700.5078125,105.77452046111011,105.77452046111011,6.610907528819382,9.615865496464556,6.610907528819382,9.615865496464556,106.28173828125,112,-183.29943867490965,
5,20012,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,5,2.4,31131.806502125575,9556.68970859218,17488.30282430707,0.16666666666666663,0.38545787566746825,0.06424297927791138,6,5,0.2,455.4375,52.0,52.0,8.666666666666666,10.4,8.666666666666666,10.4,75.90625,140,-143.31099144591172,
6,20013,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,3,4.0,33796.964156701084,14803.417620955981,23379.426724825895,0.25,0.35506147665694116,0.08876536916423529,11,10,0.3,870.0234375,53.69729426650544,53.69729426650544,4.8815722060459485,5.369729426650544,4.8815722060459485,5.369729426650544,79.09303977272727,84,-158.34802949550917,
7,20014,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,4,3.0,31520.17570632608,12090.260445113649,23361.715032832304,0.5,0.38070853766185087,0.19035426883092543,8,8,0.625,1056.890625,16.0,16.0,2.0,2.0,2.0,2.0,132.111328125,112,-168.5132103171866,
8,20015,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,6,2.0,38419.46078233039,7202.584837735371,16957.24463239208,0.5833333333333333,0.3123417079689717,0.18219932964856683,9,7,0.42857142857142855,1064.2734375,65.21426226701648,65.21426226701648,7.2460291407796085,9.316323181002355,7.2460291407796085,9.316323181002355,118.25260416666667,168,-194.04897478366397,
9,20016,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,5,2.4,34209.79855873024,9253.849992428046,16291.849768212667,0.75,0.35077669280626717,0.2630825196047004,5,4,1.0,896.109375,23.746030391562826,23.746030391562826,4.749206078312565,5.9365075978907065,4.749206078312565,5.9365075978907065,179.221875,140,-167.6331925746448,
10,20017,0.6,full,0.0,high_speed,oracle_guarded,0.0,12,0,1.0,6,2.0,37169.383209062566,9505.99887308504,20523.15790080887,0.6666666666666667,0.3228463580497129,0.21523090536647527,7,6,0.8333333333333334,913.9921875,38.373862636954385,38.373862636954385,5.481980376707769,6.395643772825731,5.481980376707769,6.395643772825731,130.5703125,168,-184.31050950271236,
