episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,12,1.0,107034.43991548417,5989.022044771016,12472.823256850792,0.8333333333333334,0.11211344693797025,0.09342787244830855,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-334.0487896075335,
1,20008,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,9,1.3333333333333333,37695.22418017184,3543.383320664712,5913.169973653743,0.5,0.3183427147864569,0.15917135739322846,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-153.5650639058656,
2,20009,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,53501.877698509634,7471.184986056934,14820.696064729475,0.5833333333333333,0.22429119343477316,0.13083652950361768,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-194.0333319288783,
3,20010,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,6,2.0,58860.93103791481,15345.99848857362,23433.908434404686,0.6666666666666667,0.2038703735805724,0.13591358238704826,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-282.78636019900483,
4,20011,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,9,1.3333333333333333,66444.0703718651,10133.529925516807,16171.963616903793,0.6666666666666667,0.1806030234577749,0.12040201563851659,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-327.06363938540323,
5,20012,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,12,1.0,47303.38788004674,4650.370251493311,11104.512094737713,0.75,0.2536816185434738,0.19026121390760536,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-226.9115147209343,
6,20013,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,7,1.7142857142857142,51276.41554781356,9865.27098216146,17498.29066295962,0.33333333333333337,0.23402571868172803,0.07800857289390933,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-233.93998722993524,
7,20014,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,8,1.5,44503.30138072666,9069.670552444046,17587.655972063516,0.75,0.2696429169903543,0.20223218774276575,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-247.97781510504092,
8,20015,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,9,1.3333333333333333,70799.72353640919,6623.204031400502,13750.68604485717,0.5833333333333333,0.16949218726580093,0.0988704425717172,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-228.18206095848336,
9,20016,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,10,1.2,65683.78893486613,6260.195825750987,10661.645031716023,0.8333333333333334,0.18269348030302474,0.15224456691918728,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-302.95626142208647,
10,20017,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,11,1.0909090909090908,68144.2491654476,5588.50506392324,10894.293486868777,0.9166666666666666,0.17609703161986814,0.16142227898487913,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-285.22882177730327,
11,20018,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,8,1.5,54044.25905455376,8089.885303776581,15711.406566619842,0.75,0.22204023535389522,0.1665301765154214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-224.68655663006328,
12,20019,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,10,1.2,73138.71366415519,7948.027570940256,17851.95049997499,0.6666666666666667,0.1640717945232488,0.10938119634883253,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-331.55473706847266,
13,20020,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,10,1.2,76166.48599042297,6931.329944296741,15162.93784056874,0.8333333333333334,0.1575496078617682,0.13129133988480682,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-261.3804262462218,
14,20021,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,8,1.5,73639.89258434306,9786.736595781533,16719.293899025786,0.75,0.1629551535026462,0.12221636512698464,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-298.2284675770517,
15,20022,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,10,1.2,61506.183491391545,3772.7466417450482,9525.409784881696,0.9166666666666666,0.1951023347380923,0.17884380684325127,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-169.683207903653,
16,20023,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,6,2.0,50656.30546622762,10031.202838431765,21175.216904386587,0.6666666666666667,0.23689054875903567,0.15792703250602377,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-216.1137995949852,
17,20024,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,6,2.0,56786.48319245114,14427.575514913566,24798.727375285274,0.25,0.21131789336789233,0.052829473341973084,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-292.8722901269783,
18,20025,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,9,1.3333333333333333,58907.03707661232,7447.1066987204495,16081.851759299867,0.5833333333333333,0.2037108059669211,0.11883130348070396,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-219.3068271537354,
19,20026,0.2,full,0.0,walking,oracle_guarded,0.0,12,0,1.0,9,1.3333333333333333,77113.45621294976,7730.397639206996,15336.904401270152,0.75,0.15561486398511112,0.11671114798883334,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-273.5706686253874,
