episode_seed,mapping_id,node_id,group_size,batch_size,selected_matches_baseline,candidate_count,risk_reducing_count,best_relative_regret,best_absolute_regret,best_risk_reduction,best_candidate_ids,baseline_ids,accepted_rel_0p01,max_risk_reduction_rel_0p01,accepted_rel_0p02,max_risk_reduction_rel_0p02,accepted_rel_0p05,max_risk_reduction_rel_0p05,accepted_rel_0p1,max_risk_reduction_rel_0p1
20007,0,cloud_0,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20007,1,cloud_0,1,2,1,1,0,,,,,r0000|r0007,0,,0,,0,,0,
20007,2,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20007,3,cloud_0,1,1,1,1,0,,,,,r0002,0,,0,,0,,0,
20007,4,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20007,5,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20007,6,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20007,7,cloud_0,1,2,1,1,0,,,,,r0011|r0023,0,,0,,0,,0,
20007,8,cloud_0,1,2,1,1,0,,,,,r0012|r0021,0,,0,,0,,0,
20008,0,cloud_0,1,1,1,1,0,,,,,r0012,0,,0,,0,,0,
20008,1,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20008,2,cloud_0,1,2,1,3,0,,,,,r0000|r0008,0,,0,,0,,0,
20008,3,cloud_0,1,4,1,1,0,,,,,r0005|r0013|r0014|r0023,0,,0,,0,,0,
20008,4,cloud_0,1,4,1,1,0,,,,,r0003|r0004|r0017|r0021,0,,0,,0,,0,
20009,0,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20009,1,cloud_0,1,3,1,6,1,0.06299303054606273,0.46990685089525197,0.00025966354233252463,r0007|r0011|r0020,r0000|r0007|r0011,0,,0,,0,,1,0.00025966354233252463
20009,2,cloud_0,1,4,1,1,0,,,,,r0003|r0017|r0019|r0020,0,,0,,0,,0,
20009,3,cloud_0,1,2,1,4,0,,,,,r0014|r0015,0,,0,,0,,0,
20009,4,cloud_0,1,2,1,1,0,,,,,r0008|r0021,0,,0,,0,,0,
20010,0,cloud_0,1,1,1,1,0,,,,,r0020,0,,0,,0,,0,
20010,1,cloud_0,1,1,1,1,0,,,,,r0017,0,,0,,0,,0,
20010,2,cloud_0,1,3,1,1,0,,,,,r0002|r0005|r0021,0,,0,,0,,0,
20010,3,cloud_0,1,4,1,8,0,,,,,r0000|r0001|r0006|r0009,0,,0,,0,,0,
20010,4,cloud_0,1,3,1,1,0,,,,,r0011|r0012|r0013,0,,0,,0,,0,
20011,0,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20011,1,cloud_0,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20011,2,cloud_0,1,3,1,4,1,0.06785597283999671,0.36990203006900213,0.37181125437536006,r0000|r0013|r0019,r0000|r0013|r0021,0,,0,,0,,1,0.37181125437536006
20011,3,cloud_0,1,5,1,1,0,,,,,r0008|r0011|r0015|r0019|r0023,0,,0,,0,,0,
20011,4,cloud_0,1,2,1,1,0,,,,,r0005|r0009,0,,0,,0,,0,
20012,0,edge_0,1,1,1,1,0,,,,,r0021,0,,0,,0,,0,
20012,1,edge_0,1,3,1,1,0,,,,,r0003|r0007|r0015,0,,0,,0,,0,
20012,2,edge_0,1,5,1,16,3,0.18204492968495678,1.4647908350984187,0.004981741361732302,r0002|r0009|r0011|r0013|r0022,r0002|r0005|r0009|r0010|r0011,0,,0,,0,,0,
20012,3,edge_0,1,3,1,1,0,,,,,r0013|r0014|r0022,0,,0,,0,,0,
20013,0,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20013,1,cloud_0,1,4,1,11,0,,,,,r0002|r0004|r0011|r0017,0,,0,,0,,0,
20013,2,cloud_0,1,3,1,7,1,0.18293164911386714,1.2342625693253177,0.0016615951458366154,r0007|r0014|r0023,r0010|r0020|r0023,0,,0,,0,,0,
20013,3,cloud_0,1,4,1,1,0,,,,,r0003|r0007|r0014|r0016,0,,0,,0,,0,
20014,0,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20014,1,cloud_0,1,7,1,29,0,,,,,r0000|r0001|r0004|r0008|r0011|r0016|r0022,0,,0,,0,,0,
20014,2,cloud_0,1,4,1,1,0,,,,,r0006|r0012|r0015|r0019,0,,0,,0,,0,
20015,0,cloud_0,1,1,1,1,0,,,,,r0022,0,,0,,0,,0,
20015,1,cloud_0,1,2,1,1,0,,,,,r0001|r0011,0,,0,,0,,0,
20015,2,cloud_0,1,3,1,1,0,,,,,r0013|r0015|r0017,0,,0,,0,,0,
20015,3,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20015,4,cloud_0,1,1,1,1,0,,,,,r0018,0,,0,,0,,0,
20015,5,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20015,6,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20015,7,cloud_0,1,2,1,1,0,,,,,r0008|r0016,0,,0,,0,,0,
20016,0,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20016,1,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20016,2,cloud_0,1,2,1,1,0,,,,,r0007|r0009,0,,0,,0,,0,
20016,3,cloud_0,1,2,1,1,0,,,,,r0002|r0012,0,,0,,0,,0,
20016,4,cloud_0,1,2,1,1,0,,,,,r0004|r0019,0,,0,,0,,0,
20016,5,cloud_0,1,2,1,4,0,,,,,r0022|r0023,0,,0,,0,,0,
20016,6,cloud_0,1,2,1,1,0,,,,,r0017|r0020,0,,0,,0,,0,
20017,0,cloud_0,1,1,1,1,0,,,,,r0013,0,,0,,0,,0,
20017,1,cloud_0,1,1,1,1,0,,,,,r0011,0,,0,,0,,0,
20017,2,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20017,3,cloud_0,1,1,1,1,0,,,,,r0020,0,,0,,0,,0,
20017,4,cloud_0,1,2,1,4,0,,,,,r0010|r0014,0,,0,,0,,0,
20017,5,cloud_0,1,2,1,1,0,,,,,r0012|r0017,0,,0,,0,,0,
20017,6,cloud_0,1,2,1,1,0,,,,,r0001|r0023,0,,0,,0,,0,
20017,7,cloud_0,1,2,1,1,0,,,,,r0003|r0004,0,,0,,0,,0,
20018,0,cloud_0,1,1,1,1,0,,,,,r0016,0,,0,,0,,0,
20018,1,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20018,2,cloud_0,1,1,1,1,0,,,,,r0011,0,,0,,0,,0,
20018,3,cloud_0,1,1,1,1,0,,,,,r0012,0,,0,,0,,0,
20018,4,cloud_0,1,1,1,1,0,,,,,r0017,0,,0,,0,,0,
20018,5,cloud_0,1,3,1,5,0,,,,,r0020|r0021|r0022,0,,0,,0,,0,
20018,6,cloud_0,1,4,1,1,0,,,,,r0002|r0006|r0010|r0014,0,,0,,0,,0,
20019,0,cloud_0,1,1,1,1,0,,,,,r0020,0,,0,,0,,0,
20019,1,cloud_0,1,3,1,1,0,,,,,r0007|r0011|r0018,0,,0,,0,,0,
20019,2,cloud_0,1,1,1,1,0,,,,,r0016,0,,0,,0,,0,
20019,3,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
