episode_seed,remaining_tokens,generated_tokens,batch_size,new_anchor,planner_ms,mapping_found
20007,71,108,1,edge_3,60.261628,1
20007,48,131,1,edge_5,58.768765,1
20007,71,81,2,edge_5,59.856203,1
20007,81,71,2,edge_5,59.201369,1
20007,68,328,1,edge_3,59.58523,1
20007,87,39,1,edge_4,60.068208,1
20007,93,33,1,edge_1,59.424876,1
20007,373,18,2,edge_5,59.964833,1
20007,372,19,2,edge_1,60.248163,1
20007,28,363,2,edge_2,59.270611,1
20007,83,308,2,edge_2,59.536685,1
20007,211,207,2,edge_4,59.437902,1
20007,215,203,2,edge_2,59.525272,1
20008,11,32,1,edge_4,61.079896,1
20008,26,78,2,edge_5,61.089263,1
20008,109,0,4,edge_1,62.179881,1
20008,62,47,4,edge_3,61.077325,1
20008,60,49,4,edge_0,60.901835,1
20008,8,7,4,edge_3,60.789453,1
20008,6,9,4,edge_3,60.816535,1
20008,49,57,4,edge_3,61.057202,1
20008,63,0,4,edge_1,60.850771,1
20008,9,0,4,edge_5,60.595695,1
20008,134,0,4,edge_4,60.984855,1
20008,6,0,4,edge_2,60.786719,1
20008,16,0,4,edge_4,60.925483,1
20009,163,248,1,edge_2,63.284641,1
20009,183,228,1,edge_2,62.981131,1
20009,115,37,3,edge_5,63.287078,1
20009,339,74,4,edge_0,63.551909,1
20009,91,322,4,edge_5,63.170878,1
20009,28,385,4,edge_1,63.059021,1
20009,33,62,4,edge_0,63.124036,1
20009,84,98,2,edge_5,62.91232,1
20009,152,259,2,edge_5,64.22892,1
20009,145,266,2,edge_5,63.098061,1
20010,529,122,3,edge_5,63.525834,1
20010,542,109,3,edge_4,62.828766,1
20010,132,519,3,edge_3,62.687171,1
20010,141,510,3,edge_3,62.613449,1
20010,92,309,3,edge_5,63.245243,1
20010,321,84,3,edge_5,63.07494,1
20010,308,97,3,edge_5,63.259538,1
20010,177,228,3,edge_3,62.644127,1
20010,177,228,3,edge_3,62.887159,1
20010,373,0,4,edge_2,63.802906,1
20010,182,191,4,edge_0,63.285523,1
20010,206,167,4,edge_0,63.060565,1
20010,279,158,4,edge_2,63.366408,1
20010,268,169,4,edge_2,63.042705,1
20010,100,337,4,edge_1,62.921176,1
20010,76,361,4,edge_1,62.877482,1
20010,217,210,4,edge_1,63.332023,1
20010,397,14,3,edge_1,63.517607,1
20010,61,350,3,edge_2,63.07223,1
20010,28,383,3,edge_2,62.833129,1
20010,422,0,3,edge_0,63.760964,1
20010,171,251,3,edge_3,63.48483,1
20010,111,311,3,edge_3,63.50574,1
20011,312,105,1,edge_4,60.78614,1
20011,132,285,1,edge_0,60.507032,1
20011,153,264,1,edge_1,60.478228,1
20011,451,0,4,edge_3,61.157982,1
20011,67,384,4,edge_0,60.959957,1
