episode_seed,remaining_tokens,generated_tokens,batch_size,new_anchor,planner_ms,mapping_found
20007,71,108,1,edge_3,374.746442,1
20007,48,131,1,edge_5,372.61899,1
20007,71,81,2,edge_5,375.779125,1
20007,81,71,2,edge_5,373.37151,1
20007,68,328,1,edge_3,373.443276,1
20007,87,39,1,edge_4,375.788025,1
20007,93,33,1,edge_1,393.893498,1
20007,373,18,2,edge_5,375.074342,1
20007,372,19,2,edge_1,392.369252,1
20007,28,363,2,edge_2,387.368517,1
20007,83,308,2,edge_2,388.014755,1
20007,211,207,2,edge_4,377.904062,1
20007,215,203,2,edge_2,388.720892,1
20008,11,32,1,edge_4,386.847139,1
20008,26,78,2,edge_5,383.616972,1
20008,109,0,4,edge_1,407.914403,1
20008,62,47,4,edge_3,393.882152,1
20008,60,49,4,edge_0,403.417507,1
20008,8,7,4,edge_3,394.68607,1
20008,6,9,4,edge_3,391.76444,1
20008,49,57,4,edge_3,392.907938,1
20008,63,0,4,edge_1,404.221467,1
20008,9,0,4,edge_5,383.774014,1
20008,134,0,4,edge_4,386.59856,1
20008,6,0,4,edge_2,401.475516,1
20008,16,0,4,edge_4,388.162837,1
20009,163,248,1,edge_2,427.15846,1
20009,183,228,1,edge_2,425.101415,1
20009,115,37,3,edge_5,428.620108,1
20009,339,74,4,edge_0,435.222276,1
20009,91,322,4,edge_5,427.724808,1
20009,28,385,4,edge_1,429.720372,1
20009,33,62,4,edge_0,436.951451,1
20009,84,98,2,edge_5,426.958923,1
20009,152,259,2,edge_5,430.547528,1
20009,145,266,2,edge_5,430.57759,1
20010,529,122,3,edge_5,424.800856,1
20010,542,109,3,edge_4,418.143416,1
20010,132,519,3,edge_3,418.827271,1
20010,141,510,3,edge_3,418.011852,1
20010,92,309,3,edge_5,425.087124,1
20010,321,84,3,edge_5,425.768674,1
20010,308,97,3,edge_5,426.627997,1
20010,177,228,3,edge_3,417.287584,1
20010,177,228,3,edge_3,417.504826,1
20010,373,0,4,edge_2,432.881802,1
20010,182,191,4,edge_0,429.68546,1
20010,206,167,4,edge_0,429.037742,1
20010,279,158,4,edge_2,431.095655,1
20010,268,169,4,edge_2,428.276917,1
20010,100,337,4,edge_1,433.324589,1
20010,76,361,4,edge_1,433.693481,1
20010,217,210,4,edge_1,433.301979,1
20010,397,14,3,edge_1,431.854564,1
20010,61,350,3,edge_2,430.196808,1
20010,28,383,3,edge_2,431.456444,1
20010,422,0,3,edge_0,431.837122,1
20010,171,251,3,edge_3,419.133529,1
20010,111,311,3,edge_3,419.077959,1
20011,312,105,1,edge_4,409.045678,1
20011,132,285,1,edge_0,422.815225,1
20011,153,264,1,edge_1,413.176817,1
20011,451,0,4,edge_3,418.467727,1
20011,67,384,4,edge_0,421.419316,1
20011,58,393,4,edge_0,420.717111,1
20011,103,81,4,edge_5,411.51418,1
20011,408,12,4,edge_1,413.041458,1
20011,406,14,4,edge_1,413.776446,1
20011,81,339,4,edge_3,420.412497,1
20011,29,391,4,edge_3,419.682924,1
20011,53,344,4,edge_1,412.04571,1
20011,55,0,4,edge_1,416.179215,1
20011,24,0,4,edge_2,414.275357,1
20011,255,186,2,edge_1,415.026763,1
20011,226,215,2,edge_1,412.856545,1
20012,11,0,3,edge_1,282.45503,1
20012,419,0,3,edge_2,279.932764,1
20012,125,294,3,edge_5,414.408,1
20012,132,287,3,edge_5,413.4941,1
20012,45,0,4,edge_1,279.876948,1
20012,1,99,4,edge_5,281.004335,1
20012,10,8,4,edge_3,272.306246,1
20012,72,0,4,edge_3,277.517383,1
20012,21,51,4,edge_4,275.713498,1
20012,16,56,4,edge_4,274.220203,1
20012,368,27,4,edge_3,277.528325,1
20012,15,380,4,edge_1,413.479244,1
20012,31,364,4,edge_5,413.706556,1
20012,13,0,4,edge_4,276.776924,1
20013,311,151,1,edge_2,455.59121,1
20013,322,140,1,edge_3,451.639126,1
20013,190,27,4,edge_0,467.963846,1
20013,185,32,4,edge_0,466.502375,1
20013,60,92,4,edge_2,455.476722,1
20013,124,38,3,edge_1,467.524386,1
20013,129,33,3,edge_1,465.821064,1
20013,30,34,4,edge_4,449.752115,1
20013,24,40,4,edge_4,447.281678,1
20013,387,11,4,edge_3,451.280704,1
20013,58,340,4,edge_0,467.567661,1
20013,51,347,4,edge_0,465.35671,1
20013,33,0,4,edge_4,449.37153,1
20014,293,136,1,edge_4,276.08013,1
20014,80,24,5,edge_0,282.69791,1
20014,83,7,5,edge_1,282.487986,1
20014,57,54,5,edge_5,280.3557,1
20014,49,62,5,edge_4,280.681846,1
20014,76,78,4,edge_5,362.039924,1
20014,318,71,4,edge_4,278.893622,1
20014,152,0,4,edge_2,285.876934,1
20014,178,112,4,edge_0,281.343668,1
20014,392,20,2,edge_2,282.019463,1
20014,395,17,2,edge_3,277.549824,1
20014,256,156,2,edge_1,458.303133,1
20014,241,171,2,edge_1,462.128779,1
20014,74,0,2,edge_4,278.084278,1
20015,325,93,2,edge_1,425.177737,1
20015,105,313,2,edge_0,420.851993,1
20015,99,319,2,edge_0,423.272219,1
20015,5,10,3,edge_5,416.261143,1
20015,43,401,1,edge_4,417.834617,1
20015,71,373,1,edge_5,416.052087,1
20015,349,171,2,edge_3,416.038048,1
20015,141,379,2,edge_5,418.007347,1
20015,117,403,2,edge_5,420.542295,1
20015,41,33,2,edge_2,420.959792,1
20015,38,36,2,edge_2,422.481822,1
20016,195,51,2,edge_4,440.675569,1
20016,197,49,2,edge_4,439.647819,1
20016,435,0,2,edge_2,447.747515,1
20016,113,322,2,edge_3,438.049712,1
20016,62,373,2,edge_3,439.078066,1
20016,282,96,3,edge_0,452.322082,1
20016,278,100,3,edge_0,452.06105,1
20016,19,359,3,edge_3,439.276189,1
20016,87,306,3,edge_3,437.1158,1
20016,91,0,2,edge_1,453.535725,1
20017,201,213,1,edge_2,441.652913,1
20017,190,224,1,edge_3,431.750012,1
20017,195,22,2,edge_4,432.048503,1
20017,40,177,2,edge_1,445.427409,1
20017,38,179,2,edge_1,446.053346,1
20017,367,28,2,edge_2,444.520884,1
20017,369,26,2,edge_2,443.5078,1
20017,51,344,2,edge_1,447.022727,1
20017,170,203,3,edge_2,445.288912,1
20017,201,172,3,edge_2,446.921652,1
20017,332,82,3,edge_0,440.868145,1
20017,337,77,3,edge_3,433.679368,1
20017,72,342,3,edge_1,445.39816,1
20017,105,309,3,edge_1,444.352856,1
20017,144,279,3,edge_1,448.764823,1
20017,133,290,3,edge_1,448.798454,1
20017,98,0,1,edge_1,444.331111,1
20018,124,253,1,edge_1,387.688659,1
20018,108,269,1,edge_1,385.484143,1
20018,132,0,3,edge_2,369.469463,1
20018,265,131,4,edge_2,374.115741,1
20018,233,163,4,edge_1,389.031781,1
20018,49,347,4,edge_4,372.308845,1
20018,75,321,4,edge_4,375.674308,1
20018,210,0,4,edge_1,383.749389,1
20018,395,16,4,edge_4,374.573808,1
20018,395,16,4,edge_4,374.899488,1
