episode_seed,request_id,handover_events,replan_events,replanned_blocks,reactive_migration_ms,reactive_migration_mb,full_overlap_headroom_ms,completion_ms
20007,r0004,1,1,0,0.0,0.0,0.0,4726.6037893641915
20007,r0000,1,0,0,0.0,0.0,0.0,8265.299048627065
20007,r0007,0,0,0,0.0,0.0,0.0,6288.89363281739
20007,r0019,1,1,0,0.0,0.0,0.0,16770.217867272066
20007,r0002,1,1,0,0.0,0.0,0.0,19642.603825863192
20007,r0015,0,0,0,0.0,0.0,0.0,23242.70916234229
20007,r0006,0,0,0,0.0,0.0,0.0,25057.580747725915
20007,r0005,0,0,0,0.0,0.0,0.0,43498.603874511384
20007,r0023,0,0,0,0.0,0.0,0.0,45660.55814145572
20007,r0011,0,0,0,0.0,0.0,0.0,47020.47523537526
20007,r0021,2,0,0,0.0,0.0,0.0,56514.22710568161
20007,r0012,1,1,0,0.0,0.0,0.0,56574.43871553282
20008,r0012,0,0,0,0.0,0.0,0.0,1605.9496482697746
20008,r0007,1,1,0,0.0,0.0,0.0,6060.166947932263
20008,r0008,0,0,0,0.0,0.0,0.0,7398.296410242683
20008,r0000,1,1,2,144.23176426941032,5.73046875,144.23176426941032,12724.561477441537
20008,r0005,2,1,2,353.95042815518934,16.62890625,353.95042815518934,21173.297217503405
20008,r0023,1,0,0,0.0,0.0,0.0,16631.354277887334
20008,r0014,1,1,23,590.1584348385935,30.99609375,590.1584348385935,20283.223692022828
20008,r0013,1,1,23,943.7657137821908,50.1328125,943.7657137821908,18148.721515804646
20008,r0003,0,0,0,0.0,0.0,0.0,25554.059242152853
20008,r0021,1,1,23,1058.3145506230746,56.33203125,1058.3145506230746,28955.279886481945
20008,r0017,1,1,0,0.0,0.0,0.0,25378.623772020794
20008,r0004,1,0,0,0.0,0.0,0.0,25947.114694733755
20009,r0005,1,0,0,0.0,0.0,0.0,9527.718510557135
20009,r0007,1,1,0,0.0,0.0,0.0,12794.901810671437
20009,r0011,0,0,0,0.0,0.0,0.0,11673.844634136429
20009,r0000,0,0,0,0.0,0.0,0.0,10458.154229286954
20009,r0017,2,1,0,0.0,0.0,0.0,23930.876289853124
20009,r0020,1,1,0,0.0,0.0,0.0,16540.06438531636
20009,r0003,0,0,0,0.0,0.0,0.0,14933.743400736988
20009,r0019,1,1,0,0.0,0.0,0.0,14585.968661232308
20009,r0014,0,0,0,0.0,0.0,0.0,24507.048204840707
20009,r0015,1,1,0,0.0,0.0,0.0,27679.614583991846
20009,r0008,1,0,0,0.0,0.0,0.0,37741.71672788972
20009,r0021,0,0,0,0.0,0.0,0.0,29264.20422309858
20010,r0020,0,0,0,0.0,0.0,0.0,2323.045705585192
20010,r0017,0,0,0,0.0,0.0,0.0,6746.989711537868
20010,r0005,2,1,0,0.0,0.0,0.0,22557.374584841506
20010,r0021,1,1,0,0.0,0.0,0.0,17433.599305641652
20010,r0002,2,0,0,0.0,0.0,0.0,17605.570280513544
20010,r0000,0,0,0,0.0,0.0,0.0,25691.703007890505
20010,r0001,2,0,0,0.0,0.0,0.0,32970.31924736972
20010,r0006,2,0,0,0.0,0.0,0.0,34766.44800332542
20010,r0009,1,1,0,0.0,0.0,0.0,34703.45899231825
20010,r0011,0,0,0,0.0,0.0,0.0,36956.63658776153
20010,r0012,2,1,0,0.0,0.0,0.0,47322.26689709177
20010,r0013,2,0,0,0.0,0.0,0.0,46555.95530397339
20011,r0006,0,0,0,0.0,0.0,0.0,2756.778601900403
20011,r0004,2,1,0,0.0,0.0,0.0,13114.61406520076
20011,r0021,2,0,0,0.0,0.0,0.0,24585.501772958847
20011,r0000,1,1,0,0.0,0.0,0.0,19120.67296542384
20011,r0013,2,0,0,0.0,0.0,0.0,25004.96063949705
20011,r0008,1,1,0,0.0,0.0,0.0,24113.948232479317
20011,r0019,0,0,0,0.0,0.0,0.0,29976.06136768642
20011,r0011,0,0,0,0.0,0.0,0.0,27804.68610460623
20011,r0015,1,0,0,0.0,0.0,0.0,29049.0377793819
20011,r0023,1,0,0,0.0,0.0,0.0,28243.948888931707
20011,r0005,1,0,0,0.0,0.0,0.0,41157.4036981941
20011,r0009,0,0,0,0.0,0.0,0.0,33635.09220419997
20012,r0021,0,0,0,0.0,0.0,0.0,7234.826888763398
20012,r0015,1,1,0,0.0,0.0,0.0,11891.469329085321
20012,r0007,2,1,28,2441.52144598175,174.5625,2441.52144598175,18627.637272274456
20012,r0003,0,0,0,0.0,0.0,0.0,11510.313745832753
20012,r0009,1,1,26,831.1533511650618,57.5859375,831.1533511650618,21079.021382149844
20012,r0005,1,0,0,0.0,0.0,0.0,26569.319206235057
20012,r0002,1,1,2,46.17587731608182,3.7734375,46.17587731608182,20763.917042333003
20012,r0011,0,0,0,0.0,0.0,0.0,20654.125279794174
20012,r0013,2,1,15,2861.752436494024,170.33203125,2861.752436494024,35704.591539645975
20012,r0014,2,1,28,2861.4857911473096,205.5703125,2861.4857911473096,40657.28293833044
20012,r0022,0,0,0,0.0,0.0,0.0,31748.557031345536
20012,r0010,1,1,15,344.6169358360565,15.46875,344.6169358360565,31652.046076351435
20013,r0006,1,1,0,0.0,0.0,0.0,13185.653289197428
20013,r0002,1,0,0,0.0,0.0,0.0,19836.405554531182
20013,r0017,1,1,0,0.0,0.0,0.0,17840.74552810741
20013,r0011,0,0,0,0.0,0.0,0.0,16381.832774829913
20013,r0004,0,0,0,0.0,0.0,0.0,15440.52480546257
20013,r0020,0,0,0,0.0,0.0,0.0,22660.274462305555
20013,r0023,1,0,0,0.0,0.0,0.0,24887.833561816115
20013,r0010,0,0,0,0.0,0.0,0.0,24072.09958761139
20013,r0003,0,0,0,0.0,0.0,0.0,27391.34401546175
20013,r0016,1,0,0,0.0,0.0,0.0,29159.157237113206
20013,r0014,2,1,0,0.0,0.0,0.0,38431.46193318199
20013,r0007,1,0,0,0.0,0.0,0.0,28217.0623879252
20014,r0023,1,1,14,1414.3122218779329,98.9296875,1414.3122218779329,15894.548252448229
20014,r0016,0,0,0,0.0,0.0,0.0,18253.916940234278
20014,r0004,1,1,0,0.0,0.0,0.0,22149.503498234684
20014,r0011,1,1,14,497.01850250088285,33.71484375,497.01850250088285,20445.925114652215
20014,r0008,1,1,14,480.864902411224,32.56640625,480.864902411224,20062.87262483908
20014,r0001,1,1,14,523.5565597910365,35.6015625,523.5565597910365,21557.403036291762
20014,r0000,1,1,14,370.0973589392784,24.69140625,370.0973589392784,24252.031580785366
20014,r0019,1,1,14,829.3211329167198,57.33984375,829.3211329167198,31050.28408848657
20014,r0012,1,1,14,1223.930506535526,85.39453125,1223.930506535526,36094.60935337073
20014,r0022,1,1,14,295.0985013801485,19.359375,295.0985013801485,34547.04256197808
20014,r0015,2,1,14,1388.9279931656122,97.125,1388.9279931656122,48316.84208600947
20014,r0006,1,1,14,1375.082050231619,96.140625,1375.082050231619,41667.359685933516
20015,r0022,0,0,0,0.0,0.0,0.0,2493.9168884550345
20015,r0001,2,1,0,0.0,0.0,0.0,12114.846818309334
20015,r0011,0,0,0,0.0,0.0,0.0,5384.662105740397
20015,r0013,1,1,0,0.0,0.0,0.0,14278.844458885633
20015,r0017,0,0,0,0.0,0.0,0.0,14251.786253679391
20015,r0015,0,0,0,0.0,0.0,0.0,14088.229182442097
