episode_seed,request_id,handover_index,lead_ms,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20007,r0021,0,6564.478605356293,1,1,0,0.0,0.0,0.0,0.0,339,0
20008,r0014,0,56.118259378497896,1,1,1,468.1390216820002,56.118259378497896,412.0207623035023,0.0,0,23
20008,r0021,0,6004.297493183265,1,1,1,128.22098455339923,128.22098455339923,0.0,56.51073174084255,100,2
20009,r0017,0,2351.946338112808,1,1,1,0.0,0.0,0.0,0.0,102,0
20009,r0008,0,8039.11762006384,1,1,0,0.0,0.0,0.0,0.0,370,0
20010,r0005,0,11828.84313431684,1,1,1,0.0,0.0,0.0,0.0,493,0
20010,r0002,0,8125.545207742021,1,1,0,0.0,0.0,0.0,0.0,339,0
20010,r0006,0,4049.488428118595,1,1,0,0.0,0.0,0.0,0.0,166,0
20010,r0009,0,3749.0268206089277,1,1,1,0.0,0.0,0.0,0.0,154,0
20010,r0011,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,8699.13117581186,1,1,1,0.0,0.0,0.0,0.0,326,0
20011,r0021,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20011,r0013,0,7536.560954172521,1,1,0,0.0,0.0,0.0,0.0,328,0
20011,r0011,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0007,0,9282.575967835834,1,1,1,2441.52144598175,2441.52144598175,0.0,378.52419916653497,138,28
20012,r0005,0,3652.735082657575,1,1,1,521.5559184981712,521.5559184981712,0.0,164.60929178073485,54,28
20012,r0013,0,3545.254888971125,1,1,0,0.0,0.0,0.0,0.0,49,0
20012,r0014,0,3337.073575497132,1,1,1,2794.8247839781734,2794.8247839781734,0.0,173.61575057307047,49,28
20013,r0006,0,11225.31167189602,1,1,1,0.0,0.0,0.0,0.0,415,0
20013,r0014,0,2493.6616460203004,1,1,1,0.0,0.0,0.0,0.0,86,0
20014,r0004,0,1687.3156159173304,1,1,1,530.4795312580331,530.4795312580331,0.0,57.40981434659851,30,14
20014,r0008,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0001,0,4860.693839235217,1,1,1,480.864902411224,480.864902411224,0.0,124.33187186089903,88,14
20014,r0022,0,673.4206024894083,1,1,1,231.6379295993464,231.6379295993464,0.0,36.64089994560871,12,14
20014,r0015,0,6281.010816729853,1,1,1,1388.9279931656122,1388.9279931656122,0.0,155.48524346238372,115,14
20014,r0012,0,3910.3342896318427,1,1,1,1190.4694777783761,1190.4694777783761,0.0,111.63975750473858,77,14
20014,r0006,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20015,r0008,0,2036.9974156492462,1,1,1,0.0,0.0,0.0,0.0,110,0
20016,r0002,0,7538.808808149839,1,1,0,0.0,0.0,0.0,0.0,433,0
20016,r0019,0,6264.84844518729,1,1,1,0.0,0.0,0.0,0.0,360,0
20016,r0004,0,5682.33734823524,1,1,1,0.0,0.0,0.0,0.0,327,0
20017,r0012,0,2960.4004808751706,1,1,0,0.0,0.0,0.0,0.0,160,0
20017,r0023,0,6743.568846340506,1,1,1,0.0,0.0,0.0,0.0,364,0
20018,r0010,0,6020.8371952449415,1,1,0,0.0,0.0,0.0,0.0,275,0
20018,r0006,0,6685.7589829452845,1,1,1,0.0,0.0,0.0,0.0,306,0
20019,r0023,0,7561.036961183232,1,1,1,0.0,0.0,0.0,0.0,267,0
20019,r0022,0,10311.123449475668,1,1,0,0.0,0.0,0.0,0.0,355,0
20019,r0009,0,11961.63006825215,1,1,1,0.0,0.0,0.0,0.0,411,0
20020,r0008,0,7147.137461295538,1,1,0,0.0,0.0,0.0,0.0,370,0
20020,r0013,0,440.8297254994104,1,1,0,0.0,0.0,0.0,0.0,21,0
20021,r0021,0,3258.188507109604,1,1,1,0.0,0.0,0.0,0.0,146,0
20021,r0022,0,10622.95118277239,1,1,0,0.0,0.0,0.0,0.0,456,0
20021,r0000,0,585.831630720706,1,1,1,3043.2730015689017,585.831630720706,2457.4413708481957,140.51030201704305,25,28
20022,r0002,0,5046.402323563107,1,1,1,391.6609862141797,391.6609862141797,0.0,152.3197141466527,70,21
20022,r0006,0,5098.0300344980715,1,1,1,416.09376938239876,416.09376938239876,0.0,40.10861651526902,70,2
20023,r0017,0,20985.716575841736,1,1,1,918.4079438255627,918.4079438255627,0.0,297.78702555471733,334,8
20023,r0020,0,218.8903572348172,1,1,1,75.54876569645705,75.54876569645705,0.0,25.126819082522605,3,8
20023,r0003,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0023,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0000,0,4642.529632093152,1,1,1,0.0,0.0,0.0,0.0,70,0
20023,r0015,0,8994.904474233183,1,1,1,1803.234300170404,1803.234300170404,0.0,262.4169611108761,133,15
20023,r0005,0,8470.597101468957,1,1,1,1896.7839243275894,1896.7839243275894,0.0,260.5826547548529,132,15
20024,r0014,0,12567.14605671219,1,1,1,0.0,0.0,0.0,0.0,394,0
20024,r0012,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20024,r0009,0,9650.26806648929,1,1,1,0.0,0.0,0.0,0.0,290,0
20024,r0010,0,158.0588660473586,1,1,0,0.0,0.0,0.0,0.0,4,0
20025,r0012,0,3963.803719222986,1,1,1,174.57829044843353,174.57829044843353,0.0,31.497251909513594,45,2
20025,r0020,0,3131.4041215458237,1,1,1,2048.0524089267997,2048.0524089267997,0.0,145.10592984437062,36,23
20025,r0003,0,6312.230027429949,1,1,0,0.0,0.0,0.0,0.0,69,0
20026,r0019,0,10999.571961370235,1,1,1,0.0,0.0,0.0,0.0,539,0
20027,r0017,0,11579.81726323856,1,1,0,0.0,0.0,0.0,0.0,362,0
20027,r0011,0,10566.491777863685,1,1,1,0.0,0.0,0.0,0.0,288,0
20027,r0001,0,9408.54531670523,1,1,0,0.0,0.0,0.0,0.0,285,0
20027,r0014,0,9932.954225578422,1,1,0,0.0,0.0,0.0,0.0,300,0
20028,r0000,0,7985.3995973614055,1,1,1,0.0,0.0,0.0,0.0,357,0
20028,r0010,0,3264.419535201152,1,1,0,0.0,0.0,0.0,0.0,150,0
20029,r0000,0,5896.822923294593,1,1,1,0.0,0.0,0.0,0.0,146,0
20029,r0005,0,6399.580720132806,1,1,1,1788.5137809990615,1788.5137809990615,0.0,292.87733606084083,151,19
20029,r0016,0,2292.528423279091,1,1,1,1941.9576143830534,1941.9576143830534,0.0,118.26883600319476,52,19
20029,r0016,1,9502.466166037608,1,1,0,0.0,0.0,0.0,0.0,378,0
20029,r0014,0,10539.671078598436,1,1,1,1899.6282810357454,1899.6282810357454,0.0,479.8318916781184,257,19
20030,r0007,0,933.6011315534251,1,1,1,0.0,0.0,0.0,0.0,43,0
20030,r0005,0,4485.138657516891,1,1,1,0.0,0.0,0.0,0.0,200,0
20030,r0006,0,8099.405044313888,1,1,1,0.0,0.0,0.0,0.0,365,0
20031,r0017,0,5644.138683562385,1,1,1,0.0,0.0,0.0,0.0,405,0
20032,r0009,0,8335.846109704893,1,1,1,0.0,0.0,0.0,0.0,378,0
20033,r0006,0,15190.81378368874,1,1,1,2077.6249793485954,2077.6249793485954,0.0,556.5530936449774,253,15
20033,r0020,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20033,r0005,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20033,r0000,0,6382.757245582838,1,1,1,2578.6510965426232,2578.6510965426232,0.0,313.3781157921044,97,28
20033,r0021,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20033,r0013,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20033,r0013,1,3183.675969532691,1,1,0,0.0,0.0,0.0,0.0,179,0
20033,r0014,0,9931.284611695748,1,1,1,2770.960709216841,2770.960709216841,0.0,443.70004440250307,151,28
20033,r0022,0,5096.267163424149,1,1,1,178.41085013712558,178.41085013712558,0.0,44.084358843235414,83,4
20033,r0004,0,5218.714632499687,1,1,1,2177.6151969415114,2177.6151969415114,0.0,303.7246395987415,93,28
20034,r0007,0,5694.412725495498,1,1,1,741.7735493856355,741.7735493856355,0.0,141.87151261421948,166,5
20034,r0013,0,2104.160314325447,1,1,1,64.35876429772523,64.35876429772523,0.0,66.63855101291622,67,5
20034,r0005,0,7392.152447172935,1,1,1,727.5545679024926,727.5545679024926,0.0,182.49361104867882,221,5
20035,r0008,0,398.5496553250923,1,1,1,1325.5704946902902,398.5496553250923,927.0208393651978,37.512528139922324,6,18
20035,r0010,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20035,r0018,0,271.4567625216805,1,1,1,764.3842716619854,271.4567625216805,492.9275091403049,31.210927933647206,4,5
20035,r0007,0,7245.55055722945,1,1,1,1280.0803146350863,1280.0803146350863,0.0,170.91198708997527,113,18
20036,r0002,0,8253.573739688327,1,1,1,0.0,0.0,0.0,0.0,363,0
20036,r0015,0,6754.101786865249,1,1,1,0.0,0.0,0.0,0.0,279,0
20036,r0005,0,8548.889071487734,1,1,1,0.0,0.0,0.0,0.0,353,0
20038,r0015,0,21327.108921160303,1,1,1,2152.5793782797723,2152.5793782797723,0.0,624.0458221277603,338,13
20038,r0017,0,565.998174665845,1,1,1,729.099674784256,565.998174665845,163.10150011841097,37.72291982381121,8,13
20038,r0002,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20038,r0002,1,9615.54678888547,1,1,0,0.0,0.0,0.0,0.0,329,0
20038,r0018,0,6148.629799955248,1,1,1,1805.9016645133365,1805.9016645133365,0.0,186.3214360590284,88,13
20038,r0010,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20038,r0007,0,1943.2930304290276,1,1,1,2250.629640759168,1943.2930304290276,307.3366103301405,81.26758340253274,28,13
20038,r0023,0,4462.685833484997,1,1,1,2332.9218253400895,2332.9218253400895,0.0,146.0507925407051,65,13
20038,r0005,0,1859.1284528555843,1,1,1,739.6050600499057,739.6050600499057,0.0,81.26758340253274,28,13
20039,r0021,0,2908.038335443911,1,1,1,0.0,0.0,0.0,0.0,140,0
20040,r0011,0,105.54742406068544,1,1,1,0.0,0.0,0.0,0.0,4,0
20041,r0003,0,5717.37332123141,1,1,1,0.0,0.0,0.0,0.0,220,0
20041,r0008,0,6512.194640899237,1,1,1,0.0,0.0,0.0,0.0,256,0
20042,r0018,0,2054.993135545592,1,1,0,0.0,0.0,0.0,0.0,68,0
20042,r0007,0,2494.603229485532,1,1,0,0.0,0.0,0.0,0.0,92,0
20043,r0023,0,2816.993786158542,1,1,1,1649.0356923557306,1649.0356923557306,0.0,101.06877768551502,41,16
20043,r0003,0,8214.014597853406,1,1,1,1548.6757134633299,1548.6757134633299,0.0,211.9365501603794,120,16
20043,r0005,0,7897.094292814123,1,1,1,1577.9473739736136,1577.9473739736136,0.0,217.51210454329055,124,16
20043,r0004,0,5276.003786075387,1,1,1,1568.1901538035188,1568.1901538035188,0.0,157.56754435127954,81,16
20044,r0015,0,10847.915100901477,1,1,1,1595.5580274052063,1595.5580274052063,0.0,210.77369090012385,95,15
20044,r0015,1,8324.70147728462,1,1,0,0.0,0.0,0.0,0.0,271,0
20044,r0000,0,2157.858295193022,1,1,1,397.7326927543927,397.7326927543927,0.0,126.8681977242281,28,17
20044,r0009,0,10109.958642105928,1,1,1,1577.7718544700354,1577.7718544700354,0.0,202.49784064584722,89,15
20044,r0008,0,15879.184427597836,1,1,1,1769.6084339850959,1769.6084339850959,0.0,276.980492934337,143,15
20044,r0004,0,3774.1969261081103,1,1,1,1410.0736525098496,1410.0736525098496,0.0,123.87726323021906,32,15
20044,r0020,0,9478.12906588937,1,1,1,1573.9605316982127,1573.9605316982127,0.0,192.84268201585775,82,15
20046,r0005,0,7843.36068025935,1,1,1,2734.238369793884,2734.238369793884,0.0,208.13050935031808,67,15
20046,r0017,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20046,r0012,0,2916.142944381514,1,1,1,1655.3942795428884,1655.3942795428884,0.0,97.64920126418463,24,9
20046,r0015,0,839.4209890549901,1,1,1,575.2549433512597,575.2549433512597,0.0,59.75831107683229,7,15
20046,r0013,0,10668.608172585664,1,1,1,2780.4328349992998,2780.4328349992998,0.0,259.18754984051526,88,15
20046,r0013,1,7963.286344491637,1,1,0,0.0,0.0,0.0,0.0,280,0
20046,r0022,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20046,r0019,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20047,r0023,0,1283.3492785935523,1,1,0,0.0,0.0,0.0,0.0,57,0
20048,r0004,0,4462.201431852929,1,1,0,0.0,0.0,0.0,0.0,199,0
20049,r0009,0,8598.562938408344,1,1,0,0.0,0.0,0.0,0.0,349,0
20049,r0014,0,1685.562203955018,1,1,0,0.0,0.0,0.0,0.0,63,0
20049,r0007,0,5026.854161771811,1,1,0,0.0,0.0,0.0,0.0,198,0
20049,r0006,0,4526.903804820959,1,1,0,0.0,0.0,0.0,0.0,170,0
