episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56444.26586637169,6788.628312527412,11229.321079116866,0.75,0.21259909781463468,0.159449323360976,1,1,1.0,0.0,99.16122964288661,0.0,99.16122964288661,99.16122964288661,0.0,0.0,0.0,0,0,252,-280.2572504147939,
1,20008,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,33956.89172837227,10312.708866987798,17901.820428683932,0.08333333333333337,0.3533892352689497,0.029449102939079142,2,2,0.0,30.462890625,-4010.686449286659,468.53149404434487,-2005.3432246433294,-2005.3432246433294,234.26574702217243,234.26574702217243,15.2314453125,2,25,140,-171.71655740616194,
2,20009,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,38355.672277116806,10375.225534520921,19926.343849112647,0.33333333333333337,0.3128611568401387,0.10428705228004624,2,2,1.0,0.0,-348.13078155450785,0.0,-174.06539077725392,-174.06539077725392,0.0,0.0,0.0,1,0,140,-163.3238526824938,
3,20010,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47376.387368131924,16699.51370035765,27776.307698493838,0.6666666666666667,0.2532907354618577,0.16886049030790515,6,6,0.6666666666666666,0.0,-378.71533443085355,0.0,-63.11922240514226,-63.11922240514226,0.0,0.0,0.0,3,0,140,-222.2252253529748,
4,20011,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,5,2.4,47277.53054564734,12840.047570627505,21950.35523293016,0.5,0.25382036374369793,0.12691018187184896,3,3,0.6666666666666666,182.4375,-772.8530969792555,2834.588201968792,-257.6176989930852,-257.6176989930852,944.8627339895974,944.8627339895974,60.8125,1,28,140,-222.79873004482815,
5,20012,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,42753.135098872626,15847.760623287795,26973.545261869058,0.08333333333333337,0.28068117045096963,0.0233900975375808,5,5,0.2,441.328125,-35029.8794678566,4002.5723757586056,-7005.97589357132,-7005.97589357132,800.5144751517212,800.5144751517212,88.265625,3,84,112,-244.9940909026193,
6,20013,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,4,3.0,38836.17744683112,14396.498531428568,22111.278178889374,0.16666666666666663,0.3089902454078717,0.05149837423464528,2,2,1.0,0.0,-410.5995829286385,0.0,-205.29979146431924,-205.29979146431924,0.0,0.0,0.0,2,0,112,-180.55906212965027,
7,20014,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,3,4.0,50055.50085487953,26336.623441775093,44984.407065917134,0.16666666666666663,0.23973389128180525,0.039955648546967544,7,7,0.14285714285714285,417.45703125,-33267.93456754144,3998.027654529245,-4752.562081077348,-4752.562081077348,571.1468077898921,571.1468077898921,59.63671875,7,98,84,-286.7881972234637,
8,20015,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,8,1.5,46321.14527205609,7520.254416774587,14864.137267546701,0.5833333333333333,0.2590609521746686,0.1511188887685567,1,1,1.0,0.0,1148.5960255260143,0.0,1148.5960255260143,1148.5960255260143,0.0,0.0,0.0,1,0,224,-215.43361650530653,
9,20016,0.4,full,0.0,driving,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,45085.08977577098,9317.557563841654,16243.742008445643,0.75,0.26616338261011685,0.19962253695758767,3,3,1.0,0.0,132.67903891155947,0.0,44.226346303853155,44.226346303853155,0.0,0.0,0.0,2,0,196,-224.74838759888402,
