method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,0,91001
TMC-Stage1,0.001826643943786621,0.0009132623672485352,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,0,91001
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,1,91002
TMC-Stage1,2.384185791015625e-07,1.1920928955078125e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,1,91002
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,5,-0.17958271503448486,-0.17958271503448486,0.0,8,2,91003
TMC-Stage1,0.04262590408325195,0.0414094477891922,1.0,1,1,0,6,6,0,1,1,0,5,-0.18894746899604797,-0.2717663645744324,-0.0828188955783844,8,2,91003
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.3811379671096802,0.3811379671096802,0.0,8,3,91004
TMC-Stage1,0.04200553894042969,0.03968334197998047,1.0,0,0,0,6,6,0,1,1,0,6,0.15117037296295166,0.07180368900299072,-0.07936668395996094,8,3,91004
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.09328508377075195,-0.09328508377075195,0.0,8,4,91005
TMC-Stage1,0.04335474967956543,0.040229059755802155,1.0,0,0,0,6,6,0,1,1,0,5,-0.13547705113887787,-0.21593517065048218,-0.08045811951160431,8,4,91005
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,5,91006
TMC-Stage1,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,5,91006
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,6,91007
TMC-Stage1,0.002269744873046875,0.0011349916458129883,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,6,91007
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,7,91008
TMC-Stage1,2.384185791015625e-07,8.940696716308594e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,7,91008
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,8,91009
TMC-Stage1,0.001991748809814453,0.001303166151046753,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,8,91009
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.18145334720611572,0.18145334720611572,0.0,8,9,91010
