episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56634.649524532826,6989.167157011895,11621.070064480908,0.75,0.21188442235882252,0.15891331676911688,7,6,1.0,0.0,1641.0663300675724,0.0,234.43804715251034,273.51105501126204,0.0,0.0,0.0,4,0,252,-290.1310040818623,
1,20008,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,29049.447411654462,9389.651742735588,14800.19385516274,0.08333333333333337,0.4130887527721327,0.034424062731011056,10,9,0.1111111111111111,160.08984375,-8203.233562879766,2930.3006297681527,-820.3233562879766,-911.4703958755296,293.03006297681526,325.5889588631281,16.008984375,7,73,140,-177.01769854617385,
2,20009,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,37388.87216881666,9829.674373717467,19179.043741487374,0.33333333333333337,0.32095110935195115,0.10698370311731706,7,6,0.6666666666666666,39.703125,-1243.4349321183854,202.84076992081,-177.63356173119791,-207.23915535306423,28.97725284583,33.80679498680167,5.671875,4,28,140,-169.2525039494354,
3,20010,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47669.81671056246,16727.790963400355,28052.633922993526,0.6666666666666667,0.25173161610544004,0.1678210774036267,14,8,0.75,0.0,1710.0524926947764,0.0,122.14660662105545,213.75656158684706,0.0,0.0,0.0,4,0,140,-227.0736571693669,
4,20011,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,41400.583379247124,11430.114627642432,18677.3455990782,0.6666666666666667,0.2898509880905505,0.19323399206036698,11,8,0.75,0.0,954.1721579042478,0.0,86.7429234458407,119.27151973803097,0.0,0.0,0.0,3,0,140,-216.93350264297706,
5,20012,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38735.515357707394,12173.74675999527,23144.83729734366,0.08333333333333337,0.309793219199091,0.025816101599924247,11,8,0.125,651.15234375,-43136.098596636955,7709.559607999458,-3921.463508785178,-5392.012324579619,700.869055272678,963.6949509999323,59.19566761363637,7,127,112,-244.13754462074178,
6,20013,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38711.3485302633,14183.83188056627,22056.96348980982,0.16666666666666663,0.3099866177645241,0.051664436294087346,9,8,0.25,0.0,611.1251041349569,0.0,67.90278934832855,76.39063801686962,0.0,0.0,0.0,3,0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,46894.71742315926,18571.095032839836,35336.84807378973,0.41666666666666663,0.2558923618563852,0.1066218174401605,12,10,0.5,590.953125,-47639.89827172458,4568.041384661603,-3969.991522643715,-4763.989827172458,380.6701153884669,456.8041384661603,49.24609375,10,140,112,-352.8264476084312,
8,20015,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,46783.919679497936,7897.268361442983,15458.52711667884,0.5833333333333333,0.2564983883823387,0.14962405988969757,7,5,0.6,0.0,986.746214842522,0.0,140.96374497750315,197.3492429685044,0.0,0.0,0.0,3,0,224,-230.2446334653504,
9,20016,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40756.787710550445,10141.30076112396,15934.463470757551,0.75,0.29442948461057533,0.2208221134579315,9,7,0.7142857142857143,0.0,2721.130138862094,0.0,302.3477932068993,388.7328769802992,0.0,0.0,0.0,5,0,196,-217.41474106515605,
10,20017,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,40837.42169746782,9045.3885496957,16855.488794272154,0.5833333333333333,0.29384813000435034,0.17141140916920436,10,7,0.7142857142857143,0.0,2820.339593265233,0.0,282.0339593265233,402.90565618074754,0.0,0.0,0.0,5,0,224,-223.3791996775866,
11,20018,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,34579.13433186127,9257.849156497712,18465.14665705594,0.75,0.3470300871280974,0.26027256534607307,9,6,0.6666666666666666,0.0,929.2348487722265,0.0,103.2483165302474,154.8724747953711,0.0,0.0,0.0,3,0,196,-208.06727752867272,
12,20019,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,6,2.0,46696.03179384199,9899.141524757035,22319.528082413468,0.41666666666666663,0.2569811510532356,0.10707547960551483,9,5,0.6,0.0,1871.5987725924533,0.0,207.95541917693924,374.31975451849064,0.0,0.0,0.0,3,0,168,-238.99395407617004,
