episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,9,1.3333333333333333,56636.92919353282,7002.391381672336,11624.10812395183,0.75,0.21187589388886288,0.15890692041664714,7,6,1.0,0.0,1722.8903620898755,0.0,246.12719458426793,287.1483936816459,0.0,0.0,0.0,4,0,252,-290.1310040818623,
1,20008,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,29261.802651516136,9553.876538971988,15001.471538864736,0.08333333333333337,0.41009093468745156,0.03417424455728763,10,9,0.1111111111111111,159.5390625,-8005.19337957072,3085.215003518323,-800.519337957072,-889.4659310634133,308.5215003518323,342.80166705759143,15.95390625,7,73,140,-179.01769854617385,
2,20009,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,37996.694158772276,10408.719221455829,19907.32264831676,0.33333333333333337,0.31581694843917274,0.1052723161463909,9,8,0.5,82.8515625,-453.39499777692254,1785.5017448475533,-50.377221975213615,-56.67437472211532,198.38908276083924,223.18771810594416,9.205729166666666,6,56,140,-169.2525039494354,
3,20010,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,47738.29536145931,16747.39839012521,28087.649968097954,0.6666666666666667,0.251370517299367,0.16758034486624465,14,8,0.75,0.0,1917.4598015171905,0.0,136.96141439408504,239.6824751896488,0.0,0.0,0.0,4,0,140,-227.0736571693669,
4,20011,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,5,2.4,41466.811937144,11500.104057270735,18744.452082296313,0.6666666666666667,0.2893880537088257,0.19292536913921712,11,8,0.75,0.0,1162.7005208576102,0.0,105.70004735069183,145.33756510720127,0.0,0.0,0.0,3,0,140,-216.93350264297706,
5,20012,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,40792.22380022344,12379.526308289336,24278.032234582475,0.08333333333333337,0.2941737145483662,0.02451447621236385,11,8,0.125,651.15234375,-40684.7056073745,9918.395325790749,-3698.609600670409,-5085.588200921812,901.6723023446135,1239.7994157238436,59.19566761363637,7,127,112,-244.13754462074178,
6,20013,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,38792.285675212435,14200.853349110906,22104.19980068331,0.16666666666666663,0.30933985433263045,0.05155664238877174,9,8,0.25,0.0,767.2792337972423,0.0,85.25324819969359,95.90990422465529,0.0,0.0,0.0,3,0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,4,3.0,48514.70527344533,19735.645452472272,37020.75928163301,0.25,0.24734768421994796,0.06183692105498699,12,11,0.2727272727272727,580.20703125,-46718.13694686194,8388.979101127317,-3893.1780789051613,-4247.103358805631,699.0815917606097,762.634463738847,48.3505859375,11,140,112,-359.51261084543546,
8,20015,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,46780.41783788889,7920.00501310066,15522.987636912932,0.5833333333333333,0.25651758908149025,0.149635260297536,7,5,0.6,0.0,1101.2713716848539,0.0,157.32448166926483,220.25427433697078,0.0,0.0,0.0,4,0,224,-230.2446334653504,
9,20016,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,7,1.7142857142857142,40769.07990451278,10153.449172504845,15943.333875754968,0.75,0.2943407118361704,0.22075553387712776,9,7,0.7142857142857143,0.0,2813.512008270225,0.0,312.61244536335835,401.93028689574646,0.0,0.0,0.0,5,0,196,-217.41474106515605,
10,20017,0.4,full,0.0,high_speed,oracle_replan,0.2,12,0,1.0,8,1.5,40964.25715411214,9116.520083319754,16957.53456769114,0.5833333333333333,0.2929383036253935,0.1708806771148129,10,7,0.7142857142857143,0.0,3049.7421781148387,0.0,304.97421781148387,435.67745401640553,0.0,0.0,0.0,5,0,224,-223.3791996775866,
