weight,category,episodes,avg_delta_ms,p95_delta_ms,slo_delta_pp,goodput_delta_rps,handover_delta,mapping_delta,avg_win_rate,p95_win_rate
0.3,unchanged_structure,4,-1274.6138061347533,-1684.4960487697517,2.0833333333333313,0.027135257532309623,-0.5,0.0,0.75,0.5
0.3,same_batch_more_mapping,0,,,,,,,,
0.3,smaller_batch,1,118.76266879715877,-196.5956417670859,0.0,-0.004037909534568507,-1.0,28.0,0.0,1.0
0.3,larger_batch,1,-158.41572439679476,241.19915207325903,0.0,0.012717358685714414,-1.0,-28.0,1.0,0.0
0.6,unchanged_structure,6,-673.9986217582767,-127.27811392994833,0.0,0.005656785687687534,-0.16666666666666666,0.0,0.5,0.3333333333333333
0.6,same_batch_more_mapping,0,,,,,,,,
0.6,smaller_batch,10,1277.1164567153348,5450.808992443558,0.8333333333333349,-0.0047485789273209915,-1.7,30.8,0.1,0.2
0.6,larger_batch,2,222.02710759042202,-5643.3266144728,12.499999999999996,0.06388373252710745,-2.0,-28.0,0.5,0.5
1.0,unchanged_structure,10,-258.8574344511376,-582.5200967066876,0.8333333333333326,0.012827720262032799,-0.4,0.0,0.4,0.4
1.0,same_batch_more_mapping,0,,,,,,,,
1.0,smaller_batch,15,1116.381374594138,4804.753423642585,0.5555555555555566,-0.0059255389768861815,-1.3333333333333333,29.866666666666667,0.2,0.0
1.0,larger_batch,1,864.1625692572088,630.6071553191905,8.333333333333325,0.023874890054484205,-1.0,-28.0,0.0,0.0
2.0,unchanged_structure,14,506.8888749122831,1636.7897994749073,-1.1904761904761894,0.00046921340024773877,-1.0714285714285714,0.0,0.21428571428571427,0.07142857142857142
2.0,same_batch_more_mapping,0,,,,,,,,
2.0,smaller_batch,25,1520.2842729289864,5980.2423912495615,-1.3333333333333321,-0.010419382878828909,-0.8,32.48,0.12,0.12
2.0,larger_batch,1,864.1625692572088,630.6071553191905,8.333333333333325,0.023874890054484205,-1.0,-28.0,0.0,0.0
