mobility_mode,metric,episodes,mean_delta,ci95_low,ci95_high,changed_episode_rate,improvement_among_changed
stationary,avg_e2e_ms,100,0.0,0.0,0.0,0.0,
stationary,p95_e2e_ms,100,0.0,0.0,0.0,0.0,
stationary,slo_satisfaction,100,0.0,0.0,0.0,0.0,
stationary,throughput_rps,100,0.0,0.0,0.0,0.0,
stationary,goodput_rps,100,0.0,0.0,0.0,0.0,
stationary,handover_events,100,0.0,0.0,0.0,0.0,
stationary,handover_overhead_ms,100,0.0,0.0,0.0,0.0,
stationary,mean_batch_size,100,0.0,0.0,0.0,0.0,
stationary,mapping_steps,100,0.0,0.0,0.0,0.0,
walking,avg_e2e_ms,100,0.0,0.0,0.0,0.0,
walking,p95_e2e_ms,100,0.0,0.0,0.0,0.0,
walking,slo_satisfaction,100,0.0,0.0,0.0,0.0,
walking,throughput_rps,100,0.0,0.0,0.0,0.0,
walking,goodput_rps,100,0.0,0.0,0.0,0.0,
walking,handover_events,100,0.0,0.0,0.0,0.0,
walking,handover_overhead_ms,100,0.0,0.0,0.0,0.0,
walking,mean_batch_size,100,0.0,0.0,0.0,0.0,
walking,mapping_steps,100,0.0,0.0,0.0,0.0,
driving,avg_e2e_ms,100,7.747757183885806,-7.625473956553591,23.120988324325204,0.01,0.0
driving,p95_e2e_ms,100,46.388606877366364,-45.65645324557628,138.43366700030901,0.01,0.0
driving,slo_satisfaction,100,0.0,0.0,0.0,0.0,
driving,throughput_rps,100,-3.6005761721033815e-05,-0.00010744900447989155,3.543748103782392e-05,0.01,0.0
driving,goodput_rps,100,-2.4003841147355877e-05,-7.163266965326105e-05,2.3624987358549293e-05,0.01,0.0
driving,handover_events,100,0.0,0.0,0.0,0.0,
driving,handover_overhead_ms,100,-0.008750975779603891,-0.026114810263735834,0.00861285870452805,0.01,1.0
driving,mean_batch_size,100,-0.003999999999999999,-0.011936867806034722,0.003936867806034724,0.01,0.0
driving,mapping_steps,100,0.28,-0.2755807464224309,0.835580746422431,0.01,1.0
high_speed,avg_e2e_ms,100,-51.38108280138649,-130.29844904155627,27.536283438783293,0.06,0.6666666666666666
high_speed,p95_e2e_ms,100,-66.93380684772833,-251.04801741815848,117.18040372270181,0.06,0.5
high_speed,slo_satisfaction,100,0.0008333333333333326,-0.0008201807929239017,0.002486847459590567,0.01,1.0
high_speed,throughput_rps,100,0.0016770332078174077,-0.00016969929335606572,0.003523765708990881,0.06,0.8333333333333334
high_speed,goodput_rps,100,0.0011722047928038439,-0.0003469595081621044,0.002691369093769792,0.06,0.8333333333333334
high_speed,handover_events,100,-0.04,-0.09583796595844823,0.01583796595844824,0.05,0.8
high_speed,handover_overhead_ms,100,-0.5351688034643761,-1.220260559511006,0.14992295258225374,0.06,0.6666666666666666
high_speed,mean_batch_size,100,-0.0020000000000000018,-0.01637494293981133,0.012374942939811324,0.02,0.5
high_speed,mapping_steps,100,0.0,-0.7896680875376473,0.7896680875376473,0.02,0.5
