episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,9,1.3333333333333333,56444.26586637169,6780.364876723838,11174.782402813278,0.75,0.21259909781463468,0.159449323360976,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252,-270.5738124133832,
1,20008,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,5,2.4,34496.87936184564,10646.932737761688,18144.814863746946,0.08333333333333337,0.3478575518129991,0.028988129317749925,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-166.09765277229974,
2,20009,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,5,2.4,38703.803058671314,10538.980402188028,20299.720137393342,0.33333333333333337,0.3100470509786631,0.10334901699288769,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-158.06030924518453,
3,20010,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,5,2.4,47865.64774659892,16937.476185923584,28156.034229654768,0.6666666666666667,0.25070171542497627,0.16713447694998418,2,2,0.0,0.0,1132.4288443286641,0.0,566.2144221643321,566.2144221643321,0.0,0.0,0.0,0,0,140,-214.6669651700747,
4,20011,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,5,2.4,47875.73013301246,13253.401754672095,22548.554820295278,0.5,0.2506489189127888,0.1253244594563944,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,-217.40827026595656,
5,20012,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,4,3.0,77791.5908955526,28208.76830499401,52003.25508090571,0.0,0.15425831843588184,0.0,2,2,0.0,0.0,707.6451957296886,0.0,353.8225978648443,353.8225978648443,0.0,0.0,0.0,0,0,112,-239.92385895397663,
6,20013,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,4,3.0,39062.584680366475,14341.362215744608,22254.979541762827,0.16666666666666663,0.307199334047944,0.05119988900799066,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,-176.45275960995826,
7,20014,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,3,4.0,65694.21103018538,31581.881629271946,59880.39474858471,0.08333333333333337,0.18266449679236121,0.015222041399363435,2,2,0.0,0.0,-259.69037082508294,0.0,-129.84518541254147,-129.84518541254147,0.0,0.0,0.0,0,0,84,-283.6395948884087,
8,20015,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,8,1.5,45172.54924653008,7418.120771055165,14324.052943697046,0.5833333333333333,0.26564805839293604,0.15496136739587935,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,224,-206.04517768918987,
9,20016,0.4,full,0.0,walking,stateful_keep,0.0,12,0,1.0,7,1.7142857142857142,44983.87315889897,9269.849954550577,16171.28010233083,0.75,0.26676226739328895,0.20007170054496673,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-216.49154723408412,
