episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.4,-323.82355315803727,12,0,1.0,3,4.0,76909.5651346908,42130.22089885262,60176.33339237422,0.0,0.15602740672092663,0.0,18,18,,0.99943
2,0.1,-599.3916698009456,12,0,1.0,9,1.3333333333333333,175730.27441986406,20070.612035131497,44492.89499806318,0.16666666666666663,0.06828646936115837,0.011381078226859728,84,102,18.427043914794922,0.99677
3,0.4,-411.37812111881044,12,0,1.0,5,2.4,92028.80881429947,29482.5471584316,67940.67261581242,0.0,0.13039395113995472,0.0,47,149,6.592946350574493,0.9952816666666666
4,0.6,-362.0416524423706,12,0,1.0,4,3.0,112490.55830478706,51816.68209162725,100030.7523991971,0.0,0.10667561954387898,0.0,38,187,0.9291987419128418,0.9940783333333333
5,0.2,-643.9666279683838,12,0,1.0,7,1.7142857142857142,152952.4358279059,37116.89190481029,81496.8583308291,0.08333333333333337,0.07845576263657399,0.006537980219714499,76,263,3.7439615726470947,0.9916716666666666
6,0.2,-622.2277293153447,12,0,1.0,7,1.7142857142857142,168901.2642815077,57447.856814846506,131778.0851483301,0.0,0.07104742555389995,0.0,70,333,0.36855126172304153,0.989455
7,0.4,-453.3381951607099,12,0,1.0,3,4.0,100699.26576576396,59739.97987730096,89384.89914303989,0.0,0.11916670800672109,0.0,27,360,12.323626041412354,0.9886
8,0.6,-390.99795798291575,12,0,1.0,4,3.0,137926.19739354367,80737.21076877262,114142.7133476058,0.0,0.08700305110102108,0.0,38,398,7.97972297668457,0.9873966666666667
9,0.6,-377.3093849309063,12,0,1.0,3,4.0,82287.1957913904,43139.1257555061,72686.7299651464,0.0,0.1458307077375888,0.0,24,422,3.384222090244293,0.9866366666666667
10,0.4,-262.42021885639986,12,0,1.0,3,4.0,50474.85151468597,26535.73060222108,43873.51148534254,0.0,0.23774215554667902,0.0,26,448,2.877296060323715,0.9858133333333333
11,0.2,-499.05147247660676,12,0,1.0,5,2.4,173467.1243691361,68627.92784613027,135348.8217525652,0.08333333333333337,0.06917737319761026,0.005764781099800855,56,504,10.933376550674438,0.98404
12,0.6,-309.81146201096135,12,0,1.0,3,4.0,89588.75574585795,34552.31516695186,71700.62393446578,0.0,0.1339453807578392,0.0,31,535,2.502126395702362,0.9830583333333334
