episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.4,-408.8832496272223,12,0,1.0,5,2.4,100218.26480738069,45799.146367275396,84380.19310104942,0.0,0.11973865266041052,0.0,51,51,,0.998385
2,0.2,-648.2308279333508,12,0,1.0,6,2.0,144385.33774402668,32572.3124596121,67672.44325210553,0.0,0.08311093208975402,0.0,52,103,27.38907241821289,0.9967383333333333
3,0.4,-664.6314389231551,12,0,1.0,5,2.4,149021.2234733957,82197.79922177142,133276.54054945434,0.0,0.08052544275441628,0.0,51,154,13.82777813076973,0.9951233333333334
4,0.6,-437.27985827650537,12,0,1.0,3,4.0,107567.84083611108,60641.788117489545,91302.91046820227,0.0,0.11155750553999721,0.0,37,191,9.31861662864685,0.9939516666666667
5,0.4,-449.86701682012335,12,0,1.0,4,3.0,96841.32632327484,65397.8863245879,90141.77227937634,0.0,0.1239140401685713,0.0,38,229,14.149538040161133,0.9927483333333333
6,0.2,-323.52402155574384,12,0,1.0,6,2.0,107051.45322118416,32654.63491908937,56471.53286128792,0.0,0.11209562914766064,0.0,52,281,24.529816150665283,0.9911016666666667
7,0.4,-733.9020128890905,12,0,1.0,3,4.0,148846.72814014254,97733.24504675363,142706.63862795255,0.0,0.08061984398274263,0.0,32,313,16.135558128356934,0.9900883333333333
8,0.6,-495.97734569008685,12,0,1.0,5,2.4,155763.48777016473,72058.74881253105,125573.06985606127,0.0,0.07703987739223252,0.0,43,356,1.6009771525859833,0.9887266666666666
9,0.2,-711.6042510725872,12,0,1.0,5,2.4,169620.50028698493,73003.741158757,133263.48005406765,0.0,0.07074616558550952,0.0,50,406,12.740529462695122,0.9871433333333334
10,0.2,-832.5594258791307,12,0,1.0,6,2.0,199443.30615016265,71001.07760497498,142797.31779303768,0.0,0.060167474314555804,0.0,61,467,3.8359929025173187,0.9852116666666667
11,0.6,-250.73553567535873,12,0,1.0,4,3.0,69552.92590868757,33036.59172252537,59950.46158149687,0.0,0.17253048442209573,0.0,40,507,10.014792919158936,0.983945
12,0.2,-464.25180442386886,12,0,1.0,4,3.0,117038.11565839678,46437.69016499567,73253.65931761207,0.0,0.1025307006396516,0.0,36,543,0.9802985489368439,0.982805
13,0.6,-301.71745701957155,12,0,1.0,5,2.4,78783.92333414269,28234.435309015535,66045.13134239445,0.0,0.15231533912197978,0.0,54,597,8.199753999710083,0.981095
14,0.4,-482.6777908497856,12,0,1.0,3,4.0,117483.72193895164,72271.19608363484,97036.01708684769,0.0,0.10214180996270776,0.0,30,627,15.563224792480469,0.980145
15,0.4,-416.9889450827381,12,0,1.0,4,3.0,108778.79106666171,45916.41462774535,93342.97603412918,0.0,0.11031562202825156,0.0,42,669,6.426491051912308,0.978815
16,0.6,-470.8468922594113,12,0,1.0,5,2.4,116610.47203338891,45565.74611556148,85919.8242284179,0.0,0.1029067097555703,0.0,59,728,7.409047484397888,0.9769466666666666
17,0.2,-460.0870060658977,12,0,1.0,4,3.0,111619.35727111553,41265.25854971353,62810.45562532347,0.0,0.1075082341753039,0.0,41,769,31.016886711120605,0.9756483333333333
18,0.2,-604.8565740714117,12,0,1.0,4,3.0,165630.25296761608,50338.265735732326,78982.63012236112,0.0,0.07245053234535741,0.0,40,809,16.464308261871338,0.9743816666666667
19,0.4,-545.3162265663191,12,0,1.0,5,2.4,142956.47175800987,46531.31703079001,93088.58327539667,0.08333333333333337,0.08394163518747895,0.0069951362656232455,43,852,7.065414577722549,0.97302
20,0.6,-493.84784077064705,12,0,1.0,4,3.0,108415.43780219984,38520.166662917945,75190.08009463665,0.0,0.11068534374129982,0.0,45,897,14.121655225753784,0.971595
21,0.2,-435.1788011723271,12,0,1.0,5,2.4,112920.06336802235,44151.038037485,93081.43782677173,0.0,0.106269865974927,0.0,36,933,22.63166904449463,0.970455
22,0.6,-374.2258492070521,12,0,1.0,5,2.4,89580.8975205297,35033.820184241726,77334.70939375032,0.08333333333333337,0.13395713072923723,0.011163094227436434,44,977,11.988166093826294,0.9690616666666667
23,0.2,-530.3444866321735,12,0,1.0,11,1.0909090909090908,151724.77951710025,12911.694911264545,21449.66422584541,0.0,0.0790905746457027,0.0,115,1092,6.036289840936661,0.96542
24,0.2,-534.7928436502458,12,0,1.0,8,1.5,122156.78431357512,22471.805002227495,41793.198050822546,0.0,0.09823441299171835,0.0,86,1178,8.064473450183868,0.9626966666666666
25,0.2,-541.8613617634468,12,0,1.0,6,2.0,143667.5627630927,55550.02306536833,94461.46932231366,0.0,0.0835261611543307,0.0,54,1232,10.166510850191116,0.9609866666666667
26,0.4,-284.10582568062955,12,0,1.0,4,3.0,84215.73069644078,27352.198043708715,57167.03032946108,0.08333333333333337,0.14249119375636027,0.011874266146363357,35,1267,2.9040417075157166,0.9598783333333334
27,0.4,-373.31230288277015,12,0,1.0,5,2.4,103726.76224855141,43633.57572878352,76929.62334413662,0.0,0.11568856233307895,0.0,56,1323,18.833587169647217,0.958105
28,0.6,-224.58262148168177,12,0,1.0,3,4.0,60236.90296583242,29880.366491915076,53005.450358597576,0.08333333333333337,0.19921342913009057,0.016601119094174215,24,1347,0.6997536420822144,0.957345
29,0.4,-536.6846948149886,12,0,1.0,4,3.0,119642.05376937366,68639.22699453395,94999.16217284466,0.0,0.10029918094796027,0.0,31,1378,0.4267832338809967,0.9563633333333333
30,0.4,-429.39052232673953,12,0,1.0,4,3.0,120071.76384149826,53166.28386714709,99961.43226463645,0.0,0.09994023254160488,0.0,44,1422,8.078511327505112,0.95497
31,0.6,-380.7751876089073,12,0,1.0,3,4.0,89487.65416975073,52188.16997587693,76765.73092441131,0.0,0.13409670989069603,0.0,31,1453,5.830711126327515,0.9539883333333333
32,0.4,-403.43471795669774,12,0,1.0,4,3.0,97790.26533666762,43121.21990161745,74764.76975248074,0.0,0.12271160077832877,0.0,41,1494,3.3274539709091187,0.95269
33,0.2,-564.3453848758768,12,0,1.0,4,3.0,119606.91589679084,44854.53831603964,96708.04323999217,0.08333333333333337,0.10032864663406951,0.008360720552839127,39,1533,7.7090678215026855,0.951455
34,0.6,-246.81268320890362,12,0,1.0,4,3.0,78015.9590934301,23737.68378620007,58486.224562125026,0.0,0.15381468278341717,0.0,39,1572,11.084137678146362,0.95022
35,0.4,-298.49083472017594,12,0,1.0,4,3.0,75302.48762839353,34186.882205049194,63646.56623955736,0.08333333333333337,0.15935728523628856,0.013279773769690714,28,1600,8.524325087666512,0.9493333333333334
36,0.6,-213.26613357527478,12,0,1.0,4,3.0,61902.21357141991,25699.95950766263,57995.1268789492,0.0,0.1938541339261633,0.0,36,1636,22.192021369934082,0.9481933333333333
37,0.4,-484.299819611205,12,0,1.0,6,2.0,126782.06405533463,42532.68845533676,96555.21485791492,0.16666666666666663,0.0946506123670817,0.015775102061180282,55,1691,8.788193941116333,0.9464516666666667
38,0.2,-462.4244818980038,12,0,1.0,4,3.0,119747.12533325146,51957.91593624282,84986.72753619197,0.0,0.10021117389335635,0.0,39,1730,4.620031401515007,0.9452166666666667
39,0.2,-438.7847162907077,12,0,1.0,4,3.0,160173.2585669279,60790.60958526371,135333.99021569555,0.0,0.07491887289653808,0.0,45,1775,15.321858644485474,0.9437916666666667
40,0.6,-425.3611168044773,12,0,1.0,5,2.4,110289.85711380176,36130.45755891526,69344.85232179242,0.0,0.10880420297958941,0.0,45,1820,4.185371607542038,0.9423666666666667
41,0.6,-268.63161251608994,12,0,1.0,5,2.4,58463.15797901459,25797.144059270733,54487.277388832386,0.08333333333333337,0.20525747179629628,0.017104789316358022,50,1870,6.11793065071106,0.9407833333333333
42,0.2,-427.2839886410244,12,0,1.0,5,2.4,113133.52231287103,33611.796257290946,71610.44549189998,0.0,0.10606935729282758,0.0,52,1922,3.5937549769878387,0.9391366666666667
43,0.6,-467.6921362086439,12,0,1.0,4,3.0,119579.13836564301,77623.59788503485,112849.80870182891,0.0,0.10035195238911163,0.0,42,1964,6.667611360549927,0.9378066666666667
44,0.6,-299.84146678398696,12,0,1.0,3,4.0,90530.83631614014,35538.578683384745,75548.2532395465,0.0,0.1325515204354806,0.0,35,1999,1.1220338344573975,0.9366983333333333
45,0.2,-788.4015133745686,12,0,1.0,6,2.0,190240.4779512557,74973.58952797734,137814.21587588466,0.0,0.06307805851431206,0.0,68,2067,9.507375001907349,0.934545
46,0.4,-483.2715372380592,12,0,1.0,5,2.4,115076.42082442893,42471.34404944134,89385.40657870004,0.08333333333333337,0.10427852998928679,0.008689877499107233,44,2111,11.867232464253902,0.9331516666666667
47,0.6,-397.3308128036239,12,0,1.0,4,3.0,108004.57629503918,70307.44753701893,100206.57497255302,0.0,0.11110640318813211,0.0,42,2153,10.861841440200806,0.9318216666666667
48,0.2,-589.9242523907566,12,0,1.0,4,3.0,138723.41120513622,35529.2347638922,67224.66670235585,0.08333333333333337,0.08650306315099972,0.0072085885959166434,44,2197,7.962771415710449,0.9304283333333333
49,0.6,-431.2303920647133,12,0,1.0,4,3.0,132818.11711567867,53779.769889710726,108003.12137214142,0.0,0.09034911998901878,0.0,48,2245,9.203181430697441,0.9289083333333333
50,0.4,-344.41420910057343,12,0,1.0,5,2.4,107152.49315128077,43983.01127969791,86121.67704364739,0.0,0.11198992806502485,0.0,46,2291,6.132239580154419,0.9274516666666667
51,0.6,-275.97528531260906,12,0,1.0,3,4.0,116329.17811627802,57541.69666970849,97536.00231008657,0.08333333333333337,0.10315554699445462,0.008596295582871219,31,2322,5.065284371376038,0.92647
52,0.6,-312.641171487477,12,0,1.0,4,3.0,106150.90434904312,31157.74527197462,71939.03098559627,0.08333333333333337,0.11304661108248178,0.009420550923540147,41,2363,5.841518044471741,0.9251716666666667
53,0.2,-747.2265259725144,12,0,1.0,4,3.0,188624.09892995295,100001.8718303418,166675.94161076468,0.0,0.06361859416731419,0.0,41,2404,3.2844569087028503,0.9238733333333333
54,0.4,-336.1425602992011,12,0,1.0,4,3.0,95356.31914060199,37132.61635370712,70836.0535774636,0.08333333333333337,0.12584378369624474,0.010486981974687061,41,2445,3.2806395888328552,0.922575
55,0.6,-629.7303089222783,12,0,1.0,4,3.0,142892.18128302242,79442.97069869984,123817.73698146707,0.0,0.08397940245752109,0.0,46,2491,8.611542791128159,0.9211183333333334
56,0.6,-564.683222745648,12,0,1.0,5,2.4,162599.29912498032,75598.15024073557,141014.7683315592,0.0,0.07380105612125867,0.0,53,2544,3.2046837508678436,0.91944
57,0.6,-488.104460695277,12,0,1.0,4,3.0,110716.67094804424,58699.81718970137,96451.09117880328,0.0,0.10838476172780893,0.0,45,2589,3.781270056962967,0.918015
58,0.2,-562.4496794916015,12,0,1.0,5,2.4,153593.35638056166,57781.54220468752,95564.17295267442,0.0,0.07812837926574985,0.0,66,2655,12.122183322906494,0.915925
59,0.6,-213.65772847760488,12,0,1.0,3,4.0,55036.89538752266,18306.907819907614,51636.27230796918,0.08333333333333337,0.2180355544313734,0.018169629535947786,25,2680,25.92975664138794,0.9151333333333334
60,0.2,-466.11228489403715,12,0,1.0,4,3.0,129843.21901850437,47926.66338537904,101654.81963414927,0.08333333333333337,0.09241915050095793,0.0077015958750798275,38,2718,7.551082372665405,0.91393
61,0.4,-404.2449679034345,12,0,1.0,3,4.0,96779.16546187043,48408.56630568724,92263.39934428637,0.0,0.1239936296488093,0.0,33,2751,5.212926268577576,0.912885
62,0.2,-474.75221176192616,12,0,1.0,5,2.4,136226.70431656885,28218.396838267556,62707.95971667892,0.0,0.0880884556387266,0.0,50,2801,7.021972060203552,0.9113016666666667
63,0.6,-480.02184277436726,12,0,1.0,4,3.0,135413.5965657044,58639.56404934839,114353.8655236024,0.0,0.0886173937059374,0.0,46,2847,5.062426805496216,0.909845
64,0.4,-585.426286055231,12,0,1.0,5,2.4,140730.75013808327,54425.95677060701,121065.78113822856,0.08333333333333337,0.0852692108030814,0.007105767566923451,48,2895,20.960225105285645,0.908325
65,0.6,-211.71445492433114,12,0,1.0,4,3.0,46188.75865197561,18272.93154461453,31851.211161072184,0.0,0.25980347491947003,0.0,39,2934,9.934582233428955,0.90709
66,0.4,-229.0227609605194,12,0,1.0,6,2.0,59391.95657867787,18431.113145396554,42817.26427655284,0.08333333333333337,0.2020475615095005,0.016837296792458375,54,2988,8.79167765378952,0.90538
67,0.2,-433.7934528391095,12,0,1.0,4,3.0,157894.28346050717,56143.94238919342,118143.93457547323,0.0,0.0760002182283025,0.0,45,3033,7.8218488693237305,0.9039550000000001
68,0.4,-530.4989341232875,12,0,1.0,6,2.0,143321.36153464246,41653.27695524912,117347.75917955508,0.0,0.08372792353845633,0.0,61,3094,9.809536457061768,0.9020233333333334
69,0.2,-636.3474352916953,12,0,1.0,5,2.4,181651.36157699057,45966.03190245016,102490.90922701973,0.0,0.06606061135916097,0.0,51,3145,11.231724977493286,0.9004083333333334
70,0.2,-500.9996193327846,12,0,1.0,7,1.7142857142857142,112096.21119828346,27876.886437292113,79732.21730737384,0.0,0.10705089736506418,0.0,67,3212,14.072131156921387,0.8982866666666667
